,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,1.473389,3.167317,0.100000,1.484611,,,,,2.175175,,,,,,,,,,,,,,,,,,,0.987108,1.758174,,
R7,,,9.982582,4.910342,,0.164214,,,0.100000,0.100000,0.818899,,,,,,,,,,,,,,,0.993936,,,,,,0.100000,0.981935,
R8,,1.889822,4.090295,7.964246,0.100000,0.100000,,2.956728,0.100000,0.100000,0.425674,2.398290,,,,,,,,,,,,,,1.822672,1.027287,,,,0.995035,0.100167,1.003413,1.009888
L1,0.100000,0.100000,0.100000,10.000000,4.960083,0.100000,0.100000,1.582051,0.696272,0.290767,,2.339303,9.381884,0.100000,,,,,,,,,,0.100000,0.247023,,,0.999009,,,0.526154,1.469197,,0.970960
L2,10.000000,,0.100000,0.977280,6.912979,0.978306,1.236023,0.313435,0.100000,0.100000,0.100000,0.100000,6.950422,0.955611,,,,,,,,,,0.100000,0.100000,2.908577,,0.100000,0.306816,,0.346284,0.100000,,
L3,,1.079955,1.326988,1.339005,1.808396,,,,2.165842,0.314664,0.100000,0.997557,,,,,,,,,,,,1.245953,1.037355,1.006679,1.025494,,1.202499,0.100000,0.951787,0.100000,1.012261,
L4,2.390077,,,0.100000,0.125567,0.100000,2.023337,1.011022,0.952011,,2.183260,,1.599109,,,,,,,,,,,2.400609,0.101099,,,,0.103758,2.299369,,0.100000,0.970480,1.032671
L5,,,,4.326201,10.000000,,,3.509896,0.164078,0.314524,0.100000,0.956662,0.100000,1.023897,,,,,,,,,,0.348605,0.440728,0.100000,1.213487,0.842884,0.100000,,0.100000,0.662357,0.956040,1.012180
Mi1,,0.100000,9.992295,9.488306,10.000000,,,2.875252,0.100000,4.382905,0.100000,1.923438,0.100000,0.100000,1.069525,0.196314,0.100000,0.100000,4.840328,,,,,0.100000,7.062074,0.100000,1.033756,0.991175,0.518556,,0.100000,0.101161,1.008587,0.461204
Mi4,,,,,0.100000,0.100002,,3.827903,2.376827,2.712039,0.225254,2.187325,,0.916197,,1.409469,2.028659,0.979823,1.052772,,,,,1.367337,0.100000,0.157769,,1.999393,0.102211,1.466771,0.974172,2.869350,1.036559,0.972176
Mi9,,,,,,0.100000,0.969598,,0.409335,1.664299,,,1.494677,1.266182,0.100840,1.188354,1.970451,1.247970,1.669679,,,,,0.223447,1.579539,0.156612,1.032924,2.977799,0.564514,0.104788,0.586793,,1.039553,1.049103
T1,0.955387,0.884246,2.143100,,0.100000,0.706609,,2.107862,,,2.608520,,,,,,,,,,,,,0.100000,2.712705,2.438609,,,2.085075,,,,,
T2,,,,,,,,10.000000,1.632182,,5.518322,,0.859452,0.987401,3.175402,,,,,,,,,1.426246,0.678390,,1.045671,0.100000,1.653440,,,,,1.039125
T2a,,,,,,,,,0.844336,,,,0.100000,0.100000,0.365911,,,,,,,,,2.623058,,2.786544,1.035493,2.466183,1.042585,,1.003734,,,1.032411
T3,,,,,,,,,,,,,0.523045,0.951735,0.997755,,,,0.956542,,,,,0.109237,,,0.983131,0.259641,,,,3.030417,,1.020119
T4a,,,,,,,,,,,0.768520,,,,,0.965024,0.977462,1.027530,1.029658,0.953869,,,,,,,,,,,,0.751626,,
T4b,,,,,,,,,1.930095,0.971456,0.100000,,,,,0.974680,0.192681,,0.957504,,1.016392,,,,,,,,,,,,,
T4c,,,,,,,,,,,4.882644,,1.039654,,,,,1.378065,,,,0.995442,0.968991,,,,,,,,,,,
T4d,,,,,,,,,1.528269,,,,,,,,,1.024432,0.219307,,,,0.963726,,,,,,,,,,,
T5a,,,,,,,,,,,,,1.793809,,,0.990384,,,,1.001846,0.958447,,,,0.100000,,,,,,,,,
T5b,,,,,,,,,,,,,0.289319,,,,0.231111,,,0.979810,1.418192,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,2.607661,,,,,1.429618,,,1.038761,0.100000,1.022745,,,,,,,,,,,
T5d,,,,,,,,,,,,,0.440135,,,,,1.020883,0.951954,,,,0.100000,,,,,,,,,,,
Tm1,,,,,0.100000,,,1.676296,2.310191,0.100000,2.617721,0.100000,0.904441,2.324708,0.103743,,,0.962194,,1.076229,0.516342,0.100000,1.446269,0.301857,0.100000,3.543349,0.960394,0.736876,0.177337,3.246829,0.993421,0.100232,,0.997629
Tm2,,,,1.102375,0.497283,,,1.227923,2.805890,0.260069,0.897923,0.100000,2.826629,2.485191,0.496881,1.039746,,0.967563,,0.894148,1.520194,0.974193,0.975095,0.100000,,,1.002656,0.100000,0.158823,0.418019,,0.237375,0.978733,0.964459
Tm20,,,,,,,,,,0.269680,1.765043,0.100000,0.102136,0.100000,,,,,,,,,,0.100000,0.100000,2.423293,1.048769,,,4.248831,,0.100177,,
Tm21,,,,,,,,,0.959355,,,,1.550835,0.991159,,,,,,,,,,0.993059,,,1.036752,,,,,,,
Tm3,,,,3.151590,0.100000,,,,0.100000,0.100000,0.100000,,0.100000,0.997648,0.100000,0.100000,1.025499,1.912238,3.260988,,0.997112,,0.951127,,,,,1.059440,0.246896,,0.995745,0.990432,1.025247,1.018608
Tm4,,,,,1.071693,,,,0.971700,0.100000,,0.984213,1.010222,2.000576,0.100000,,,,,0.976932,1.101951,0.949962,1.055508,0.100000,2.130272,,1.034032,0.100000,0.672105,,1.021724,0.100000,,1.040238
Tm9,,,,,,1.770936,,,,1.739481,0.250253,,1.020970,0.978770,,,,,,0.911884,1.120271,0.975717,1.054145,0.251623,0.415274,0.982172,1.009049,,0.226081,0.287629,,,,
C2,1.010317,1.028788,1.014897,1.557947,1.393872,0.435304,1.577472,0.444393,0.358600,0.450645,,1.001504,0.997762,0.988937,0.973375,,,,,,,,,1.564425,,,,,,1.628901,0.952574,1.073402,,
C3,3.832288,,,0.100026,0.100000,0.100003,3.541763,1.373706,1.519343,1.652194,0.910650,0.582512,1.358586,0.688573,2.324355,1.311736,2.163380,0.973025,1.044870,,,,,0.615859,0.100000,0.100137,1.008289,1.042169,1.602644,2.682672,1.036677,,,
Lawf1,1.039984,,,1.016563,1.009197,0.962983,,1.009122,,,1.042332,1.035166,,,,,,,,,,,,,,,,0.959812,,,,,1.007618,
Lawf2,1.014533,,,0.958422,0.954777,0.950847,,0.933688,,,,0.972489,,,,,,,,,,,,0.986668,0.969794,,,,,0.972473,1.000175,0.960153,1.025080,
