Job ID: 27788185
Node:   spartan-gpgpu171
GPU:    0
GPU 0: NVIDIA H100 80GB HBM3 (UUID: GPU-70ecc709-6022-7e09-50b0-e2070472848f)
cuda: True NVIDIA H100 80GB HBM3
Start:  Tue 21 Jul 2026 18:05:03 AEST
device=cuda, model=conductance, nofruns=1, nofsteps=1000, lrs=[0.1], nparams=112, fname=training_with_Ih.npy, outdir=/home/yitai/drosophila_vision/temporal_filtering/SimulationCode/0trained/conductance/27788185-train-target-spot-syn-strength-fixed-all-network-right_min_neuron1_extent3

round 0

step 98: cost=151.8880  [spot_bright=96.4504  spot_dark=55.4376]
step 99: cost=151.9452  [spot_bright=96.6699  spot_dark=55.2753]
step 100: cost=152.1064  [spot_bright=96.8335  spot_dark=55.2729]
step 101: cost=152.2250  [spot_bright=96.9327  spot_dark=55.2923]
step 102: cost=152.2615  [spot_bright=96.9730  spot_dark=55.2885]
step 103: cost=152.2810  [spot_bright=96.9682  spot_dark=55.3128]
step 104: cost=152.3622  [spot_bright=96.9364  spot_dark=55.4259]
step 105: cost=152.5048  [spot_bright=96.8958  spot_dark=55.6090]
step 106: cost=152.6851  [spot_bright=96.8664  spot_dark=55.8187]
step 107: cost=152.8634  [spot_bright=96.8573  spot_dark=56.0061]
step 108: cost=152.9714  [spot_bright=96.8716  spot_dark=56.0998]
step 109: cost=152.9731  [spot_bright=96.9227  spot_dark=56.0504]
step 110: cost=152.8656  [spot_bright=97.0114  spot_dark=55.8542]
step 111: cost=152.6708  [spot_bright=97.1358  spot_dark=55.5350]
step 112: cost=152.4417  [spot_bright=97.2900  spot_dark=55.1516]
step 113: cost=152.2255  [spot_bright=97.4673  spot_dark=54.7582]
step 114: cost=152.0614  [spot_bright=97.6593  spot_dark=54.4021]
step 115: cost=151.9795  [spot_bright=97.8550  spot_dark=54.1245]
step 116: cost=151.9789  [spot_bright=98.0391  spot_dark=53.9398]
step 117: cost=152.0368  [spot_bright=98.1997  spot_dark=53.8371]
step 118: cost=152.1139  [spot_bright=98.3353  spot_dark=53.7785]
step 119: cost=152.1818  [spot_bright=98.4522  spot_dark=53.7296]
