,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,4.688251,,,1.967568,1.546432,1.407929,0.100000,,,,,0.100000,,,,,,,,,,,,,,,,,,,9.481945,3.313966,,
R7,,,0.100000,9.995305,,4.889179,,,0.100000,0.100000,4.249143,,,,,,,,,,,,,,,3.614869,,,,,,10.000000,10.000000,
R8,,2.586566,10.000000,10.000000,0.100000,5.441445,,0.100000,0.259420,0.100000,5.682775,10.000000,,,,,,,,,,,,,,8.973315,0.959591,,,,3.990983,1.032226,2.969163,1.796130
L1,1.481996,5.299864,6.355715,0.100000,7.867554,10.000000,0.100000,1.333709,0.565347,0.100000,,0.100000,9.065432,10.000000,,,,,,,,,,0.100000,2.703334,,,0.873918,,,5.906206,3.701945,,0.776156
L2,9.070342,,10.000000,3.653244,10.000000,0.100000,5.860820,0.100000,2.485300,0.100000,0.100000,0.320803,0.100000,1.000454,,,,,,,,,,3.569221,2.602031,0.100000,,0.100000,7.858900,,6.124261,0.560069,,
L3,,10.000000,0.100000,10.000000,0.100000,,,,0.100000,0.100000,1.293166,0.100000,,,,,,,,,,,,9.079233,10.000000,0.100000,1.045591,,10.000000,0.100000,0.100000,2.427882,0.100000,
L4,10.000000,,,3.476695,1.457080,0.100000,0.100000,0.100000,0.100000,,0.100000,,1.018927,,,,,,,,,,,0.100000,2.555901,,,,6.086146,10.000000,,0.100000,0.100000,0.645156
L5,,,,0.100000,0.100000,,,10.000000,2.308027,3.425195,9.113938,10.000000,4.349966,10.000000,,,,,,,,,,0.100000,0.100000,2.718282,10.000000,6.175886,0.100000,,4.680494,0.674033,10.000000,1.023007
Mi1,,0.100000,0.821538,0.100000,0.100000,,,5.807208,1.008288,2.515229,5.214592,0.100000,0.100000,2.332690,0.100000,5.434975,0.100000,0.100000,4.084311,,,,,0.100000,0.100000,0.779499,10.000000,5.737626,0.100000,,2.334065,6.235950,8.179709,0.698499
Mi4,,,,,1.624440,7.318190,,0.100000,3.222745,10.000000,0.571449,10.000000,,0.100000,,0.100000,0.964830,1.035813,6.330794,,,,,10.000000,0.899267,0.100000,,0.100000,0.987210,9.949029,0.100000,1.046615,0.100000,1.044487
Mi9,,,,,,10.000000,1.395244,,10.000000,9.968082,,,9.567688,9.731977,1.061696,9.996487,1.887132,0.786123,0.100000,,,,,1.906592,0.432202,3.148986,1.666507,1.492320,2.246586,3.853005,1.191558,,0.100000,1.072892
T1,0.100000,10.000000,0.100000,,0.100000,0.412507,,1.839344,,,6.744498,,,,,,,,,,,,,6.880822,2.646926,9.534819,,,10.000000,,,,,
T2,,,,,,,,10.000000,10.000000,,1.807604,,3.200588,0.983410,0.794720,,,,,,,,,0.100000,4.274012,,10.000000,10.000000,0.100000,,,,,0.100000
T2a,,,,,,,,,7.927452,,,,10.000000,10.000000,1.014876,,,,,,,,,0.100000,,0.100000,1.046785,0.100000,0.100000,,3.772435,,,0.266616
T3,,,,,,,,,,,,,0.493742,1.043279,1.005954,,,,0.981266,,,,,0.972004,,,1.028387,0.100000,,,,0.967170,,1.000038
T4a,,,,,,,,,,,1.848086,,,,,5.958655,1.026975,0.971528,0.951351,0.988916,,,,,,,,,,,,4.853775,,
T4b,,,,,,,,,0.985264,0.950853,0.172506,,,,,1.024208,0.977840,,0.993449,,1.008557,,,,,,,,,,,,,
T4c,,,,,,,,,,,0.100000,,0.981560,,,,,0.995276,,,,0.970604,0.959534,,,,,,,,,,,
T4d,,,,,,,,,5.398096,,,,,,,,,0.982957,10.000000,,,,0.951479,,,,,,,,,,,
T5a,,,,,,,,,,,,,9.970622,,,9.018970,,,,4.053344,0.964251,,,,10.000000,,,,,,,,,
T5b,,,,,,,,,,,,,0.314277,,,,1.013131,,,1.038034,1.016676,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,10.000000,,,,,0.993458,,,1.046207,0.100000,1.024757,,,,,,,,,,,
T5d,,,,,,,,,,,,,10.000000,,,,,1.462129,1.026692,,,,0.100000,,,,,,,,,,,
Tm1,,,,,0.100000,,,3.436193,0.100000,10.000000,0.100000,10.000000,10.000000,0.100000,0.100000,,,1.025036,,10.000000,0.100000,0.100000,10.000000,0.100000,0.100000,0.100000,2.732933,0.100000,0.100000,0.100000,5.146103,0.100000,,0.256296
Tm2,,,,10.000000,0.100000,,,0.100000,0.112133,0.100000,4.424973,0.100000,1.724606,0.100000,0.972189,0.984195,,0.506219,,9.605907,0.100000,2.158099,10.000000,0.973406,,,0.367028,10.000000,1.502708,10.000000,,0.100000,0.100000,0.100000
Tm20,,,,,,,,,,0.100000,6.361561,10.000000,0.100000,10.000000,,,,,,,,,,0.100000,0.100000,0.100000,1.005613,,,0.268479,,0.100000,,
Tm21,,,,,,,,,10.000000,,,,0.100000,1.044283,,,,,,,,,,7.289808,,,0.100000,,,,,,,
Tm3,,,,0.100000,0.100000,,,,3.147618,1.531659,4.022589,,1.764115,6.057212,0.701689,4.527520,0.100000,0.623929,0.100000,,0.959747,,1.017734,,,,,3.013201,0.100000,,10.000000,8.664858,9.988487,2.313112
Tm4,,,,,10.000000,,,,0.100000,3.083522,,10.000000,0.100000,0.100000,0.100000,,,,,0.100000,0.100000,8.183170,7.634840,0.100000,4.361822,,0.210023,0.100000,1.706290,,0.100000,0.221929,,0.100000
Tm9,,,,,,0.965697,,,,1.045679,0.100000,,1.006802,1.020554,,,,,,0.994293,1.024102,1.044870,0.955693,1.003827,0.981241,0.960438,0.987492,,0.973204,1.049443,,,,
C2,0.100000,1.525408,0.100000,5.283827,3.640095,0.100000,0.987154,0.100000,0.760935,8.170989,,9.834529,0.100000,0.100000,1.040268,,,,,,,,,3.176702,,,,,,3.996099,10.000000,10.000000,,
