idx,ctype,in_gain,out_gain,v_th,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.000000,0.703156,-50.000000,1.012980,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
1,C3,1.000000,1.054308,-50.000000,1.036301,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
2,L1,1.000000,0.503130,-50.000000,12.675400,53.069231,53.121527,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
3,L2,1.000000,0.461508,-50.000000,12.393340,53.458392,55.474406,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
4,L3,1.000000,1.172888,-50.000000,0.509825,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
5,L4,1.000000,0.151423,-50.000000,0.100000,44.335545,54.011573,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
6,L5,1.000000,0.986229,-50.000000,0.100000,45.960974,49.061732,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
7,Mi1,1.000000,0.646964,-50.000000,0.100000,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
8,Mi4,1.000000,1.379439,-50.000000,0.100000,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
9,Mi9,1.000000,0.885279,-50.000000,0.602678,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
10,R1-6,1.000000,1.018002,-50.000000,0.584428,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
11,R7,1.000000,1.648724,-50.000000,0.625796,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
12,R8,1.000000,0.942191,-50.000000,0.842558,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
13,T1,1.000000,1.197813,-50.000000,1.030181,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
14,T2,1.000000,0.736332,-50.000000,0.951076,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
15,T2a,1.000000,1.039884,-50.000000,1.019247,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
16,T3,1.000000,1.457488,-50.000000,1.039940,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
17,T4a,1.000000,0.623351,-50.000000,0.946334,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
18,T4b,1.000000,1.446505,-50.000000,0.676637,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
19,T4c,1.000000,0.100000,-50.000000,0.633228,0.000000,0.000000,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462,-50.365506,-0.200000,-51.299518,-50.775733,-0.200000,-52.569462
