idx,cell,a_in,a_out,v_th,a_gt,bias_gt,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,v_pre,v_onset
34,Mi10,0.970887,0.693096,-50.000000,0.956573,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-60.832263,-54.026537
35,Mi13,0.970887,1.390649,-50.000000,0.971324,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-37.747891,-48.571836
36,Mi14,0.970887,1.450287,-50.000000,0.996617,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-4.796849,-44.362400
37,Mi15,0.970887,0.635489,-50.000000,0.980056,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-56.110537,-53.742717
38,Mi2,0.970887,1.287940,-50.000000,0.987178,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-28.563662,-48.858595
39,Tm16,0.970887,0.683774,-50.000000,0.986218,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-64.003678,-51.292806
40,Tm20,0.970887,1.411937,-50.000000,0.973376,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-30.501448,-49.120817
41,Tm21,0.970887,0.684608,-50.000000,0.988583,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-18.711049,-50.121979
42,Tm27,0.970887,0.640438,-50.000000,1.039876,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-54.046050,-50.183012
43,Tm5a,0.970887,0.705784,-50.000000,1.021027,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-55.732286,-55.462806
44,Tm5b,0.970887,0.619649,-50.000000,0.963722,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-56.190224,-54.581498
45,Tm5c,0.970887,1.325542,-50.000000,1.038153,0.000000,0.000000,0.000000,-52.453318,-0.200000,-52.084888,-52.266894,-0.200000,-50.632725,-45.633193,-49.935183
