idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,a_h,v_mid_h_g,v_mid_h_tau,h_slope,v_pre,v_onset
0,R1-6,0.951883,0.000000,0.789748,0.401293,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-30.111200,-30.090425
1,R7,0.980985,0.000000,0.789748,2.250683,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-45.900499,-46.029592
2,R8,0.974586,0.000000,0.789748,1.427832,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-31.141269,-31.071337
3,L1,0.351598,0.000000,0.789748,0.606524,-14.978162,-50.000000,0.510555,-48.208132,-54.248232,-0.400000,-26.055906,-26.479816
4,L2,0.152110,0.000000,0.789748,2.455800,-30.004819,-50.000000,1.000000,-48.208132,-54.248232,-0.400000,-39.225306,-39.752015
5,L3,0.165759,0.000000,0.789748,0.568871,-35.670541,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-27.793600,-26.698937
6,L4,0.356805,0.000000,0.789748,0.411247,-50.000000,-50.000000,0.893327,-48.208132,-54.248232,-0.400000,-13.789057,-14.053720
7,L5,0.179089,0.000000,0.789748,1.806430,-50.000000,-50.000000,1.000000,-48.208132,-54.248232,-0.400000,-36.480036,-36.398859
8,Mi1,0.327966,0.000000,0.789748,0.533441,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-21.532297,-19.760782
9,Tm3,0.125173,0.000000,0.789748,0.951068,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-20.989093,-19.750138
10,Mi4,0.207149,0.000000,0.789748,0.227369,-36.748382,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-21.416653,-22.551384
11,Mi9,0.370870,0.000000,0.789748,0.959595,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-32.306179,-31.119106
12,T4a,1.039682,0.000000,0.789748,1.805634,-48.398082,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-22.949285,-21.953452
13,T4b,1.042320,0.000000,0.789748,1.883586,-49.808707,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-23.303790,-21.755070
14,T4c,0.970730,0.000000,0.789748,1.423247,-46.037769,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-43.601097,-43.608730
15,T4d,1.045048,0.000000,0.789748,6.644088,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-44.223766,-43.842842
16,Tm1,0.510861,0.000000,0.789748,0.543733,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-10.508104,-12.863724
17,Tm2,0.100000,0.000000,0.789748,0.234197,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,4.602280,4.498024
18,Tm4,0.286866,0.000000,0.789748,0.272200,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-26.555069,-29.016452
19,Tm9,0.713042,0.000000,0.789748,0.858833,-47.159023,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-35.020564,-35.139856
20,T5a,0.999656,0.000000,0.789748,1.380157,-49.613694,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-30.613675,-31.232231
21,T5b,1.044285,0.000000,0.789748,2.885984,-49.179557,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-32.758235,-32.868789
22,T5c,0.985293,0.000000,0.789748,1.699842,-34.697414,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-28.060725,-28.064800
23,T5d,1.041580,0.000000,0.789748,1.095279,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-39.903305,-40.110312
24,T1,0.959981,0.000000,0.789748,0.618615,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-25.379344,-26.012740
25,T2,0.983986,0.000000,0.789748,3.835983,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-22.458280,-21.212044
26,T2a,1.010501,0.000000,0.789748,3.799314,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-24.533298,-23.802878
27,T3,1.010290,0.000000,0.789748,1.232207,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-26.862107,-26.072357
28,C2,1.040941,0.000000,0.789748,1.171888,-47.105720,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-45.977065,-45.435267
29,C3,1.010200,0.000000,0.789748,2.466663,-40.395018,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-26.515108,-25.687376
30,Lawf1,0.982865,0.000000,0.789748,1.489643,-49.964845,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-25.735412,-24.832431
31,Lawf2,0.992484,0.000000,0.789748,1.379691,-49.139812,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-38.963371,-38.512493
32,Dm3v,1.048189,0.000000,0.789748,5.151460,-47.198587,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-28.760438,-28.617360
33,Lai,0.963298,0.000000,0.789748,2.835471,-43.333333,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-56.130746,-55.989288
34,Mi10,0.989069,0.000000,0.789748,1.835239,-49.737291,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-36.306309,-36.052561
35,Mi13,1.034368,0.000000,0.789748,1.569053,-42.529022,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-32.584080,-32.157081
36,Mi14,0.997487,0.000000,0.789748,2.321029,-49.961373,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-25.906175,-25.019933
37,Mi15,1.037560,0.000000,0.789748,9.291115,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-61.128159,-61.027974
38,Mi2,0.985622,0.000000,0.789748,2.247956,-45.271502,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-32.952483,-32.671530
39,Tm16,1.021970,0.000000,0.789748,2.396117,-47.676477,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-49.167995,-49.191749
40,Tm20,0.983567,0.000000,0.789748,2.149860,-50.000000,-50.000000,0.000000,-48.208132,-54.248232,-0.400000,-32.141800,-32.428946
