idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.030112,0.000000,1.386952,1.535144,0.506901,-100.000000,-50.000000,0.954761,349.595184,10.000000,203.322968,0.000000,114.915627,114.916702,115.266937,0.350235
1,R7,0.957706,0.000000,1.386952,1.655749,0.857184,-100.000000,-50.000000,0.951368,351.363739,10.000000,203.322968,0.000000,112.655853,112.656708,113.002380,0.345673
2,R8,1.001003,0.000000,1.386952,1.438516,-0.030518,-100.000000,-50.000000,1.023418,347.862366,10.000000,203.322968,0.000000,121.464111,121.465141,121.841698,0.376556
3,L1,1.339974,0.000000,1.386952,1.428593,-0.614735,-100.000000,-50.000000,0.581829,349.578217,10.000000,203.322968,0.026498,12.668755,12.666202,12.614671,-0.051531
4,L2,1.254221,0.000000,1.386952,0.388525,-0.439810,-100.000000,-50.000000,0.666638,351.653107,10.000000,203.322968,0.000000,2.794871,2.794156,2.782775,-0.011381
5,L3,1.388541,0.000000,1.386952,0.382114,-0.623944,-100.000000,-50.000000,0.571835,348.768463,10.000000,203.322968,0.000000,25.136198,25.133564,25.081799,-0.051765
6,L4,1.569354,0.000000,1.386952,0.427981,-0.171171,-100.000000,-50.000000,0.369159,349.830750,10.000000,203.322968,0.650219,36.565250,36.565212,36.564980,-0.000233
7,L5,1.309403,0.000000,1.386952,0.617148,-0.680199,-100.000000,-50.000000,0.574733,348.897034,10.000000,203.322968,0.034559,45.410458,45.413795,45.438877,0.025082
8,Mi1,1.283470,0.000000,1.386952,0.637034,-0.623238,-100.000000,-50.000000,0.432780,351.463165,10.000000,203.322968,0.000000,36.075794,36.078743,36.097271,0.018528
9,Tm3,1.331809,0.000000,1.386952,0.587249,0.037974,-100.000000,-50.000000,0.603218,350.563202,10.000000,203.322968,0.000000,59.364361,59.367634,59.390263,0.022629
10,Mi4,1.423557,0.000000,1.386952,1.665413,-0.096044,-100.000000,-50.000000,0.586813,351.141663,10.000000,203.322968,0.000000,51.853947,51.853962,51.847210,-0.006752
11,Mi9,1.561077,0.000000,1.386952,1.634708,-1.092812,-100.000000,-50.000000,0.390493,349.702148,10.000000,203.322968,0.000000,27.502645,27.501944,27.497217,-0.004726
12,T4a,0.994358,0.000000,1.386952,0.618963,-0.828238,-100.000000,-50.000000,1.038738,349.813354,10.000000,203.322968,0.000000,99.258598,99.259026,99.262070,0.003044
13,T4b,1.035785,0.000000,1.386952,0.376052,-0.262077,-100.000000,-50.000000,0.957397,351.225281,10.000000,203.322968,0.000000,90.189369,90.189575,90.191261,0.001686
14,T4c,0.972878,0.000000,1.386952,0.419278,-0.131823,-100.000000,-50.000000,1.032371,347.517334,10.000000,203.322968,0.000000,99.713989,99.714355,99.717026,0.002670
15,T4d,0.972997,0.000000,1.386952,0.588290,-0.813933,-100.000000,-50.000000,0.980085,348.087860,10.000000,203.322968,0.000000,97.289925,97.290497,97.294067,0.003571
16,Tm1,1.559623,0.000000,1.386952,0.433080,-0.981201,-100.000000,-50.000000,0.401982,347.105194,10.000000,203.322968,0.000000,29.797684,29.796902,29.792635,-0.004267
17,Tm2,1.557925,0.000000,1.386952,0.396639,-0.830244,-100.000000,-50.000000,0.379333,350.396057,10.000000,203.322968,0.000000,35.452961,35.452808,35.451981,-0.000828
18,Tm4,1.578152,0.000000,1.386952,0.529958,-0.327650,-100.000000,-50.000000,0.358952,351.275696,10.000000,203.322968,0.000000,28.978695,28.978010,28.974123,-0.003887
19,Tm9,1.528190,0.000000,1.386952,0.359322,-0.761710,-100.000000,-50.000000,0.346997,349.250732,10.000000,203.322968,0.000000,31.565342,31.565178,31.564365,-0.000813
20,T5a,1.007657,0.000000,1.386952,0.330956,-0.298248,-100.000000,-50.000000,0.961002,350.822754,10.000000,203.322968,0.000000,96.677177,96.677109,96.676659,-0.000450
21,T5b,1.031753,0.000000,1.386952,0.811327,-0.200438,-100.000000,-50.000000,1.009064,350.421600,10.000000,203.322968,0.000000,103.388123,103.388123,103.388008,-0.000114
22,T5c,1.026425,0.000000,1.386952,1.429731,-0.001370,-100.000000,-50.000000,0.957624,350.351135,10.000000,203.322968,0.000000,101.244080,101.244118,101.244125,0.000008
23,T5d,0.973692,0.000000,1.386952,1.509456,0.098916,-100.000000,-50.000000,1.035451,351.270538,10.000000,203.322968,0.000000,108.927803,108.927834,108.927795,-0.000038
24,T1,0.962848,0.000000,1.386952,0.456848,-0.701929,-100.000000,-50.000000,1.011664,350.225861,10.000000,203.322968,0.000000,57.845974,57.841805,57.811661,-0.030144
25,T2,1.033718,0.000000,1.386952,0.480761,-0.599110,-100.000000,-50.000000,1.021611,351.591125,10.000000,203.322968,0.000000,99.477455,99.477501,99.478073,0.000572
