idx,cell,a_in,a_out,v_th,e_leak,a_gt,bias_gt,a_h,v_mid_h_g,h_slope,v_mid_h_tau,v_pre,v_onset
0,R1-6,1.631965,1.931995,-50.000000,-50.000000,1.026200,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-31.015181,-30.999074
1,R7,1.631965,1.660690,-50.000000,-50.000000,1.024515,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-31.145677,-31.112532
2,R8,1.631965,1.221112,-50.000000,-50.000000,0.968306,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-46.340213,-46.467651
3,L1,1.631965,1.724916,-50.000000,-20.000000,0.431956,0.000000,1.000000,-46.812944,-0.200000,-54.712070,-35.705639,-35.794613
4,L2,1.631965,1.789126,-50.000000,-20.000000,0.410969,0.000000,1.000000,-46.812944,-0.200000,-54.712070,-34.247499,-35.084799
5,L3,1.631965,6.955777,-50.000000,-50.000000,1.448501,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-63.960877,-64.359099
6,L4,1.631965,0.472648,-50.000000,-50.000000,0.144566,0.000000,1.000000,-46.812944,-0.200000,-54.712070,-17.066964,-17.350424
7,L5,1.631965,1.482891,-50.000000,-50.000000,0.896466,0.000000,0.158732,-46.812944,-0.200000,-54.712070,-39.089993,-37.966982
8,Mi1,1.631965,0.941096,-50.000000,-50.000000,1.091457,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-28.299009,-25.405188
9,Tm3,1.631965,1.347510,-50.000000,-50.000000,0.700074,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-39.554535,-34.906303
10,Mi4,1.631965,0.939983,-50.000000,-50.000000,0.823616,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-31.965638,-28.866819
11,Mi9,1.631965,2.771713,-50.000000,-50.000000,0.376270,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-22.823873,-23.569313
12,T4a,1.631965,1.252059,-50.000000,-50.000000,1.005995,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-43.523880,-35.068299
13,T4b,1.631965,1.184897,-50.000000,-50.000000,1.011686,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-58.736688,-57.767224
14,T4c,1.631965,1.435110,-50.000000,-50.000000,0.963215,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-54.779982,-53.498339
15,T4d,1.631965,0.102365,-50.000000,-50.000000,0.995399,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-58.598853,-58.279702
16,Tm1,1.631965,0.369992,-50.000000,-50.000000,0.810101,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-19.034439,-21.466926
17,Tm2,1.631965,0.571588,-50.000000,-50.000000,0.385855,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-14.951761,-15.299817
18,Tm4,1.631965,1.232656,-50.000000,-50.000000,0.261134,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-14.792360,-17.149462
19,Tm9,1.631965,0.758237,-50.000000,-50.000000,0.942765,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-48.929820,-50.666555
20,T5a,1.631965,0.999586,-50.000000,-50.000000,0.979685,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-29.832349,-30.544694
21,T5b,1.631965,1.631224,-50.000000,-50.000000,0.952668,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-32.079907,-32.226763
22,T5c,1.631965,0.100000,-50.000000,-50.000000,1.048223,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-42.661367,-42.860777
23,T5d,1.631965,0.723960,-50.000000,-50.000000,1.013883,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-36.451142,-36.972139
24,T1,1.631965,1.469025,-50.000000,-50.000000,0.982976,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-39.354503,-42.270466
25,T2,1.631965,1.578329,-50.000000,-50.000000,0.980884,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-27.829932,-20.803534
26,T2a,1.631965,1.240097,-50.000000,-50.000000,0.973572,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-24.399861,-21.764364
27,T3,1.631965,1.960273,-50.000000,-50.000000,0.960103,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-3.092816,0.685479
28,C2,1.631965,0.311355,-50.000000,-50.000000,1.014058,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-6.328448,-4.312744
29,C3,1.631965,0.641067,-50.000000,-50.000000,1.008911,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-15.466010,-11.586808
30,Lawf1,1.631965,1.798303,-50.000000,-50.000000,0.998608,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-45.966626,-45.486706
31,Lawf2,1.631965,2.920348,-50.000000,-50.000000,0.982498,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-24.301281,-19.866726
32,Dm3v,1.631965,3.233048,-50.000000,-50.000000,1.047612,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-16.414568,-17.565713
33,Lai,1.631965,3.768508,-50.000000,-50.000000,1.047511,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-65.708775,-65.379915
34,Mi10,1.631965,0.475857,-50.000000,-50.000000,1.027739,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-67.662634,-67.585008
35,Mi13,1.631965,1.007188,-50.000000,-50.000000,1.002398,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-30.042774,-29.833333
36,Mi14,1.631965,5.659885,-50.000000,-50.000000,1.011060,0.000000,0.000000,-46.812944,-0.200000,-54.712070,3.523794,4.774207
37,Mi15,1.631965,0.566403,-50.000000,-50.000000,0.994382,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-32.187595,-29.135721
38,Mi2,1.631965,1.276841,-50.000000,-50.000000,1.025213,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-4.529092,-4.165243
39,Tm16,1.631965,2.444089,-50.000000,-50.000000,1.013226,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-63.944508,-64.730280
40,Tm20,1.631965,0.715171,-50.000000,-50.000000,0.983054,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-27.293891,-30.508293
41,Tm21,1.631965,10.000000,-50.000000,-50.000000,1.014546,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-58.384087,-57.899410
42,Tm27,1.631965,2.231277,-50.000000,-50.000000,1.018653,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-44.822128,-41.100507
43,Tm5a,1.631965,10.000000,-50.000000,-50.000000,1.016156,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-59.078736,-58.565092
44,Tm5b,1.631965,2.020858,-50.000000,-50.000000,1.008484,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-54.760845,-54.434595
45,Tm5c,1.631965,7.370338,-50.000000,-50.000000,1.028751,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-49.528158,-49.583232
46,Tm5f,1.631965,0.906366,-50.000000,-50.000000,0.951141,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-43.058658,-41.610279
47,TmY10,1.631965,1.351134,-50.000000,-50.000000,1.029642,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-46.314376,-46.276778
48,TmY11,1.631965,1.496616,-50.000000,-50.000000,1.023646,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-68.631156,-68.765920
49,TmY14,1.631965,2.509316,-50.000000,-50.000000,0.988941,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-40.772905,-42.112118
50,TmY15,1.631965,3.050341,-50.000000,-50.000000,1.017554,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-12.384594,-12.072397
51,TmY3,1.631965,0.100000,-50.000000,-50.000000,1.011431,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-63.654155,-61.925825
52,TmY4,1.631965,5.961203,-50.000000,-50.000000,1.048349,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-53.142929,-50.791256
53,TmY5a,1.631965,2.542206,-50.000000,-50.000000,0.969352,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-3.930420,-1.499807
54,TmY9q,1.631965,0.526719,-50.000000,-50.000000,1.033520,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-41.728137,-41.696250
55,TmY9q__perp,1.631965,2.444005,-50.000000,-50.000000,0.990363,0.000000,0.000000,-46.812944,-0.200000,-54.712070,-31.521320,-30.156892
