idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,a_h,v_mid_h_g,v_mid_h_tau,h_slope,v_pre,v_onset
0,R1-6,0.968762,0.000000,0.620827,0.816041,-50.000000,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-30.112787,-30.089806
1,R7,1.039678,0.000000,0.620827,1.764273,-47.742651,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-45.500811,-45.665973
2,R8,1.006395,0.000000,0.620827,0.902260,-49.554100,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-31.229629,-31.142704
3,L1,0.345655,0.000000,0.620827,0.929119,-13.088910,-50.000000,0.897388,-48.304963,-47.582887,-0.398239,-37.284681,-37.294558
4,L2,0.317619,0.000000,0.620827,2.644954,-32.089518,-50.000000,1.000000,-48.304963,-47.582887,-0.398239,-39.437185,-39.735906
5,L3,0.195548,0.000000,0.620827,0.286667,-34.465103,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-29.220686,-27.555992
6,L4,0.488760,0.000000,0.620827,0.720185,-45.010095,-50.000000,0.935051,-48.304963,-47.582887,-0.398239,-14.863588,-15.008576
7,L5,0.252689,0.000000,0.620827,1.301876,-49.357056,-50.000000,1.000000,-48.304963,-47.582887,-0.398239,-35.348275,-35.397893
8,Mi1,0.544690,0.000000,0.620827,0.657005,-50.000000,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-27.078100,-25.788569
9,Tm3,0.209453,0.000000,0.620827,1.398898,-50.000000,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-22.935453,-20.778912
10,Mi4,0.148567,0.000000,0.620827,0.843035,-23.807761,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-30.361289,-30.876309
11,Mi9,0.307537,0.000000,0.620827,1.049479,-50.000000,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-23.595201,-22.975675
12,T4a,0.950048,0.000000,0.620827,1.123336,-47.293229,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-23.088359,-21.121091
13,T4b,0.950791,0.000000,0.620827,1.995640,-50.000000,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-56.094595,-56.110170
14,T4c,0.966649,0.000000,0.620827,3.188093,-49.530274,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-40.730149,-39.908128
15,T4d,1.009235,0.000000,0.620827,8.372345,-47.980439,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-44.061325,-43.296696
16,Tm1,0.792851,0.000000,0.620827,0.644820,-50.000000,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-18.914246,-20.042678
17,Tm2,0.450665,0.000000,0.620827,0.860353,-50.000000,-50.000000,0.000000,-48.304963,-47.582887,-0.398239,-4.536983,-5.445255
