cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.025847,12.569828,2.556039,1.514375,-7.969845,-100.000000,-100.000000,1.010703,352.320007,20.430975,206.339890,0.000000,12.532643,12.569828,17.546158,4.976330
1,R7,0.995050,-44.723660,2.556039,5.957884,-18.729836,-100.000000,-100.000000,1.025997,349.303345,10.000000,193.214462,0.000000,-44.394192,-44.723660,-41.474323,3.249336
2,R8,0.961918,-17.151432,2.556039,4.417151,-26.023836,-100.000000,-100.000000,0.973246,351.104584,25.775784,203.002640,0.000000,-17.247683,-17.151432,-12.572428,4.579004
3,L1,2.000000,-30.169102,2.556039,2.029289,-30.083471,-100.000000,-100.000000,1.020725,350.013092,10.000000,228.404022,1.000000,-30.083471,-30.169102,-44.629715,-14.460613
4,L2,2.000000,-32.676010,2.556039,2.116782,-32.542084,-100.000000,-100.000000,0.968871,350.449249,10.000000,231.388733,1.000000,-32.542084,-32.676010,-44.966160,-12.290150
5,L3,2.000000,-4.326898,2.556039,0.464143,-2.667691,-100.000000,-100.000000,1.012410,347.718384,11.103999,194.926773,0.000000,-4.207157,-4.326898,-6.102215,-1.775318
6,L4,0.948327,-1.809859,2.556039,0.228136,-2.349966,-100.000000,-100.000000,0.964978,351.586365,10.000000,224.268417,0.985969,-1.794789,-1.809859,-8.028141,-6.218282
7,L5,2.000000,-24.456532,2.556039,1.739497,-24.440207,-100.000000,-100.000000,0.967285,348.437225,10.000000,201.655334,0.998272,-24.487280,-24.456532,-13.151936,11.304596
8,Mi1,2.000000,-41.208076,2.556039,1.365035,-18.547537,-100.000000,-100.000000,0.985176,350.432556,10.000000,197.708511,0.000000,-41.153076,-41.208076,-32.627716,8.580360
9,Tm3,2.000000,-6.129767,2.556039,3.157843,1.137804,-100.000000,-100.000000,1.048792,349.658844,10.000000,194.660294,0.000000,-6.023549,-6.129767,4.953107,11.082875
10,Mi4,2.000000,-6.540621,2.556039,0.801822,-8.724760,-100.000000,-100.000000,1.006693,352.110901,10.000000,196.798126,0.000000,-6.496139,-6.540621,-4.731811,1.808810
11,Mi9,2.000000,-34.133965,2.556039,0.804407,-39.687790,-100.000000,-100.000000,0.958042,351.871552,18.159220,207.951675,0.000000,-34.132977,-34.133965,-37.103970,-2.970005
12,T4a,0.978675,-1.305298,2.556039,4.088170,-13.045741,-100.000000,-100.000000,1.004302,350.779175,10.000000,192.464218,0.000000,-2.963811,-1.305298,11.048765,12.354063
13,T4b,1.021613,25.740566,2.556039,0.499340,-1.283825,-100.000000,-100.000000,1.033789,352.221985,10.000000,201.226227,0.000000,25.787157,25.740566,29.225435,3.484869
14,T4c,1.048394,-50.000000,2.556039,2.894058,-11.469183,-100.000000,-100.000000,0.982049,348.262421,10.000000,202.315674,0.000000,-59.659924,-61.115486,-58.913052,2.202435
15,T4d,1.030028,-50.000000,2.556039,10.000000,6.815122,-100.000000,-100.000000,0.967364,348.044250,45.297405,201.321198,0.000000,-76.912941,-77.340591,-78.494843,-1.154251
16,Tm1,2.000000,15.171075,2.556039,0.624603,-5.341103,-100.000000,-100.000000,0.985049,348.087708,10.000000,208.339905,0.000000,15.073616,15.171075,9.379181,-5.791894
17,Tm2,2.000000,21.556124,2.556039,0.692203,-5.697074,-100.000000,-100.000000,0.985898,352.146149,10.000000,209.107742,0.000000,21.484762,21.556124,16.891090,-4.665033
18,Tm4,1.696039,7.178893,2.556039,1.291925,-1.049775,-100.000000,-100.000000,0.964700,349.041962,10.000000,200.687271,0.000000,6.919816,7.178893,1.120373,-6.058520
19,Tm9,0.804554,1.893233,2.556039,3.156219,0.854117,-100.000000,-100.000000,0.951236,348.769501,32.933285,207.728851,0.000000,1.890113,1.893233,1.371706,-0.521526
20,T5a,0.985783,50.000000,2.556039,7.231661,-10.004210,-100.000000,-100.000000,1.002515,347.691376,12.972492,190.042267,0.000000,981.782959,1076.915649,1663.046631,586.130981
21,T5b,1.028097,50.000000,2.556039,7.799970,-6.326907,-100.000000,-100.000000,1.003053,351.402924,23.937582,193.903824,0.000000,526.501038,549.786072,652.945496,103.159424
22,T5c,0.990066,50.000000,2.556039,7.695052,-7.709380,-100.000000,-100.000000,0.998897,347.774078,10.000000,190.707382,0.000000,469.549988,475.439362,474.562866,-0.876495
23,T5d,0.975349,50.000000,2.556039,10.000000,12.819354,-100.000000,-100.000000,0.954566,352.489594,43.361301,196.885788,0.000000,207.119446,206.733231,203.460770,-3.272461
24,T1,0.977936,-4.435937,2.556039,0.767263,-18.334276,-100.000000,-100.000000,0.955449,348.878082,36.314213,197.690506,0.000000,-4.656593,-4.435937,-28.520903,-24.084966
25,T2,1.044335,50.000000,2.556039,1.837547,-3.503676,-100.000000,-100.000000,1.037893,351.176666,10.000000,206.262650,0.000000,330.229614,330.439270,340.347290,9.908020
26,T2a,0.972606,23.410782,2.556039,10.000000,13.919378,-100.000000,-100.000000,1.043980,351.900604,10.000000,193.278503,0.000000,23.701262,23.410782,24.099602,0.688820
27,T3,1.006366,25.376293,2.556039,1.698025,-4.364944,-100.000000,-100.000000,1.024648,350.427948,10.000000,209.617599,0.000000,25.495689,25.376293,29.634783,4.258490
28,C2,0.963761,-50.000000,2.556039,1.213118,-2.108673,-100.000000,-100.000000,0.972348,348.228271,10.000000,200.932175,0.000000,-122.935722,-123.379135,-94.343300,29.035835
29,C3,1.048901,-50.000000,2.556039,1.049920,-4.832716,-100.000000,-100.000000,0.999274,347.810333,10.000000,194.140320,0.000000,-124.607567,-125.220512,-81.272263,43.948250
30,Lawf1,1.017770,26.751701,2.556039,2.140209,-6.634642,-100.000000,-100.000000,1.026977,351.976532,10.000000,200.894028,0.000000,31.006435,26.751701,21.436438,-5.315264
31,Lawf2,1.004298,4.823570,2.556039,1.552930,-6.220964,-100.000000,-100.000000,1.026108,349.319946,10.000000,193.961777,0.000000,7.694924,4.823570,-8.028234,-12.851804
32,Dm3v,0.979352,50.000000,2.556039,0.524854,-7.349217,-100.000000,-100.000000,0.962814,350.806915,12.365499,209.161804,0.000000,77.939156,80.246979,83.293365,3.046387
33,Lai,0.981869,-50.000000,2.556039,0.100000,-0.700945,-100.000000,-100.000000,0.955297,348.533569,10.237238,207.386414,0.000000,-306.127411,-307.902374,-326.027985,-18.125610
34,Mi10,0.974521,38.562180,2.556039,0.101210,-3.526350,-100.000000,-100.000000,1.013359,348.379761,13.154135,207.434006,0.000000,38.026665,38.562180,40.934441,2.372261
35,Mi13,0.970758,-0.768586,2.556039,0.117279,-2.977183,-100.000000,-100.000000,0.952167,351.549286,30.813963,190.781387,0.000000,-0.135391,-0.768586,-3.855202,-3.086616
36,Mi14,1.036151,50.000000,2.556039,3.345359,-4.579630,-100.000000,-100.000000,0.988828,348.711639,10.000000,199.721756,0.000000,119.726707,121.047646,117.624977,-3.422668
37,Mi15,1.034381,-25.565502,2.556039,0.632308,-0.613787,-100.000000,-100.000000,0.954097,351.054199,10.000000,207.571075,0.000000,-25.225710,-25.565502,-24.920053,0.645449
38,Mi2,0.972859,-39.703243,2.556039,2.845722,-22.846737,-100.000000,-100.000000,1.039213,349.575989,10.000000,205.496689,0.000000,-39.921635,-39.703243,-39.505795,0.197449
39,Tm16,1.022747,-50.000000,2.556039,5.224384,-0.615458,-100.000000,-100.000000,0.995543,348.765350,10.000000,190.664139,0.000000,-101.690193,-103.963333,-109.783325,-5.819992
40,Tm20,0.964991,-50.000000,2.556039,4.091466,-11.774036,-100.000000,-100.000000,0.961114,347.765442,45.949749,203.978867,0.000000,-75.143448,-75.072014,-81.727165,-6.655151
41,Tm21,0.987638,50.000000,2.556039,3.667053,-14.559599,-100.000000,-100.000000,1.013867,350.685242,10.000000,204.826202,0.000000,330.232758,374.832886,634.776306,259.943420
42,Tm27,1.035447,50.000000,2.556039,1.191049,-4.736694,-100.000000,-100.000000,0.974036,350.334076,10.000000,198.301437,0.000000,95.558578,98.423409,112.422630,13.999222
43,Tm5a,0.996120,50.000000,2.556039,7.666369,31.843489,-100.000000,-100.000000,1.033891,351.106049,10.000000,208.736725,0.000000,58.443474,65.659203,90.227074,24.567871
44,Tm5b,0.995289,-50.000000,2.556039,9.692287,22.113832,-100.000000,-100.000000,1.016499,348.968872,12.879897,191.020752,0.000000,-54.840794,-54.286640,-51.819401,2.467239
45,Tm5c,1.028940,20.596008,2.556039,4.710904,-1.173673,-100.000000,-100.000000,1.006996,350.781433,10.000000,206.379883,0.000000,20.163961,20.596008,21.454294,0.858286
46,Tm5f,0.983953,50.000000,2.556039,10.000000,17.394724,-100.000000,-100.000000,0.989370,349.068604,10.000000,208.234772,0.000000,220.552948,228.928726,255.194183,26.265457
47,TmY10,0.981404,44.167542,2.556039,1.466787,-12.878263,-100.000000,-100.000000,1.027965,350.031372,10.000000,193.121063,0.000000,41.070030,44.167542,52.443745,8.276203
48,TmY11,1.041225,-35.366341,2.556039,6.479898,-3.922832,-100.000000,-100.000000,0.967549,350.253967,10.000000,209.619385,0.000000,-35.048691,-35.366341,-34.131767,1.234573
49,TmY14,1.024446,50.000000,2.556039,0.740659,-5.771366,-100.000000,-100.000000,0.963980,351.674438,49.171539,203.408829,0.000000,157.860138,166.596771,260.661255,94.064484
50,TmY15,1.017248,50.000000,2.556039,6.785587,-30.283678,-100.000000,-100.000000,0.998195,347.664001,17.778595,207.268021,0.000000,84.181648,84.595253,84.581444,-0.013809
51,TmY3,1.028498,50.000000,2.556039,10.000000,13.522016,-100.000000,-100.000000,1.042321,347.893677,10.000000,207.659836,0.000000,209.076080,206.930252,221.878784,14.948532
52,TmY4,0.983863,21.626066,2.556039,0.874689,-5.113396,-100.000000,-100.000000,1.048500,348.045654,33.244682,197.099167,0.000000,21.530163,21.626066,22.065456,0.439390
53,TmY5a,0.964500,50.000000,2.556039,0.457581,-20.513432,-100.000000,-100.000000,1.004554,349.849579,10.000000,190.039383,0.000000,338.707123,364.654358,447.332947,82.678589
54,TmY9q,0.961016,10.693302,2.556039,0.100000,-2.793386,-100.000000,-100.000000,0.992292,351.443115,10.000000,204.666473,0.000000,10.204377,10.693302,12.046700,1.353397
55,TmY9q__perp,0.952106,50.000000,2.556039,2.950013,-18.703163,-100.000000,-100.000000,0.987004,352.285156,31.645510,203.435028,0.000000,599.036011,657.601196,1324.798218,667.197021
