idx,ctype,inp_gain,out_gain,Ih_gmax,out_scale,Ih_midv,Ih_slope,tau_midv
0,R1,0.100000,1.599538,0.000000,1.000000,-50.330055,-0.293051,-48.250831
1,R2,0.100000,1.377530,0.000000,1.000000,-50.330055,-0.293051,-48.250831
2,R3,0.100000,2.327503,0.000000,1.000000,-50.330055,-0.293051,-48.250831
3,R4,0.988243,1.733702,0.000000,1.000000,-50.330055,-0.293051,-48.250831
4,R5,0.100000,1.948017,0.000000,1.000000,-50.330055,-0.293051,-48.250831
5,R6,0.100000,1.682959,0.000000,1.000000,-50.330055,-0.293051,-48.250831
6,R7,0.100000,2.340239,0.000000,1.000000,-50.330055,-0.293051,-48.250831
7,R8,2.041260,1.249638,0.000000,1.000000,-50.330055,-0.293051,-48.250831
8,L1,2.307493,2.113605,45.279489,4.204419,-50.330055,-0.293051,-48.250831
9,L2,3.522141,0.714211,46.539508,3.092514,-50.330055,-0.293051,-48.250831
10,L3,0.873835,2.157903,0.491613,3.736738,-50.330055,-0.293051,-48.250831
11,L4,1.460080,1.007646,0.276784,3.013439,-50.330055,-0.293051,-48.250831
12,L5,1.930146,0.673407,55.403353,3.126800,-50.330055,-0.293051,-48.250831
13,Lawf1,0.100000,0.100000,0.000000,1.000000,-50.330055,-0.293051,-48.250831
14,Lawf2,1.239123,2.014710,0.000000,1.000000,-50.330055,-0.293051,-48.250831
15,Am,3.301561,3.352916,0.000000,1.000000,-50.330055,-0.293051,-48.250831
16,C2,1.180614,1.567750,0.000000,1.000000,-50.330055,-0.293051,-48.250831
17,C3,1.885033,0.972649,0.000000,1.000000,-50.330055,-0.293051,-48.250831
18,CT1(Lo1),1.494694,2.047678,0.000000,1.000000,-50.330055,-0.293051,-48.250831
19,CT1(M10),2.416766,2.692654,0.000000,1.000000,-50.330055,-0.293051,-48.250831
20,Mi1,5.247171,3.170128,0.000000,1.826684,-50.330055,-0.293051,-48.250831
21,Mi2,0.603356,0.661731,0.000000,1.000000,-50.330055,-0.293051,-48.250831
22,Mi3,1.114235,1.064299,0.000000,1.000000,-50.330055,-0.293051,-48.250831
23,Mi4,2.250563,1.783592,0.000000,1.750647,-50.330055,-0.293051,-48.250831
24,Mi9,1.407714,0.458545,0.000000,1.818850,-50.330055,-0.293051,-48.250831
25,Mi10,3.435164,3.866063,0.000000,1.000000,-50.330055,-0.293051,-48.250831
26,Mi11,0.535646,0.535848,0.000000,1.000000,-50.330055,-0.293051,-48.250831
