,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,0.100000,15.282610,1.069993,1.603148,0.100000,24.867274,3.948505,0.255643,0.100000,,0.100000,0.337478,0.408040,1.012673,0.100000,26.138511,9.546001,,,,,,,,,1.341079,,,,,,2.350346
C3,1.676098,,3.946739,0.100000,1.374402,0.100000,7.812654,0.100000,2.439390,0.117729,6.173602,,,0.696552,0.100000,8.427014,2.297170,0.100000,0.120336,0.213191,0.474575,,,,,1.507479,0.100000,0.100000,11.351950,12.214188,2.446684,0.100000
L1,0.100000,1.697203,0.100000,15.117501,2.535123,0.100000,4.691566,5.226835,0.100000,,29.964334,23.299997,0.100000,0.100000,17.502876,0.100000,,,,,,,,,,0.100000,0.202206,,,6.640920,,
L2,0.100000,0.100000,0.100000,1.083194,0.100000,33.233104,0.417994,0.100000,0.100000,2.617602,4.295792,,0.100000,0.100000,0.100000,1.014586,,,,,,,,,,0.689715,1.000214,6.413773,,0.100000,6.134539,
L3,0.100000,7.181551,0.100000,0.100000,,,,1.479220,0.220247,0.382118,,0.100000,0.228062,1.497970,,,,,,,,,,,,0.100000,0.100000,0.190364,0.984942,,1.094497,1.234831
L4,,0.100000,0.100000,0.516798,9.003701,0.183726,4.727928,0.100000,,2.982736,5.161224,,,,0.100000,,,,,,,,,,,0.100000,4.270522,,,,0.100000,0.100000
L5,7.691296,0.693151,0.100000,20.860165,,,11.687048,7.586705,7.486031,0.100000,,,,10.374513,0.100000,14.546632,,,,,,,,,,0.446315,0.533250,25.999836,0.100000,0.100000,0.747953,
Mi1,0.241355,0.100000,4.178507,2.170265,,,7.049202,1.384693,3.260024,0.186136,,4.423640,8.877988,0.575690,1.242147,1.152381,0.824630,0.704762,0.795521,0.756824,0.899682,,,,,0.100000,0.100000,8.254556,1.089193,1.945597,0.100000,
Mi4,0.100000,0.100000,,0.100000,4.272698,,0.100000,0.878547,0.100000,0.100000,,,,0.100000,,30.747839,,0.100000,0.136532,0.100000,0.160088,,,,,2.049894,0.100000,0.100000,,2.875392,0.100000,1.088608
Mi9,0.100000,,,,0.947274,6.775424,,0.100000,3.944667,,,,,,0.100000,0.100000,0.100000,0.100000,0.152949,0.114404,0.261053,,,,,1.853660,3.239092,15.496256,0.425314,0.100000,0.654626,0.100000
R1-6,2.407178,0.100000,3.594757,3.438932,0.100000,25.329311,,,,,0.212823,,,0.684619,,,,,,,,,,,,,,,,,,
R7,,0.100000,30.711700,,0.278843,,,0.100000,0.100000,0.544684,,,0.231695,,,,,,,,,,,,,,,1.172074,,,,
R8,0.100000,0.100000,22.475810,0.100000,0.245555,,0.100000,0.100000,0.100000,0.497516,,0.100000,0.100000,11.283107,,,,,,,,,,,,,,2.236884,0.835228,,,
T1,,,,0.100000,1.153075,,0.100000,,,0.100000,3.121110,0.100000,6.948217,,,,,,,,,,,,,2.812046,4.348221,0.100000,,,0.113320,
T2,,,,,,,2.085763,1.708562,,10.574346,,,,,1.102646,1.014939,10.068109,,,,,,,,,0.512136,0.256965,,2.928874,1.777061,0.100000,
T2a,0.100000,,,,,,,0.378534,,,,,,,1.905944,0.100000,0.100000,,,,,,,,,0.100000,,1.860095,1.014875,4.854248,3.172032,
T3,,2.909709,,,,,,,,,,,,,0.100000,1.049888,1.018839,,,,15.674400,,,,,0.100000,,,4.924246,0.100000,,
T4a,,0.100000,,,,,,,,0.545092,,,,,,,,0.530680,0.190716,3.457113,4.312915,0.100000,,,,,,,,,,
T4b,,,,,,,,7.006929,1.746978,0.155792,,,,,,,,0.746451,0.252729,,0.755795,,0.100000,,,,,,,,,
T4c,,,,,,,,,,0.336551,,,,,0.952879,,,,,0.914300,,,,0.531628,0.325332,,,,,,,
T4d,,,,,,,,0.100000,,,,,,,,,,,,1.202772,0.694327,,,,0.100000,,,,,,,
T5a,,,,,,,,,,,,,,,7.450283,,,0.100000,,,,0.100000,0.100000,,,,1.946243,,,,,
T5b,,,,,,,,,,,,,,,0.100000,,,,0.100000,,,0.100000,0.100000,,,,,,,,,
T5c,,,,,,,,,,,,,,,11.198563,,,,,0.100000,,,4.841696,0.148901,0.100000,,,,,,,
