,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
Tm4,,,,,9.241918,,,,0.100221,0.131026,3.334899,,,,,,6.424363,8.204595,1.671774,,3.661827,1.433424,1.875103,0.160012,4.300077,0.100000,2.943579,0.356845,3.407902,0.910006,,2.267782,,,2.924691,0.951619,1.161053,,1.351583,,,8.888849,0.100000,,,,,,5.465788,5.376909,1.940606,1.324929,,0.282503,,0.387541
Tm9,,,,,,10.000000,,,,,1.853168,0.100000,,,,,2.027778,5.489055,6.834254,0.100000,0.659054,4.168747,0.752545,0.482885,,0.149090,0.109335,,,,,,7.153485,,,,,,,,1.347579,8.152998,,,,0.887439,0.100000,,,7.413064,2.851841,,0.458303,,1.230478,1.166175
T5a,,,,,,,,,,,,,1.285790,,,,,3.054198,,,0.100000,5.347195,,,,0.100000,,,,,,,,,,,,,,,,,9.443213,,,,,,,4.657095,,,,8.722706,2.919598,8.953914
T5b,,,,,,,,,,,,,,4.091576,,,,,,,7.853951,2.574467,,,,4.451640,,,,,,,,,,,,,,,,,,,,,,,7.791790,10.000000,1.722158,,,0.267715,,
T5c,,,,,,,,,,,,,,,1.005244,,,,,,,1.032865,0.740578,0.890872,,1.388592,,,,,,,,,,,,,,,,,,,,,,,,6.931268,0.767558,,2.667324,0.928671,,
T5d,,,,,,,,,,,,,,,2.602970,0.960082,,,,,,,,0.104534,,0.115721,,,,,,,,,,,,,,,,,,,,,,,,6.175804,0.101500,,3.356677,0.100000,,
T1,0.253003,8.630219,2.212697,,1.327016,6.599323,,0.100000,,,,0.160271,,,,,4.104191,0.144744,1.793137,,,,,,,,,,,,,,,0.103870,,,,,,,3.033222,,,,,,,,,,,,0.995168,,,
T2,,,,,,,,2.188175,0.327613,0.779566,,3.244889,,,,,7.410122,5.700173,2.429149,,,,,,,0.106826,1.556628,0.105379,,,,1.144670,,,,,0.100000,,,,,4.251063,5.483299,,0.100000,2.037862,,,3.694106,2.302408,2.474417,0.128014,,0.153332,0.976249,0.948084
T2a,,,,,,,,,1.077874,0.559565,,,,,,,5.538984,,0.924415,,,,,,,0.101834,0.755961,0.125013,1.872081,,,7.727621,1.707021,,2.799732,2.254599,,,,,3.268144,0.100000,,0.921620,10.000000,,1.711935,,,1.937449,1.533371,,2.580812,0.211310,1.258170,1.673697
T3,,,,,,,,,,1.465029,,,,,,1.007108,4.732006,,,,,,,,,0.770441,1.010310,2.475839,,2.554057,,1.148612,,,,,,,0.168173,,,2.979123,,,,,0.802673,,,,,,,2.871954,,0.913419
