,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.500000,,,5.000000,5.000000,5.000000,5.000000,,,,,5.000000,,,,,,,,,,,,,,,,,,,0.502910,5.000000
R7,,,0.500000,5.000000,,5.000000,,,5.000000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.500000
R8,,0.500000,0.850053,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,5.000000,0.500000,,,,,,,,,,,,,,5.000000,0.967957,,,,0.500000,5.000000
L1,1.240705,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,1.581732,2.181683,,5.000000,0.500000,0.500000,,,,,,,,,,4.864759,0.500000,,,5.000000,,,2.209910,4.381117
L2,0.500000,,0.500000,1.850725,0.500000,5.000000,4.912992,0.500000,0.500000,0.500000,0.765890,1.216847,5.000000,1.046994,,,,,,,,,,1.115983,1.275101,5.000000,,0.500000,5.000000,,4.943794,0.591408
L3,,0.500000,0.500000,0.500000,0.509905,,,,2.003651,0.591693,1.461341,0.500000,,,,,,,,,,,,0.500000,5.000000,5.000000,1.019314,,3.316850,5.000000,0.500000,0.500000
L4,0.500000,,,2.061494,0.500000,0.500000,0.500000,5.000000,5.000000,,0.500000,,0.500000,,,,,,,,,,,0.500000,0.500000,,,,5.000000,2.144436,,3.811977
L5,,,,0.500000,0.500000,,,4.070297,4.135742,5.000000,0.500000,0.500000,2.616697,2.445912,,,,,,,,,,0.500000,0.500000,0.500000,0.500000,5.000000,0.500000,,0.500000,0.500000
Mi1,,0.500000,5.000000,1.235911,4.500697,,,0.500000,3.034740,0.500000,5.000000,0.500000,0.853777,0.500000,0.500000,1.883479,5.000000,5.000000,1.048102,,,,,0.500000,4.632520,3.248678,2.702327,5.000000,0.500000,,0.500000,1.290865
Mi4,,,,,2.710784,5.000000,,5.000000,0.500000,0.500000,2.484360,5.000000,,0.500000,,0.506788,5.000000,0.500000,0.841460,,,,,5.000000,0.500000,5.000000,,0.500000,0.500000,5.000000,1.043674,0.500000
