,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,8.319530,,,7.610053,6.335429,10.998853,12.493068,,,,,2.433233,,,,,,,,,,,,,,,,,,,6.834577,3.221313
R7,,,6.228674,11.023729,,13.094673,,,0.100000,0.100000,12.288368,,,,,,,,,,,,,,,11.382247,,,,,,0.100000
R8,,0.100000,0.106415,8.084310,0.100000,7.203987,,0.100000,0.100000,0.100000,12.952944,0.980049,,,,,,,,,,,,,,12.796638,0.976166,,,,4.647781,3.775899
L1,0.100000,0.100000,0.100000,0.100000,2.423198,0.100000,0.100000,2.673062,3.920379,5.152077,,0.957638,1.109968,0.100000,,,,,,,,,,0.100000,0.100000,,,8.346230,,,0.150662,0.100000
L2,1.497770,,0.100000,0.100000,3.196314,0.393569,9.839924,0.100000,0.100000,0.100000,9.392553,0.100000,1.528232,1.033167,,,,,,,,,,2.404604,1.526698,0.100000,,0.100000,7.746566,,2.893189,3.121769
L3,,0.100000,6.042221,0.519869,0.451211,,,,0.100000,0.100000,4.445223,2.056720,,,,,,,,,,,,11.061671,0.100000,3.434033,1.028606,,0.100000,13.851830,10.712885,11.159768
L4,3.869214,,,0.100000,0.100000,0.100000,9.265822,1.522687,0.100000,,7.603049,,6.652690,,,,,,,,,,,6.610509,0.100000,,,,5.119553,0.109350,,1.419854
L5,,,,1.078673,5.045170,,,2.944203,1.801517,3.133071,0.100000,0.987188,0.650766,0.100000,,,,,,,,,,0.100000,0.552825,6.344407,0.147295,4.614362,0.100000,,0.391060,0.100000
Mi1,,6.200700,1.503187,1.585614,4.414464,,,0.100000,0.271990,4.204251,0.100000,1.397913,0.839054,0.100000,2.255213,0.807454,1.543809,1.001656,0.486236,,,,,0.100000,0.989619,2.303298,0.100000,4.776248,0.100000,,1.458592,0.100000
Mi4,,,,,0.100000,0.986478,,1.890472,2.310132,1.573745,0.100000,1.015227,,1.033273,,0.895626,0.918777,0.962314,0.990945,,,,,0.100000,0.100000,0.100000,,3.794951,1.000211,0.100000,1.014726,0.975662
Mi9,,,,,,0.517480,1.635124,,3.335774,2.498062,,,1.978569,3.646641,0.100000,2.885967,3.115371,3.432712,2.922165,,,,,0.100000,9.544019,3.997659,2.049833,0.100000,5.854471,0.100000,1.023378,
T1,1.018558,0.956314,1.029934,,0.100000,0.100000,,0.530509,,,1.518932,,,,,,,,,,,,,1.047149,1.074949,1.407291,,,0.959249,,,
T2,,,,,,,,0.581133,0.686768,,0.100000,,0.891432,1.011384,5.868452,,,,,,,,,2.207389,1.314779,,0.200283,0.735977,0.274641,,,
T2a,,,,,,,,,0.651234,,,,0.633894,3.960708,6.030991,,,,,,,,,3.239659,,3.375883,1.034248,0.723347,0.813034,,4.824162,
T3,,,,,,,,,,,,,0.102833,1.008760,1.026868,,,,0.973484,,,,,2.919780,,,0.131761,2.365903,,,,7.603897
T4a,,,,,,,,,,,4.585696,,,,,0.944554,0.966455,0.996525,1.005084,1.019225,,,,,,,,,,,,1.051649
T4b,,,,,,,,,0.100000,0.989587,2.359245,,,,,0.100000,1.835819,,1.038919,,0.100583,,,,,,,,,,,
T4c,,,,,,,,,,,1.843014,,1.027440,,,,,1.782021,,,,0.967541,1.037178,,,,,,,,,
T4d,,,,,,,,,0.659781,,,,,,,,,0.958189,0.191402,,,,1.041030,,,,,,,,,
T5a,,,,,,,,,,,,,1.145720,,,0.998572,,,,0.979233,0.975316,,,,0.740967,,,,,,,
T5b,,,,,,,,,,,,,0.376163,,,,3.526320,,,1.038035,0.100232,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.100085,,,,,1.705617,,,0.999684,0.885432,1.049110,,,,,,,,,
T5d,,,,,,,,,,,,,0.100000,,,,,1.357860,0.971395,,,,0.950456,,,,,,,,,
Tm1,,,,,0.100000,,,0.350510,2.022456,0.731220,3.276002,0.100000,0.100000,1.036425,1.637266,,,0.995105,,0.823079,0.581472,2.810704,0.316558,0.290295,0.100000,0.730211,0.214543,0.100000,3.255765,0.100000,0.155222,2.717220
Tm2,,,,0.100000,0.100000,,,0.720195,1.587385,0.100000,5.515872,0.240046,0.167543,0.101378,0.100000,0.995833,,5.618889,,0.930159,0.101111,1.273950,0.100000,0.278201,,,0.202793,0.100000,4.340657,0.112271,,2.167636
Tm20,,,,,,,,,,1.177793,0.100000,0.100000,3.677505,6.917882,,,,,,,,,,5.977257,0.100000,0.370958,0.958551,,,11.220007,,1.530022
Tm21,,,,,,,,,0.593682,,,,0.727180,0.953523,,,,,,,,,,1.765517,,,0.566085,,,,,
Tm3,,,,0.789934,0.112646,,,,0.100000,8.993119,1.579404,,0.361519,0.100000,2.049440,0.918493,1.801849,1.359683,0.100000,,1.048772,,0.952037,,,,,5.018308,0.100000,,2.938661,7.194838
Tm4,,,,,2.562537,,,,0.100000,0.100000,,0.960820,4.963213,6.059317,1.396720,,,,,0.792594,3.111846,2.102078,1.666647,2.609558,0.910513,,4.534340,0.100000,6.144369,,0.100000,3.235971
Tm9,,,,,,0.100000,,,,0.100000,0.100000,,0.100000,0.100000,,,,,,0.109545,0.186614,0.100000,0.209758,6.298690,0.100000,0.526195,1.043640,,0.100000,10.815493,,
C2,0.100000,4.198246,0.100000,1.016100,0.100000,4.437624,4.010097,2.029029,0.816521,0.100000,,1.952475,2.189724,0.100000,5.912051,,,,,,,,,0.224670,,,,,,0.100000,3.397387,5.153460
C3,0.100000,,,3.286549,0.100000,6.482175,7.757734,0.255893,2.794106,12.396798,6.644095,2.431321,1.427149,0.100000,0.302237,1.417556,2.416505,2.703685,0.980297,,,,,0.354423,0.100000,4.297975,0.690262,1.269511,7.081393,0.100000,2.594664,
