idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,8.803233,0.995460,32.520851,9994.498105,-0.530554,1.000000
1,R7,1.000000,13.297638,1.009574,35.300929,10000.000000,0.011632,1.000000
2,R8,1.000000,7.395784,0.960148,39.354919,9995.890639,1.246537,1.000000
3,L1,1.000000,3.475961,0.952869,39.260981,193.980001,3.699132,4.956243
4,L2,1.000000,4.049435,0.987239,41.420916,194.864408,3.585842,4.903599
5,L3,1.000000,9.434054,0.962228,37.892575,10000.000000,4.443625,1.000000
6,L4,1.000000,1.232673,0.972699,37.745917,207.002882,0.122120,5.000000
7,L5,1.000000,3.024432,1.013240,41.863001,197.390298,5.487041,2.096047
8,Mi1,1.000000,3.071263,1.017529,45.589449,9999.793476,4.358565,1.000000
9,Mi4,1.000000,0.100000,1.021528,39.666673,10000.000000,-2.602260,1.000000
10,Mi9,1.000000,4.540700,1.047558,33.959912,10000.000000,-0.191037,1.000000
11,T1,1.000000,0.100000,0.978772,49.502529,10000.000000,-2.018533,1.000000
12,T2,1.000000,0.807982,1.017408,55.178004,10000.000000,0.696671,1.000000
13,T2a,1.000000,0.100986,1.040804,48.810073,10000.000000,0.707521,1.000000
14,T3,1.000000,2.420222,1.040040,51.642241,9995.783313,4.697131,1.000000
15,T4a,1.000000,0.969669,1.001275,50.014118,9999.381890,0.091606,1.000000
16,T4b,1.000000,2.367723,1.016191,47.595202,9998.196289,3.554943,1.000000
17,T4c,1.000000,1.834080,1.015014,53.736932,9999.447589,1.804811,1.000000
18,T4d,1.000000,0.653363,1.034377,55.039122,10000.000000,-0.168362,1.000000
19,T5a,1.000000,0.958809,1.028334,54.475081,9999.999961,-1.340090,1.000000
20,T5b,1.000000,0.407882,1.022162,51.737968,9999.999962,0.256965,1.000000
21,T5c,1.000000,0.100000,1.006422,45.514814,10000.000000,-1.307390,1.000000
22,T5d,1.000000,0.219805,0.968212,46.510253,10000.000000,-0.164221,1.000000
23,Tm1,1.000000,0.100000,1.016806,37.098650,9995.431998,0.343207,1.000000
24,Tm2,1.000000,2.850914,1.002365,39.653912,10000.000000,4.514164,1.000000
25,Tm20,1.000000,3.317762,1.040384,37.082236,10000.000000,-0.537759,1.000000
26,Tm21,1.000000,0.583672,1.041551,45.329940,9999.998096,0.085293,1.000000
27,Tm3,1.000000,0.590362,0.987708,35.024354,9993.988188,-1.705193,1.000000
28,Tm4,1.000000,3.624420,0.980453,36.085511,10000.000000,1.000242,1.000000
29,Tm9,1.000000,0.215199,1.025740,31.980124,9987.752130,2.451842,1.000000
30,C2,1.000000,0.956857,0.977791,49.128449,9995.930097,2.761087,1.000000
31,C3,1.000000,1.233398,1.039264,52.829104,9995.687767,-0.499915,1.000000
