idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,0.954811,10.000000,10000.000000,-0.445144,1.000000
1,R7,1.000000,5.000000,0.972901,10.000000,10000.000000,-0.005625,1.000000
2,R8,1.000000,5.000000,0.960306,10.000000,10000.000000,-0.429188,1.000000
3,L1,1.000000,5.000000,1.035406,21.362278,244.026366,7.996713,5.000000
4,L2,1.000000,5.000000,0.958739,10.000000,291.900616,12.177513,5.000000
5,L3,1.000000,5.000000,1.021965,15.397652,10000.000000,1.642563,1.000000
6,L4,1.000000,1.459850,1.048352,10.000000,267.717526,20.000000,4.760598
7,L5,1.000000,2.609848,0.976833,10.000000,178.812314,0.102437,0.536710
8,Mi1,1.000000,4.020169,0.985281,22.183397,10000.000000,6.515227,1.000000
9,Mi4,1.000000,5.000000,1.036038,10.000000,10000.000000,5.946212,1.000000
10,Mi9,1.000000,5.000000,0.950490,24.272633,10000.000000,5.294482,1.000000
11,T1,1.000000,1.095705,1.021729,94.949040,9941.617740,6.599434,1.000000
12,T2,1.000000,5.000000,0.980283,10.000000,9919.540132,-1.563205,1.000000
13,T2a,1.000000,0.500000,1.026288,51.860188,9999.733783,-4.114216,1.000000
14,T3,1.000000,5.000000,1.001563,100.000000,9873.264607,16.088104,1.000000
15,T4a,1.000000,0.555861,1.045402,50.537902,10000.000000,-3.729725,1.000000
16,T4b,1.000000,5.000000,0.995275,10.000000,10000.000000,-7.583959,1.000000
17,T4c,1.000000,5.000000,0.959569,10.000000,9941.728695,0.629213,1.000000
18,T4d,1.000000,5.000000,0.993297,16.590650,10000.000000,0.051575,1.000000
19,T5a,1.000000,5.000000,0.968787,37.017243,9988.551848,-19.275326,1.000000
20,T5b,1.000000,5.000000,0.950897,100.000000,9963.722285,13.674890,1.000000
21,T5c,1.000000,0.808548,1.003992,68.788556,9991.659204,12.640682,1.000000
22,T5d,1.000000,5.000000,1.034891,63.040101,9996.598517,-8.834782,1.000000
23,Tm1,1.000000,1.507060,1.045967,14.432577,10000.000000,20.000000,1.000000
24,Tm2,1.000000,0.500000,0.955348,10.000000,9942.305041,9.865490,1.000000
25,Tm20,1.000000,5.000000,0.963388,81.820788,9907.377775,3.894864,1.000000
26,Tm21,1.000000,5.000000,0.958669,10.000000,9990.198882,1.797193,1.000000
27,Tm3,1.000000,5.000000,1.002824,10.000000,10000.000000,-7.774733,1.000000
28,Tm4,1.000000,2.546226,1.023989,10.000000,10000.000000,20.000000,1.000000
29,Tm9,1.000000,2.779587,1.010430,26.158975,10000.000000,19.983119,1.000000
30,C2,1.000000,5.000000,0.994781,100.000000,10000.000000,-0.064778,1.000000
31,C3,1.000000,5.000000,1.044323,44.093106,10000.000000,2.271773,1.000000
