idx,cell,a_in,a_out,v_th,a_gt,bias_gt,h_g_max,h_g_max_off,h_v_mid,h_slope,tau_v_mid,h_v_mid_off,h_slope_off,tau_v_mid_off,v_pre,v_onset
0,R1-6,2.309803,1.523988,-50.000000,0.999414,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-30.133172,-30.062316
1,R7,2.309803,2.364195,-50.000000,1.039737,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-30.426653,-30.346193
2,R8,2.309803,0.381784,-50.000000,0.960040,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-49.102314,-49.332576
3,L1,2.309803,2.288366,-50.000000,0.266665,0.000000,53.333419,38.926884,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-45.730535,-45.762111
4,L2,2.309803,2.895108,-50.000000,0.283960,0.000000,54.524597,38.855507,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-45.096701,-45.142284
5,L3,2.309803,0.315644,-50.000000,0.497199,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-38.125779,-37.767751
6,L4,2.309803,2.402621,-50.000000,0.186385,0.000000,41.634988,35.041526,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-43.263462,-43.302702
7,L5,2.309803,1.329334,-50.000000,0.695290,0.000000,47.398900,43.162285,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-44.758085,-44.562709
8,Mi1,2.309803,1.941363,-50.000000,1.441855,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-42.226816,-41.151332
9,Tm3,2.309803,0.739786,-50.000000,0.840710,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-36.767749,-33.709214
10,Mi4,2.309803,0.420643,-50.000000,1.771613,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-35.925160,-32.584352
11,Mi9,2.309803,2.175382,-50.000000,0.847806,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-26.231420,-27.623600
12,T4a,2.309803,0.418331,-50.000000,1.041832,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-50.429571,-48.585596
13,T4b,2.309803,0.715404,-50.000000,0.962973,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-29.786842,-27.684405
14,T4c,2.309803,2.127377,-50.000000,1.008136,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-45.488769,-41.927483
15,T4d,2.309803,1.983406,-50.000000,0.990980,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-34.268614,-29.413968
16,Tm1,2.309803,0.196064,-50.000000,1.884313,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-25.696833,-26.541414
17,Tm2,2.309803,0.217835,-50.000000,1.564085,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-22.716331,-20.299372
18,Tm4,2.309803,0.100000,-50.000000,0.612440,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-20.154259,-20.623457
19,Tm9,2.309803,0.425197,-50.000000,0.917637,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-29.161251,-32.060780
20,T5a,2.309803,1.178091,-50.000000,1.013124,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-24.648347,-25.765895
21,T5b,2.309803,3.279232,-50.000000,0.966348,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-24.620845,-26.033639
22,T5c,2.309803,3.672928,-50.000000,0.971066,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-33.320446,-33.042402
23,T5d,2.309803,4.541642,-50.000000,0.980079,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-36.226398,-37.735662
24,T1,2.309803,2.409040,-50.000000,1.027749,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-55.205767,-55.801552
25,T2,2.309803,0.869084,-50.000000,0.966619,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-39.254762,-36.205276
26,T2a,2.309803,0.100000,-50.000000,0.984656,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-15.122474,-12.847276
27,T3,2.309803,0.594294,-50.000000,0.983386,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-16.454370,-11.545294
28,C2,2.309803,0.610960,-50.000000,1.006759,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-44.802356,-43.497173
29,C3,2.309803,1.052664,-50.000000,0.977108,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-21.230385,-20.437680
30,Lawf1,2.309803,0.629230,-50.000000,1.003022,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-29.871746,-26.361918
31,Lawf2,2.309803,1.473772,-50.000000,1.040627,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-28.300612,-29.599549
32,Dm3v,2.309803,3.467766,-50.000000,1.007260,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-25.663152,-29.795406
33,Lai,2.309803,4.114519,-50.000000,1.014549,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-53.650063,-53.902702
34,Mi10,2.309803,0.102232,-50.000000,0.986045,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-68.045827,-67.923398
35,Mi13,2.309803,1.392741,-50.000000,0.992915,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-46.962395,-51.148940
36,Mi14,2.309803,1.777027,-50.000000,1.027605,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-10.208144,-6.462801
37,Mi15,2.309803,1.675150,-50.000000,0.978905,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-42.419848,-40.509524
38,Mi2,2.309803,0.897103,-50.000000,0.977561,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-26.339605,-26.519090
39,Tm16,2.309803,4.474886,-50.000000,0.974597,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-52.742134,-53.790669
40,Tm20,2.309803,0.634806,-50.000000,1.030826,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-22.006658,-22.437271
41,Tm21,2.309803,3.971037,-50.000000,0.960250,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-44.084213,-45.059278
42,Tm27,2.309803,2.295696,-50.000000,0.986290,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-50.926299,-53.035810
43,Tm5a,2.309803,8.248698,-50.000000,1.028323,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-64.120111,-64.639185
44,Tm5b,2.309803,0.100000,-50.000000,0.984875,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-64.779719,-64.918926
45,Tm5c,2.309803,2.853353,-50.000000,1.026815,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-40.074588,-39.441323
46,Tm5f,2.309803,1.164700,-50.000000,0.962367,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-40.363190,-40.619037
47,TmY10,2.309803,1.314848,-50.000000,0.957754,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-41.212565,-41.105304
48,TmY11,2.309803,1.575472,-50.000000,0.987909,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-67.924463,-67.208323
49,TmY14,2.309803,1.359023,-50.000000,0.983881,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-39.143252,-28.266060
50,TmY15,2.309803,2.261410,-50.000000,1.041985,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-25.250466,-23.589421
51,TmY3,2.309803,2.703720,-50.000000,1.025187,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-37.660138,-29.401979
52,TmY4,2.309803,1.060905,-50.000000,0.967978,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-62.359377,-60.831122
53,TmY5a,2.309803,1.345263,-50.000000,1.002529,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-26.343250,-29.070168
54,TmY9q,2.309803,0.388559,-50.000000,0.979317,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-35.962204,-35.092341
55,TmY9q__perp,2.309803,2.756310,-50.000000,1.015395,0.000000,0.000000,0.000000,-44.432773,-0.200000,-44.078110,-44.071165,-0.200000,-44.051910,-28.558782,-27.987296
