idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,0.981733,38.491203,9990.197687,-0.491328,1.000000
1,R7,1.000000,5.000000,0.969529,37.754219,10000.000000,-0.473212,1.000000
2,R8,1.000000,5.000000,1.003864,39.111774,9999.794075,-0.401164,1.000000
3,L1,1.000000,5.000000,1.032861,38.867057,188.756833,4.705748,5.000000
4,L2,1.000000,5.000000,1.004773,38.193931,203.408739,6.196445,5.000000
5,L3,1.000000,5.000000,1.005779,37.108605,10000.000000,6.150000,1.000000
6,L4,1.000000,0.856927,0.974704,39.280304,205.126704,1.921897,5.000000
7,L5,1.000000,4.908216,1.035134,37.061695,190.703737,-1.036462,2.895103
8,Mi1,1.000000,1.208309,1.008670,36.000528,9994.760244,0.056403,1.000000
9,Mi4,1.000000,4.649058,1.028040,36.800972,10000.000000,2.825284,1.000000
10,Mi9,1.000000,4.160303,1.008749,37.521225,9988.018536,-4.232862,1.000000
11,T1,1.000000,0.500000,0.953921,53.605374,9994.778699,-2.392187,1.000000
12,T2,1.000000,0.500000,1.011459,52.722903,9999.999144,-3.119560,1.000000
13,T2a,1.000000,4.942844,1.047401,55.099806,9993.005673,9.732511,1.000000
14,T3,1.000000,0.500000,0.992919,54.895290,9996.173509,-4.368206,1.000000
15,T4a,1.000000,1.075502,1.044311,50.467773,9999.992845,0.228024,1.000000
16,T4b,1.000000,1.041623,0.990068,47.558054,9990.455783,-0.306043,1.000000
17,T4c,1.000000,1.917925,1.017901,51.175460,9999.997216,0.787966,1.000000
18,T4d,1.000000,1.015967,0.981995,50.749476,10000.000000,-0.018378,1.000000
19,T5a,1.000000,0.500000,1.047370,48.733272,10000.000000,-0.738644,1.000000
20,T5b,1.000000,0.500000,1.028880,48.625555,9999.999985,0.082345,1.000000
21,T5c,1.000000,1.161611,1.032524,48.364009,9997.420188,0.094778,1.000000
22,T5d,1.000000,1.030926,1.032924,49.062790,9999.958692,-0.022087,1.000000
23,Tm1,1.000000,2.181613,0.955979,39.100254,9989.269864,5.476992,1.000000
24,Tm2,1.000000,4.405251,1.005698,37.805527,9991.550084,8.579370,1.000000
25,Tm20,1.000000,4.905401,1.010539,35.584884,9983.191399,6.080158,1.000000
26,Tm21,1.000000,5.000000,1.015389,46.571021,9999.713552,8.615025,1.000000
27,Tm3,1.000000,2.560513,1.040049,36.149071,10000.000000,2.819558,1.000000
28,Tm4,1.000000,3.027829,1.007304,39.835770,10000.000000,4.666266,1.000000
29,Tm9,1.000000,2.810035,0.974874,37.295913,9987.163922,5.271748,1.000000
30,C2,1.000000,0.500000,0.971406,52.404233,9998.895547,-3.541512,1.000000
31,C3,1.000000,0.505182,1.008591,43.054367,10000.000000,-0.957398,1.000000
