,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,2.080610,,,0.392206,0.787790,0.391561,0.767963,,,,,1.662745,,,,,,,,,,,,,,,,,,,10.000000,6.683501,,
R7,,,2.517858,4.230558,,0.707812,,,0.100000,0.579467,1.049302,,,,,,,,,,,,,,,5.204507,,,,,,0.100000,0.982411,
R8,,2.481986,5.736005,0.275599,0.950844,0.879322,,0.100000,9.399412,0.100000,1.040810,0.529829,,,,,,,,,,,,,,2.441170,1.002539,,,,0.100000,10.000000,1.034658,2.624936
L1,1.639005,1.465624,0.924440,0.984752,0.100000,0.331005,0.991651,3.879403,5.920280,1.688415,,0.959427,1.208991,0.979914,,,,,,,,,,1.153090,0.986494,,,0.100000,,,1.913382,2.476632,,0.921943
L2,1.304652,,4.631581,0.100000,0.390302,4.055603,0.795463,0.100000,2.126977,0.100000,0.692489,0.100919,5.006364,0.989001,,,,,,,,,,2.938088,0.110612,8.100023,,0.100000,3.996484,,0.100000,5.406838,,
L3,,10.000000,0.100000,3.339071,4.662643,,,,0.989892,10.000000,0.100000,0.107402,,,,,,,,,,,,6.123523,0.976033,2.531786,1.001821,,0.960628,1.038090,0.100000,3.188167,1.031593,
L4,0.220284,,,0.906296,3.637012,0.233160,1.933154,0.981195,0.981371,,0.100108,,3.055647,,,,,,,,,,,1.321673,2.584475,,,,1.610096,0.956563,,1.730998,0.992692,1.648865
L5,,,,0.100000,10.000000,,,3.515167,3.272636,0.100000,1.384659,0.360446,1.641485,0.265795,,,,,,,,,,0.100000,4.220597,2.991070,10.000000,1.428458,1.895964,,0.100000,0.985489,0.100000,0.396393
Mi1,,0.100000,0.996555,2.151609,0.100000,,,0.100000,4.300573,0.100000,0.100000,0.100000,1.362270,1.385373,2.422975,0.272834,0.162146,1.015115,0.473378,,,,,0.100000,1.400704,3.503120,7.880194,1.958677,8.377893,,0.126253,4.455983,0.995739,0.131316
Mi4,,,,,7.626082,9.313442,,0.100000,0.100000,0.862699,3.135512,0.748681,,1.042812,,0.100000,0.967816,0.969488,0.985467,,,,,0.200104,0.100000,1.758288,,0.100000,1.288516,1.154855,1.026031,0.498642,1.034821,3.234976
