time_s,dff_percent
0.000,-4.46
0.100,-4.46
0.200,-4.46
0.300,-4.46
0.400,-4.46
0.500,-4.46
0.600,-4.46
0.700,-4.46
0.800,-3.57
0.900,-2.68
1.000,-0.89
1.100,0.00
1.200,0.00
1.300,0.00
1.400,0.89
1.500,0.00
1.600,0.89
1.700,1.79
1.800,1.79
1.900,0.00
2.000,0.00
2.100,0.00
2.200,-0.89
2.300,-1.79
2.400,-1.79
2.500,-0.89
2.600,-1.79
2.700,-1.79
2.800,0.89
2.900,2.68
3.000,6.25
3.100,8.93
3.200,9.82
3.300,8.93
3.400,8.04
3.500,7.14
3.600,5.36
3.700,1.79
3.800,-0.89
3.900,0.00
4.000,2.68
4.100,3.57
4.200,1.79
4.300,1.79
4.400,1.79
4.500,0.00
4.600,-0.89
4.700,0.00
4.800,0.00
4.900,0.89
5.000,0.89
5.100,0.89
5.200,0.00
5.300,0.00
5.400,-0.89
5.500,-2.68
5.600,-1.79
5.700,-0.89
5.800,-0.89
5.900,0.00
6.000,0.00
6.100,0.89
6.200,1.79
6.300,1.79
6.400,0.89
6.500,1.79
6.600,3.57
6.700,1.79
6.800,0.89
6.900,0.00
7.000,0.00
7.100,0.00
7.200,0.00
7.300,-1.79
7.400,-1.79
7.500,-0.89
7.600,0.89
7.700,0.89
7.800,-0.89
7.900,-1.79
8.000,0.00
8.100,0.00
8.200,0.00
8.300,0.00
8.400,0.00
8.500,0.00
8.600,0.00
8.700,0.00
8.800,0.00
8.900,0.00
9.000,0.00
9.100,0.00
9.200,0.00
9.300,0.00
9.400,0.00
