time_s,dff_percent
0.000,-1.79
0.100,-1.79
0.200,-1.79
0.300,-1.79
0.400,-1.79
0.500,-1.79
0.600,-1.79
0.700,-1.79
0.800,-1.79
0.900,-1.79
1.000,-1.79
1.100,-1.79
1.200,-1.79
1.300,-0.89
1.400,0.00
1.500,-0.89
1.600,-0.89
1.700,-0.89
1.800,0.89
1.900,0.00
2.000,0.00
2.100,0.89
2.200,0.89
2.300,-0.89
2.400,0.89
2.500,1.79
2.600,1.79
2.700,0.89
2.800,0.00
2.900,0.89
3.000,1.79
3.100,0.89
3.200,0.00
3.300,0.89
3.400,5.36
3.500,7.14
3.600,8.93
3.700,6.25
3.800,6.25
3.900,6.25
4.000,4.46
4.100,4.46
4.200,4.46
4.300,3.57
4.400,2.68
4.500,4.46
4.600,2.68
4.700,1.79
4.800,0.89
4.900,0.00
5.000,0.00
5.100,0.89
5.200,0.00
5.300,-0.89
5.400,-0.89
5.500,-0.89
5.600,-0.89
5.700,0.00
5.800,0.00
5.900,0.89
6.000,-0.89
6.100,-0.89
6.200,-0.89
6.300,0.00
6.400,-1.79
6.500,-3.57
6.600,-1.79
6.700,-0.89
6.800,-1.79
6.900,-0.89
7.000,0.00
7.100,0.00
7.200,0.00
7.300,0.89
7.400,2.68
7.500,1.79
7.600,-0.89
7.700,0.00
7.800,0.89
7.900,0.00
8.000,-0.89
8.100,-0.89
8.200,-0.89
8.300,-0.89
8.400,-0.89
8.500,0.00
8.600,0.89
8.700,1.79
8.800,1.79
8.900,1.79
9.000,1.79
9.100,1.79
9.200,1.79
9.300,1.79
9.400,1.79
