time_s,dff_percent
0.000,-2.68
0.100,-2.68
0.200,-2.68
0.300,-2.68
0.400,-2.68
0.500,-2.68
0.600,-2.68
0.700,-2.68
0.800,-2.68
0.900,-2.68
1.000,-2.68
1.100,-2.68
1.200,-2.68
1.300,-1.79
1.400,-1.79
1.500,-0.89
1.600,-1.79
1.700,-1.79
1.800,-1.79
1.900,-1.79
2.000,-1.79
2.100,-2.68
2.200,-2.68
2.300,-1.79
2.400,-1.79
2.500,-1.79
2.600,-1.79
2.700,-1.79
2.800,-1.79
2.900,-1.79
3.000,-1.79
3.100,-1.79
3.200,-1.79
3.300,1.79
3.400,19.64
3.500,35.71
3.600,55.36
3.700,62.50
3.800,59.82
3.900,56.25
4.000,51.79
4.100,47.32
4.200,42.86
4.300,39.29
4.400,35.71
4.500,32.14
4.600,29.46
4.700,25.89
4.800,24.11
4.900,22.32
5.000,19.64
5.100,16.96
5.200,16.07
5.300,15.18
5.400,13.39
5.500,11.61
5.600,8.93
5.700,8.04
5.800,8.93
5.900,7.14
6.000,5.36
6.100,5.36
6.200,3.57
6.300,3.57
6.400,2.68
6.500,3.57
6.600,1.79
6.700,2.68
6.800,2.68
6.900,1.79
7.000,1.79
7.100,1.79
7.200,1.79
7.300,1.79
7.400,0.89
7.500,0.00
7.600,0.00
7.700,1.79
7.800,0.00
7.900,0.00
8.000,0.00
8.100,0.00
8.200,0.00
8.300,0.00
8.400,-0.89
8.500,-0.89
8.600,0.00
8.700,0.00
8.800,0.00
8.900,0.00
9.000,0.00
9.100,0.00
9.200,0.00
9.300,0.00
9.400,0.00
