time_s,dff_percent
0.000,0.00
0.100,0.00
0.200,0.00
0.300,0.00
0.400,0.00
0.500,0.00
0.600,0.00
0.700,0.00
0.800,0.00
0.900,0.00
1.000,0.00
1.100,0.00
1.200,0.89
1.300,0.89
1.400,0.89
1.500,1.79
1.600,1.79
1.700,0.00
1.800,-0.89
1.900,-0.89
2.000,-1.79
2.100,-0.89
2.200,0.89
2.300,0.00
2.400,-2.68
2.500,-3.57
2.600,-0.89
2.700,1.79
2.800,2.68
2.900,2.68
3.000,1.79
3.100,0.00
3.200,-1.79
3.300,0.00
3.400,3.57
3.500,8.04
3.600,16.07
3.700,17.86
3.800,17.86
3.900,16.07
4.000,16.07
4.100,14.29
4.200,10.71
4.300,9.82
4.400,9.82
4.500,9.82
4.600,8.04
4.700,8.04
4.800,6.25
4.900,3.57
5.000,1.79
5.100,0.00
5.200,0.89
5.300,3.57
5.400,4.46
5.500,2.68
5.600,-0.89
5.700,-1.79
5.800,-0.89
5.900,-0.89
6.000,0.00
6.100,-0.89
6.200,-1.79
6.300,0.00
6.400,0.89
6.500,0.00
6.600,-0.89
6.700,-2.68
6.800,-1.79
6.900,-0.89
7.000,-0.89
7.100,-1.79
7.200,0.00
7.300,1.79
7.400,1.79
7.500,0.00
7.600,-1.79
7.700,-1.79
7.800,0.00
7.900,0.00
8.000,-0.89
8.100,-1.79
8.200,-1.79
8.300,-3.57
8.400,-3.57
8.500,-3.57
8.600,-3.57
8.700,-3.57
8.800,-3.57
8.900,-3.57
9.000,-3.57
9.100,-3.57
9.200,-3.57
9.300,-3.57
9.400,-3.57
