time_s,dff_percent
0.000,-2.68
0.100,-2.68
0.200,-2.68
0.300,-2.68
0.400,-2.68
0.500,-2.68
0.600,-2.68
0.700,-2.68
0.800,-2.68
0.900,-2.68
1.000,-2.68
1.100,-2.68
1.200,-2.68
1.300,-2.68
1.400,-2.68
1.500,-1.79
1.600,-0.89
1.700,0.00
1.800,0.00
1.900,-0.89
2.000,-0.89
2.100,-0.89
2.200,-0.89
2.300,-0.89
2.400,-0.89
2.500,-1.79
2.600,-2.68
2.700,-1.79
2.800,0.00
2.900,0.89
3.000,0.89
3.100,0.89
3.200,0.89
3.300,0.00
3.400,-1.79
3.500,-2.68
3.600,-1.79
3.700,0.00
3.800,3.57
3.900,11.61
4.000,20.54
4.100,29.46
4.200,36.61
4.300,36.61
4.400,34.82
4.500,30.36
4.600,26.79
4.700,23.21
4.800,19.64
4.900,18.75
5.000,15.18
5.100,11.61
5.200,8.93
5.300,8.93
5.400,7.14
5.500,5.36
5.600,4.46
5.700,4.46
5.800,4.46
5.900,2.68
6.000,2.68
6.100,2.68
6.200,3.57
6.300,4.46
6.400,5.36
6.500,4.46
6.600,1.79
6.700,0.89
6.800,0.89
6.900,0.89
7.000,0.00
7.100,0.89
7.200,0.89
7.300,0.00
7.400,0.00
7.500,0.00
7.600,1.79
7.700,0.00
7.800,0.00
7.900,0.89
8.000,0.89
8.100,0.89
8.200,0.00
8.300,-0.89
8.400,-1.79
8.500,-3.57
8.600,-0.89
8.700,0.00
8.800,-0.89
8.900,-1.79
9.000,-1.79
9.100,-1.79
9.200,-1.79
9.300,-1.79
9.400,-1.79
