time_s,dff_percent
0.000,-1.79
0.100,-1.79
0.200,-1.79
0.300,-1.79
0.400,-1.79
0.500,-1.79
0.600,-1.79
0.700,-1.79
0.800,-1.79
0.900,-1.79
1.000,-1.79
1.100,-1.79
1.200,-1.79
1.300,-2.68
1.400,-2.68
1.500,-1.79
1.600,-0.89
1.700,-1.79
1.800,-2.68
1.900,-2.68
2.000,-2.68
2.100,-2.68
2.200,-2.68
2.300,-2.68
2.400,-2.68
2.500,-2.68
2.600,-4.46
2.700,-2.68
2.800,-1.79
2.900,-0.89
3.000,-2.68
3.100,-2.68
3.200,-2.68
3.300,0.89
3.400,15.18
3.500,35.71
3.600,52.68
3.700,67.86
3.800,67.86
3.900,65.18
4.000,60.71
4.100,56.25
4.200,50.89
4.300,46.43
4.400,42.86
4.500,38.39
4.600,34.82
4.700,32.14
4.800,28.57
4.900,25.89
5.000,22.32
5.100,20.54
5.200,19.64
5.300,16.96
5.400,15.18
5.500,13.39
5.600,12.50
5.700,10.71
5.800,9.82
5.900,9.82
6.000,8.04
6.100,7.14
6.200,5.36
6.300,4.46
6.400,2.68
6.500,2.68
6.600,2.68
6.700,2.68
6.800,1.79
6.900,0.89
7.000,2.68
7.100,2.68
7.200,0.89
7.300,0.00
7.400,-0.89
7.500,-0.89
7.600,0.89
7.700,-0.89
7.800,-0.89
7.900,-0.89
8.000,-0.89
8.100,-0.89
8.200,-0.89
8.300,-2.68
8.400,-1.79
8.500,0.00
8.600,0.00
8.700,0.00
8.800,0.00
8.900,0.00
9.000,0.00
9.100,0.00
9.200,0.00
9.300,0.00
9.400,0.00
