idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,0.992485,10.000000,10000.000000,-0.452718,1.000000
1,R7,1.000000,5.000000,1.031180,10.000000,10000.000000,-0.396155,1.000000
2,R8,1.000000,5.000000,0.952202,11.869366,10000.000000,-0.448063,1.000000
3,L1,1.000000,5.000000,1.022125,16.343657,225.501473,11.152820,5.000000
4,L2,1.000000,5.000000,0.969974,17.128359,250.604736,11.576203,5.000000
5,L3,1.000000,5.000000,0.955290,18.837096,10000.000000,13.260937,1.000000
6,L4,1.000000,1.822958,0.962057,10.000000,197.149073,11.038481,4.675802
7,L5,1.000000,3.327386,0.991473,20.798346,177.733195,-0.622818,0.640391
8,Mi1,1.000000,5.000000,0.998407,30.080683,10000.000000,-7.983428,1.000000
9,Mi4,1.000000,5.000000,0.979374,10.000000,10000.000000,10.552108,1.000000
10,Mi9,1.000000,5.000000,0.966941,23.612635,9983.905320,2.392394,1.000000
11,T1,1.000000,2.442973,0.975402,83.292178,9968.155016,0.920837,1.000000
12,T2,1.000000,4.407934,1.019246,52.699483,9974.548865,-0.866410,1.000000
13,T2a,1.000000,4.997865,0.994105,84.809506,9945.411777,7.037391,1.000000
14,T3,1.000000,5.000000,1.044452,100.000000,9924.593164,20.000000,1.000000
15,T4a,1.000000,1.911535,0.980308,48.909046,9993.396681,-0.031065,1.000000
16,T4b,1.000000,5.000000,1.016853,10.000000,9984.835792,13.326837,1.000000
17,T4c,1.000000,5.000000,1.031611,17.272462,9995.235974,4.843219,1.000000
18,T4d,1.000000,0.500000,0.953123,43.741276,9989.794140,6.738579,1.000000
19,T5a,1.000000,1.751034,1.038617,10.000000,10000.000000,12.924194,1.000000
20,T5b,1.000000,5.000000,1.040375,99.212141,9973.244956,16.836385,1.000000
21,T5c,1.000000,5.000000,1.024661,86.816191,10000.000000,20.000000,1.000000
22,T5d,1.000000,4.412545,1.032663,73.813646,9995.195198,9.065542,1.000000
23,Tm1,1.000000,4.983631,1.010317,15.577436,10000.000000,20.000000,1.000000
24,Tm2,1.000000,2.728182,1.030823,10.000000,10000.000000,20.000000,1.000000
25,Tm20,1.000000,5.000000,0.989201,78.669304,9975.056318,19.040614,1.000000
26,Tm21,1.000000,5.000000,1.039483,49.678889,9981.195606,12.189269,1.000000
27,Tm3,1.000000,0.500000,1.000226,10.000000,10000.000000,-3.446665,1.000000
28,Tm4,1.000000,5.000000,0.953637,10.000000,10000.000000,20.000000,1.000000
29,Tm9,1.000000,2.718236,0.979117,10.553658,9948.970614,11.671653,1.000000
30,C2,1.000000,3.275580,1.010980,69.862984,9995.751708,-0.165933,1.000000
31,C3,1.000000,4.939846,0.976729,39.864602,9999.852559,-0.013347,1.000000
