idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.983561,0.000000,2.240743,2.019541,-5.798487,-100.000000,-50.000000,1.027822,49.766541,10.000000,253.754754,0.000000,15.385624,15.409629,20.116150,4.706522
1,R7,0.961111,0.000000,2.240743,3.203515,-25.448057,-100.000000,-50.000000,1.033193,49.766541,10.000000,253.754754,0.000000,-6.724543,-6.667712,-1.462908,5.204805
2,R8,1.038419,0.000000,2.240743,2.335873,-13.126949,-100.000000,-50.000000,1.015149,49.766541,10.000000,253.754754,0.000000,2.316911,2.352093,7.323747,4.971654
3,L1,2.000000,0.000000,2.240743,1.430352,-0.879631,-100.000000,-50.000000,1.015127,49.766541,10.000000,253.754754,0.883745,-30.592646,-30.796343,-39.416490,-8.620148
4,L2,2.000000,0.000000,2.240743,2.913131,-0.119878,-100.000000,-50.000000,1.002308,49.766541,10.000000,253.754754,0.901070,-29.395263,-29.648027,-38.353640,-8.705613
5,L3,0.500000,0.000000,2.240743,1.594282,9.782620,-100.000000,-50.000000,1.021820,49.766541,10.000000,253.754754,0.000000,-4.567740,-4.964303,-7.274296,-2.309993
6,L4,1.105338,0.000000,2.240743,0.582708,-2.785089,-100.000000,-50.000000,0.974628,49.766541,10.000000,253.754754,0.620404,16.971153,16.695581,8.681383,-8.014197
7,L5,1.935665,0.000000,2.240743,1.160861,0.825748,-100.000000,-50.000000,0.985612,49.766541,10.000000,253.754754,0.540884,-31.867370,-31.585859,-22.019658,9.566200
8,Mi1,1.248690,0.000000,2.240743,1.900809,1.210566,-100.000000,-50.000000,0.964095,49.766541,10.000000,253.754754,0.000000,-12.332439,-11.900753,-5.323001,6.577752
9,Tm3,0.500000,0.000000,2.240743,1.429420,7.171433,-100.000000,-50.000000,1.006816,49.766541,10.000000,253.754754,0.000000,-4.488798,-3.974683,0.762437,4.737119
10,Mi4,0.867236,0.000000,2.240743,1.997828,-7.256972,-100.000000,-50.000000,1.027215,49.766541,10.000000,253.754754,0.000000,0.425787,1.085965,5.115112,4.029148
11,Mi9,0.540616,0.000000,2.240743,2.478573,-4.508743,-100.000000,-50.000000,1.017913,49.766541,10.000000,253.754754,0.000000,3.805865,2.966054,-0.322675,-3.288729
12,T4a,1.000683,0.000000,2.240743,3.694263,-0.832466,-100.000000,-50.000000,1.042282,49.766541,10.000000,253.754754,0.000000,78.946104,81.210263,95.296265,14.086002
13,T4b,1.027220,0.000000,2.240743,4.704560,-0.009879,-100.000000,-50.000000,0.988996,49.766541,10.000000,253.754754,0.000000,-11.700954,-12.004661,-13.410232,-1.405571
14,T4c,1.008722,0.000000,2.240743,2.812375,4.001308,-100.000000,-50.000000,0.967240,49.766541,10.000000,253.754754,0.000000,-5.802005,-5.802998,-5.358794,0.444204
15,T4d,1.013366,0.000000,2.240743,3.093713,2.028164,-100.000000,-50.000000,0.996983,49.766541,10.000000,253.754754,0.000000,6.730179,7.244899,10.652014,3.407115
16,Tm1,0.996691,0.000000,2.240743,0.736202,-1.778302,-100.000000,-50.000000,1.036306,49.766541,10.000000,253.754754,0.000000,13.466992,12.868015,7.497762,-5.370253
17,Tm2,0.659525,0.000000,2.240743,2.666892,-1.924167,-100.000000,-50.000000,0.971137,49.766541,10.000000,253.754754,0.000000,-4.986443,-4.946071,-7.633947,-2.687876
18,Tm4,0.520693,0.000000,2.240743,3.892731,-11.308109,-100.000000,-50.000000,0.951720,49.766541,10.000000,253.754754,0.000000,13.206754,12.861111,8.094884,-4.766227
19,Tm9,0.500000,0.000000,2.240743,6.875218,-0.942161,-100.000000,-50.000000,1.008991,49.766541,10.000000,253.754754,0.000000,1.635031,0.816215,-2.220122,-3.036337
20,T5a,0.965591,0.000000,2.240743,6.425471,-3.794264,-100.000000,-50.000000,0.991580,49.766541,10.000000,253.754754,0.000000,225.482372,237.765442,272.750427,34.984984
21,T5b,1.023269,0.000000,2.240743,9.983231,-1.921043,-100.000000,-50.000000,1.017944,49.766541,10.000000,253.754754,0.000000,243.659245,243.576259,236.570813,-7.005446
22,T5c,0.963881,0.000000,2.240743,7.274214,9.948633,-100.000000,-50.000000,0.982347,49.766541,10.000000,253.754754,0.000000,148.607658,148.412032,144.514099,-3.897934
23,T5d,1.036696,0.000000,2.240743,10.000000,17.768517,-100.000000,-50.000000,1.010431,49.766541,10.000000,253.754754,0.000000,69.475199,69.538159,68.768503,-0.769656
24,T1,1.037975,0.000000,2.240743,0.911754,-0.424397,-100.000000,-50.000000,0.972570,49.766541,10.000000,253.754754,0.000000,8.487237,8.239195,6.464569,-1.774626
25,T2,0.964824,0.000000,2.240743,2.080165,-5.719547,-100.000000,-50.000000,1.012376,49.766541,10.000000,253.754754,0.000000,69.531487,72.006217,83.181495,11.175278
26,T2a,0.979935,0.000000,2.240743,2.603381,-4.784972,-100.000000,-50.000000,1.041541,49.766541,10.000000,253.754754,0.000000,104.867934,105.091312,112.345722,7.254410
27,T3,1.011930,0.000000,2.240743,2.603626,-3.891690,-100.000000,-50.000000,0.964090,49.766541,10.000000,253.754754,0.000000,227.812215,227.323432,219.417525,-7.905908
28,C2,0.950604,0.000000,2.240743,1.248846,-3.310702,-100.000000,-50.000000,0.959235,49.766541,10.000000,253.754754,0.000000,61.624256,62.218232,68.493248,6.275016
29,C3,1.031067,0.000000,2.240743,0.964272,-0.211773,-100.000000,-50.000000,1.013469,49.766541,10.000000,253.754754,0.000000,74.210109,74.685391,77.293352,2.607961
30,Lawf1,0.993107,0.000000,2.240743,2.524395,-4.722901,-100.000000,-50.000000,0.982337,49.766541,10.000000,253.754754,0.000000,63.249307,62.267647,56.267670,-5.999977
31,Lawf2,1.023229,0.000000,2.240743,2.913183,-1.995031,-100.000000,-50.000000,1.045008,49.766541,10.000000,253.754754,0.000000,3.995886,1.181313,-14.834648,-16.015962
32,Dm3v,1.006749,0.000000,2.240743,3.379568,1.147562,-100.000000,-50.000000,1.001835,49.766541,10.000000,253.754754,0.000000,72.120627,72.394758,71.478033,-0.916725
33,Lai,0.984490,0.000000,2.240743,10.000000,0.448903,-100.000000,-50.000000,0.991981,49.766541,10.000000,253.754754,0.000000,-571.754494,-574.595418,-608.489534,-33.894116
34,Mi10,1.013346,0.000000,2.240743,0.734234,-1.884933,-100.000000,-50.000000,0.998785,49.766541,10.000000,253.754754,0.000000,-117.122428,-115.934719,-111.410051,4.524669
35,Mi13,1.047420,0.000000,2.240743,0.788897,-4.102154,-100.000000,-50.000000,1.006262,49.766541,10.000000,253.754754,0.000000,42.337213,41.989375,39.006026,-2.983349
36,Mi14,1.016504,0.000000,2.240743,1.219350,-0.697942,-100.000000,-50.000000,0.995170,49.766541,10.000000,253.754754,0.000000,76.004666,75.869163,72.730605,-3.138558
37,Mi15,1.004348,0.000000,2.240743,3.376042,1.499794,-100.000000,-50.000000,1.046270,49.766541,10.000000,253.754754,0.000000,-3.863104,-3.844483,-3.505776,0.338708
38,Mi2,1.015360,0.000000,2.240743,5.122275,5.055849,-100.000000,-50.000000,0.974743,49.766541,10.000000,253.754754,0.000000,54.549864,54.391089,54.679267,0.288178
39,Tm16,0.995013,0.000000,2.240743,5.192101,2.297344,-100.000000,-50.000000,1.049764,49.766541,10.000000,253.754754,0.000000,-90.181557,-91.470083,-97.031067,-5.560984
40,Tm20,0.952954,0.000000,2.240743,3.225217,-2.873432,-100.000000,-50.000000,0.987756,49.766541,10.000000,253.754754,0.000000,-28.826507,-29.157122,-31.811087,-2.653964
41,Tm21,1.023382,0.000000,2.240743,3.898137,-2.355594,-100.000000,-50.000000,0.975688,49.766541,10.000000,253.754754,0.000000,41.281764,46.992420,71.643466,24.651046
42,Tm27,0.958262,0.000000,2.240743,0.947226,-3.385640,-100.000000,-50.000000,1.000761,49.766541,10.000000,253.754754,0.000000,98.274936,99.558179,109.936448,10.378269
43,Tm5a,1.011755,0.000000,2.240743,10.000000,16.093565,-100.000000,-50.000000,1.029083,49.766541,10.000000,253.754754,0.000000,60.295694,105.765011,1373.107828,1267.342817
