,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,2.162366,,,5.000000,5.000000,5.000000,5.000000,,,,,0.668781,,,,,,,,,,,,,,,,,,,5.000000,3.236890
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.500000
R8,,0.500000,5.000000,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,5.000000,3.832024,,,,,,,,,,,,,,5.000000,0.985116,,,,5.000000,0.581031
L1,2.183935,2.276436,1.649183,0.972071,0.500000,0.500000,0.500000,5.000000,1.641033,0.500000,,5.000000,5.000000,5.000000,,,,,,,,,,0.500000,0.500000,,,5.000000,,,3.953589,3.882222
L2,0.500000,,0.500000,0.500000,1.108278,5.000000,4.662691,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.037870,,,,,,,,,,1.178865,1.585178,5.000000,,0.500000,5.000000,,5.000000,0.500000
L3,,0.500000,0.500000,0.500000,0.500000,,,,1.053306,0.500000,0.500000,0.500000,,,,,,,,,,,,0.500000,5.000000,5.000000,1.040007,,0.500000,5.000000,0.500000,0.530998
L4,0.824821,,,0.500000,0.530864,0.500000,0.500000,5.000000,5.000000,,0.500000,,0.500000,,,,,,,,,,,0.500000,1.640315,,,,5.000000,5.000000,,3.054521
L5,,,,0.500000,0.500000,,,4.743501,5.000000,5.000000,0.500000,1.688231,5.000000,3.961230,,,,,,,,,,0.500000,0.500000,0.500000,5.000000,5.000000,0.500000,,2.606504,0.500000
Mi1,,0.500000,5.000000,0.500000,0.500000,,,5.000000,5.000000,5.000000,0.500000,0.500000,5.000000,4.263157,0.500000,5.000000,0.500000,5.000000,0.502866,,,,,0.500000,0.500000,0.500000,5.000000,5.000000,0.500000,,0.767333,0.500000
Mi4,,,,,0.569438,5.000000,,5.000000,0.500000,0.500000,2.990665,5.000000,,0.500000,,0.500000,0.500000,0.500000,0.982688,,,,,5.000000,0.500000,5.000000,,0.500000,0.500000,5.000000,0.500000,0.972164
Mi9,,,,,,0.500000,2.983033,,3.255909,4.049788,,,5.000000,0.500000,0.500000,0.501448,5.000000,0.500000,3.053609,,,,,0.500000,5.000000,5.000000,0.500000,5.000000,1.569504,0.500000,3.518306,
T1,1.094213,5.000000,0.500000,,3.805899,0.500000,,1.358149,,,3.412230,,,,,,,,,,,,,0.500000,0.663612,0.500000,,,2.721747,,,
T2,,,,,,,,5.000000,5.000000,,0.500000,,5.000000,1.024816,5.000000,,,,,,,,,5.000000,5.000000,,0.500000,5.000000,0.500000,,,
T2a,,,,,,,,,0.670012,,,,5.000000,5.000000,5.000000,,,,,,,,,0.500000,,5.000000,1.013311,5.000000,0.500000,,0.500000,
T3,,,,,,,,,,,,,5.000000,1.030486,1.044539,,,,0.980565,,,,,3.556121,,,5.000000,5.000000,,,,4.753090
T4a,,,,,,,,,,,5.000000,,,,,5.000000,0.982308,0.993614,0.955478,1.006191,,,,,,,,,,,,0.500000
T4b,,,,,,,,,0.500000,5.000000,4.404826,,,,,5.000000,0.500000,,1.025608,,5.000000,,,,,,,,,,,
T4c,,,,,,,,,,,5.000000,,1.041098,,,,,5.000000,,,,1.009954,1.001957,,,,,,,,,
T4d,,,,,,,,,0.762578,,,,,,,,,1.010517,0.500070,,,,1.012002,,,,,,,,,
T5a,,,,,,,,,,,,,5.000000,,,0.500000,,,,5.000000,1.023787,,,,1.891144,,,,,,,
T5b,,,,,,,,,,,,,5.000000,,,,0.500000,,,1.002358,5.000000,,,,,,,,,,,
T5c,,,,,,,,,,,,,5.000000,,,,,0.500000,,,0.979139,5.000000,1.033573,,,,,,,,,
T5d,,,,,,,,,,,,,0.500000,,,,,4.177295,0.986131,,,,5.000000,,,,,,,,,
Tm1,,,,,0.500000,,,0.500000,2.178008,0.500000,0.859246,5.000000,5.000000,5.000000,5.000000,,,0.957711,,5.000000,5.000000,5.000000,0.500000,5.000000,0.500000,5.000000,5.000000,0.500000,5.000000,5.000000,1.773070,0.500000
Tm2,,,,0.500000,0.500000,,,0.500000,5.000000,0.500000,5.000000,0.500000,3.493998,0.500000,0.500000,0.961216,,0.500000,,5.000000,5.000000,5.000000,0.500000,0.500000,,,5.000000,5.000000,5.000000,0.500000,,0.578757
Tm20,,,,,,,,,,0.500000,0.500000,0.500000,5.000000,5.000000,,,,,,,,,,0.500000,0.500000,3.156242,1.018005,,,5.000000,,0.500000
Tm21,,,,,,,,,5.000000,,,,1.001873,0.973217,,,,,,,,,,5.000000,,,5.000000,,,,,
Tm3,,,,0.500000,0.500000,,,,0.500000,4.929057,4.539524,,0.500000,5.000000,0.500000,5.000000,5.000000,5.000000,0.500021,,0.953763,,0.990882,,,,,5.000000,0.500000,,2.095548,2.148954
Tm4,,,,,5.000000,,,,0.500000,1.471394,,0.963758,0.500000,5.000000,5.000000,,,,,5.000000,5.000000,5.000000,0.500000,5.000000,5.000000,,0.500000,0.500000,5.000000,,0.500000,0.500000
Tm9,,,,,,4.033955,,,,0.500000,0.500000,,0.500000,3.368356,,,,,,5.000000,5.000000,5.000000,0.513002,0.500000,0.500000,4.235477,1.544578,,0.500000,5.000000,,
C2,0.500000,0.500000,5.000000,1.212335,0.500000,5.000000,3.540804,2.887033,4.692730,0.777088,,4.893230,0.500000,0.500000,5.000000,,,,,,,,,2.627169,,,,,,5.000000,0.500000,4.056343
