contrast,direction,shared_gain,shared_shift_ms,trace_r_squared,global_r_squared
PC,PD,0.721389671,147.000000000,0.947639367,0.848733991
PC,ND,0.721389671,147.000000000,0.462439178,0.848733991
NC,PD,0.721389671,147.000000000,0.738126903,0.848733991
NC,ND,0.721389671,147.000000000,0.552804824,0.848733991
