position,g4+,g4-,g4+ fit,g4- fit,G+,G-
-7,,,,,0.39576744724437807,-0.15538649438815397
-6,10.022225550739575,-4.510095714155469,7.5583091732947825,-4.230041847621489,1.0098584103611932,-0.46531429364043864
-5,14.521975309502604,-6.601887831994562,15.441915968330044,-9.001163899201503,1.9950117836287864,-1.0966915869813603
-4,28.55108619107204,-13.740066229922526,28.173979668396587,-16.889955622536537,4.157671532060462,-2.5126494726115567
-3,42.47607030149338,-24.860169503122314,44.36931035490469,-27.94693470336669,8.27937424227967,-4.92650854596819
-2,61.260910867578254,-45.896114735758985,59.56625380737467,-40.7770388446822,13.74192211042771,-8.35410601697546
-1,68.00928750656921,-56.59464848318036,67.8609137206723,-52.465404134406555,18.190342470136883,-12.15367066781151
0,64.2669006148804,-57.49376480407079,65.51215304790021,-59.525930519779735,19.354614984530404,-15.34275361392704
1,54.199546524411375,-56.36231044158405,53.61188262965101,-59.55458417154088,16.574034155577277,-16.614873835692514
2,37.635673333299415,-52.30758426960526,37.282736420340655,-52.5412055122055,11.393161437655623,-15.41463240234863
3,22.38677077783112,-40.66243072985348,22.187222783823653,-40.87527640811101,6.29007205188769,-12.182324319572656
4,11.538550498154487,-29.12308801260289,11.516924979056983,-28.04123937718927,3.0254687752200633,-8.329374954591668
5,3.7037919783515463,-19.09818188567641,5.491186078970006,-16.96326864975077,1.4785205190602895,-4.94894473159805
6,,,,,0.7228636328889492,-2.5805953714268925
7,,,,,0.26433315180071254,-1.1043535921341596
