trace_id,position,gain_pos_mv,gain_neg_mv,gain_scale_a,delay_pos_ms,delay_neg_ms,tau_pos_ms,tau_neg_ms,r_squared,global_r_squared,sse,global_sse,n_points
T4_PC_pos-6,-6,11.03742099808817,-15.651819295293846,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.7459239339169386,0.9537083929838981,112.43809467273974,4096.991599485966,220
T4_PC_pos-5,-5,16.068489185013707,-19.092344476722214,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.8861721261475899,0.9537083929838981,105.68306508254285,4096.991599485966,218
T4_PC_pos-4,-4,32.66989501049119,-36.91389088595163,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.9524767411886099,0.9537083929838981,155.83663012020293,4096.991599485966,218
T4_PC_pos-3,-3,48.355479399913975,-60.610594612774605,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.9661609747166497,0.9537083929838981,212.5654054325001,4096.991599485966,217
T4_PC_pos-2,-2,63.54330598593558,-85.81097490695488,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.987452921652359,0.9537083929838981,134.12064163453007,4096.991599485966,217
T4_PC_pos-1,-1,67.49444802025576,-99.99999999999999,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.9822878631871008,0.9537083929838981,216.32026987012154,4096.991599485966,215
T4_PC_pos+0,0,61.92589109204743,-99.99999999999999,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.9681888668106372,0.9537083929838981,324.49268904176995,4096.991599485966,217
T4_PC_pos+1,1,51.41272635676522,-99.98697325229436,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.9430573134175216,0.9537083929838981,385.0621290453206,4096.991599485966,216
T4_PC_pos+2,2,28.96363292364612,-79.16880217231338,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.8974722929232918,0.9537083929838981,356.4231058197722,4096.991599485966,216
T4_PC_pos+3,3,9.428733257122497,-45.47646241264431,0.574146456524488,8.01183110017227,88.48070516014803,271.19321475154334,999.9999999999999,0.8423371898631127,0.9537083929838981,298.96287264612477,4096.991599485966,216
