trace_id,position,gain_pos_mv,gain_neg_mv,delay_pos_ms,delay_neg_ms,tau_pos_ms,tau_neg_ms,r_squared,global_r_squared,sse,global_sse,n_points
T4_PC_pos-6,-6,9.88293631522222,-4.184867374070975,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9360296038958653,0.9848062954319016,28.309275896368575,1344.7033705033928,220
T4_PC_pos-5,-5,14.145166106004025,-5.888527160312678,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9545891762544878,0.9848062954319016,42.16150999685243,1344.7033705033928,218
T4_PC_pos-4,-4,28.03445660747475,-12.573760578329233,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9882041593902356,0.9848062954319016,38.680513416730285,1344.7033705033928,218
T4_PC_pos-3,-3,42.82179371997321,-24.00081506314603,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9927180211544466,0.9848062954319016,45.74294834720179,1344.7033705033928,217
T4_PC_pos-2,-2,64.0886061241685,-46.371784432653335,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9906296291193452,0.9848062954319016,100.16356956145341,1344.7033705033928,217
T4_PC_pos-1,-1,72.44716059567973,-58.01085638281483,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9885133556718095,0.9848062954319016,140.28764723444675,1344.7033705033928,215
T4_PC_pos+0,0,69.6593804790483,-59.92101416069641,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9887505811295829,0.9848062954319016,114.75083762937065,1344.7033705033928,217
T4_PC_pos+1,1,60.54860458823435,-59.69293540143728,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9749967607126808,0.9848062954319016,169.07879011046293,1344.7033705033928,216
T4_PC_pos+2,2,45.17156380010137,-56.88075604675238,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9653099499366784,0.9848062954319016,120.59506388221335,1344.7033705033928,216
T4_PC_pos+3,3,29.11518821900865,-44.986598047484,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9514186301786931,0.9848062954319016,92.12081064806272,1344.7033705033928,216
T4_PC_pos+4,4,16.934223246789973,-32.72809366948646,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9579599957417112,0.9848062954319016,46.82969345249056,1344.7033705033928,216
T4_PC_pos+5,5,7.8295290144574325,-22.015316371025254,22.536114909903997,47.789459807443954,154.13975991358495,265.4067700515149,0.9762877487380768,0.9848062954319016,17.91724235394646,1344.7033705033928,215
T4_NC_pos-6,-6,3.42965269732102,-2.6631637621803302e-34,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.6912005366986127,0.9848062954319016,29.277270846136965,1344.7033705033928,218
T4_NC_pos-5,-5,1.14651141378013,-1.8226533153372007e-30,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.3053044596954435,0.9848062954319016,19.97599364242996,1344.7033705033928,218
T4_NC_pos-4,-4,14.222398700509912,-12.092939503065045,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.9128090887435907,0.9848062954319016,10.33856981496862,1344.7033705033928,217
T4_NC_pos-3,-3,40.08390883167421,-31.555726694937633,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.9884411496792282,0.9848062954319016,7.70852205498645,1344.7033705033928,218
T4_NC_pos-2,-2,61.159733654368694,-48.12295355719597,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.9881802998031375,0.9848062954319016,18.81854879035908,1344.7033705033928,217
T4_NC_pos-1,-1,79.7038896856286,-58.9313343639237,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.9934628440221506,0.9848062954319016,15.478314776904222,1344.7033705033928,216
T4_NC_pos+0,0,91.85054604263846,-64.39074079651476,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.9867529291251992,0.9848062954319016,42.50876474312624,1344.7033705033928,216
T4_NC_pos+1,1,87.66300336231465,-54.92057182406927,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.986694958702375,0.9848062954319016,40.64947516484784,1344.7033705033928,217
T4_NC_pos+2,2,72.50642682880958,-40.04183896171675,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.9728114522272723,0.9848062954319016,79.58363612157225,1344.7033705033928,216
T4_NC_pos+3,3,32.31761522801467,-12.479059666977273,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.9660732389295101,0.9848062954319016,45.344330200631326,1344.7033705033928,216
T4_NC_pos+4,4,16.58184893265358,-2.3283720009316284,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.9523560758555393,0.9848062954319016,42.075267857726686,1344.7033705033928,215
T4_NC_pos+5,5,12.136568790462789,-0.4106679666834681,52.48591818633507,50.92068523733063,265.4067700515149,154.13975991358495,0.9390436271198811,0.9848062954319016,36.30677396010339,1344.7033705033928,215
T5_PC_pos-6,-6,15.70108405160468,-5.1022753213293835e-18,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.8324231884720645,0.9568715355154911,212.99671426950877,5459.314786758774,218
T5_PC_pos-5,-5,23.431682553466153,-1.498356556621855,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.9031039325890509,0.9568715355154911,279.2546243111356,5459.314786758774,218
T5_PC_pos-4,-4,34.497936876900695,-10.357586823568278,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.959552981291583,0.9568715355154911,183.85118942837136,5459.314786758774,218
T5_PC_pos-3,-3,52.311712019622405,-21.86316496337713,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.9703938242821245,0.9568715355154911,266.6125084735826,5459.314786758774,218
T5_PC_pos-2,-2,62.88834181851499,-32.62325679194837,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.9801833158070677,0.9568715355154911,229.65997676588702,5459.314786758774,217
T5_PC_pos-1,-1,76.54282550925365,-51.161245769220784,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.971296225813148,0.9568715355154911,416.0897475993986,5459.314786758774,216
T5_PC_pos+0,0,81.58479768760377,-58.899854893772655,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.9794418103045246,0.9568715355154911,304.3313035815306,5459.314786758774,216
T5_PC_pos+1,1,77.58882936096043,-68.30534894472719,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.9670095630617073,0.9568715355154911,383.2908663707087,5459.314786758774,216
T5_PC_pos+2,2,60.721668430622096,-63.32168262823717,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.9577615061087486,0.9568715355154911,292.4439848046339,5459.314786758774,216
T5_PC_pos+3,3,46.090638316111885,-55.75349162443644,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.9389601188362329,0.9568715355154911,266.9038602865282,5459.314786758774,216
T5_PC_pos+4,4,29.930985217722522,-46.895353691817235,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.9431310049229793,0.9568715355154911,151.84675878423116,5459.314786758774,216
T5_PC_pos+5,5,20.678452902641205,-36.45885330411916,9.000054004091721,57.14909874568019,190.3035453653359,278.45172259604027,0.9391344353300927,0.9568715355154911,106.23517547470331,5459.314786758774,215
T5_NC_pos-6,-6,18.637568227700946,-6.16012566131576e-20,87.69465048777937,43.757310997117074,278.45172259604027,190.3035453653359,0.8517673142656318,0.9568715355154911,216.9400785119009,5459.314786758774,218
T5_NC_pos-5,-5,17.923993567726775,-2.3687570718218623e-22,87.69465048777937,43.757310997117074,278.45172259604027,190.3035453653359,0.9143136700040887,0.9568715355154911,116.55660950927708,5459.314786758774,218
T5_NC_pos-4,-4,15.706639054544073,-1.8835681803480797,87.69465048777937,43.757310997117074,278.45172259604027,190.3035453653359,0.910373827970405,0.9568715355154911,75.76506737520357,5459.314786758774,217
T5_NC_pos-3,-3,27.40644270641442,-12.339080320972199,87.69465048777937,43.757310997117074,278.45172259604027,190.3035453653359,0.8892936031298935,0.9568715355154911,119.38430932888079,5459.314786758774,217
T5_NC_pos-2,-2,38.171345920017515,-22.635572027861368,87.69465048777937,43.757310997117074,278.45172259604027,190.3035453653359,0.9236436859063862,0.9568715355154911,134.33720008470672,5459.314786758774,217
T5_NC_pos-1,-1,44.59386609203391,-25.508847496525977,87.69465048777937,43.757310997117074,278.45172259604027,190.3035453653359,0.9330672633439401,0.9568715355154911,154.391806490759,5459.314786758774,216
T5_NC_pos+0,0,50.68120145867736,-27.308773810032704,87.69465048777937,43.757310997117074,278.45172259604027,190.3035453653359,0.9379715136256683,0.9568715355154911,193.97378590422062,5459.314786758774,217
T5_NC_pos+1,1,54.25879230429324,-26.415912582550604,87.69465048777937,43.757310997117074,278.45172259604027,190.3035453653359,0.9519896515345433,0.9568715355154911,185.1213616402723,5459.314786758774,217
T5_NC_pos+2,2,38.56863079940721,-13.073251275233632,87.69465048777937,43.757310997117074,278.45172259604027,190.3035453653359,0.9095869683619374,0.9568715355154911,289.4951886247582,5459.314786758774,217
T5_NC_pos+3,3,31.375336382724488,-6.018600324812236,87.69465048777937,43.757310997117074,278.45172259604027,190.3035453653359,0.917193433289122,0.9568715355154911,247.4164980028913,5459.314786758774,216
