contrast,direction,gain,shift_ms,r_squared
PC,PD,0.848333644,183.000000000,0.947825786
PC,ND,0.474148007,186.000000000,0.627702306
NC,PD,0.454741221,200.000000000,0.787930571
NC,ND,0.374816447,144.000000000,0.773180259
