,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,0.100000,5.099689,0.293829,0.100000,0.100000,0.100000,0.536958,0.176339,1.673897,,0.100000,0.355999,0.100000,0.100000,0.104547,10.786729,4.362209,,,,,,,,,2.275794,,,,,,0.100000
C3,0.100000,,0.100000,1.682770,3.956839,0.100000,6.126413,0.100000,0.513293,1.621534,2.148580,,,2.106088,1.681829,4.523983,2.516551,2.870962,3.486228,0.100000,0.100000,,,,,1.505069,0.100000,0.100000,1.461906,1.902777,3.859859,0.134525
L1,0.353098,0.100000,21.962078,6.773344,4.097210,0.848390,5.825332,3.644809,1.699836,,0.100000,5.677061,1.845041,1.784284,0.100000,0.100000,,,,,,,,,,0.100000,0.100000,,,1.995639,,
L2,0.512177,0.100000,0.100000,5.640640,12.906787,0.100000,0.100000,0.100000,8.528763,0.100000,3.160917,,1.030332,0.100000,2.764200,0.993587,,,,,,,,,,0.100000,0.100000,8.015168,,0.100000,0.100000,
L3,0.100000,0.110490,0.100000,0.100000,,,,1.184773,0.100000,1.160465,,1.017111,1.308363,0.100000,,,,,,,,,,,,1.368992,0.758909,0.211865,0.957690,,0.100000,1.754346
L4,,1.010750,8.191044,5.580442,5.249656,0.100000,2.041792,0.100000,,0.100000,5.457499,,,,1.509045,,,,,,,,,,,0.902800,1.396102,,,,0.100000,4.306090
L5,0.340159,0.100000,0.417291,0.100000,,,4.819735,2.772029,5.579008,0.100000,,,,1.590902,1.282650,0.100000,,,,,,,,,,2.497449,0.100000,13.406208,5.514741,1.044798,0.100000,
Mi1,3.491901,1.260047,0.958311,0.736243,,,14.090975,0.100000,0.100000,1.524339,,7.962915,2.553539,0.154922,0.138050,2.024866,0.686070,0.686393,0.892430,0.664682,0.774467,,,,,0.100000,0.672481,0.100000,1.601063,0.155797,8.782015,
Mi4,0.309816,3.727867,,0.100000,0.100000,,5.253658,0.100000,1.586520,0.100000,,,,0.100000,,13.994467,,0.100000,0.100000,6.030903,5.675755,,,,,0.100000,0.101198,0.100000,,0.100000,9.211561,0.100000
Mi9,0.104548,,,,0.100000,10.384787,,0.100000,0.560844,,,,,,0.100000,5.243744,0.100000,4.915965,5.392274,0.100000,0.100000,,,,,0.118774,0.333149,8.051733,0.179873,0.100000,0.100000,0.100000
