idx,ctype,in_gain,out_gain,v_th,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.000000,1.581995,-50.000000,0.972467,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
1,C3,1.000000,2.850021,-50.000000,0.974427,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
2,L1,1.000000,2.894422,-50.000000,12.842767,46.612921,49.799637,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
3,L2,1.000000,0.796099,-50.000000,12.289494,46.078323,46.558137,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
4,L3,1.000000,0.438793,-50.000000,1.089204,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
5,L4,1.000000,2.090712,-50.000000,0.100000,53.270614,52.776904,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
6,L5,1.000000,2.733968,-50.000000,2.047092,47.525004,54.242992,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
7,Mi1,1.000000,0.659232,-50.000000,1.220459,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
8,Mi4,1.000000,1.590364,-50.000000,0.100000,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
9,Mi9,1.000000,1.011531,-50.000000,1.286754,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
10,R1-6,1.000000,1.095853,-50.000000,0.587841,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
11,R7,1.000000,0.827116,-50.000000,0.676834,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
12,R8,1.000000,1.139700,-50.000000,0.627910,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
13,T1,1.000000,0.100000,-50.000000,1.044669,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
14,T2,1.000000,0.469962,-50.000000,1.013396,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
15,T2a,1.000000,0.201999,-50.000000,1.045359,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
16,T3,1.000000,0.100000,-50.000000,1.027047,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
17,T4a,1.000000,0.868214,-50.000000,0.699749,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
18,T4b,1.000000,0.265696,-50.000000,0.686976,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
19,T4c,1.000000,0.374469,-50.000000,0.683109,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
20,T4d,1.000000,0.100000,-50.000000,0.705307,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
21,T5a,1.000000,1.271797,-50.000000,0.100000,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
22,T5b,1.000000,3.634190,-50.000000,0.100000,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
23,T5c,1.000000,0.100000,-50.000000,0.100000,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
24,T5d,1.000000,2.830840,-50.000000,0.100000,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
25,Tm1,1.000000,0.100000,-50.000000,2.001408,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
26,Tm2,1.000000,0.279218,-50.000000,0.100000,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
27,Tm20,1.000000,2.098315,-50.000000,1.047163,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
28,Tm21,1.000000,1.541154,-50.000000,0.969979,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
29,Tm3,1.000000,0.518599,-50.000000,4.565754,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
30,Tm4,1.000000,0.636292,-50.000000,2.774844,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
31,Tm9,1.000000,0.100000,-50.000000,2.031634,0.000000,0.000000,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415,-50.239391,-0.336375,-58.534312,-46.167498,-0.338196,-41.697415
