,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,5.000000,,,5.000000,4.679634,5.000000,5.000000,,,,,2.532802,,,,,,,,,,,,,,,,,,,2.760297,2.024379,,
R7,,,1.578887,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.500000,5.000000,
R8,,0.500000,0.500000,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,5.000000,1.727783,,,,,,,,,,,,,,5.000000,0.986411,,,,0.500000,0.814252,0.500000,0.969324
L1,0.500000,0.500000,0.742825,0.500000,0.924128,2.147474,0.500000,2.820848,1.910357,0.801657,,1.415196,4.976372,0.726486,,,,,,,,,,0.500000,0.500000,,,4.666595,,,2.170195,0.500000,,0.500000
L2,1.971251,,0.500114,0.500000,1.521977,1.834524,4.323407,0.500000,0.500000,0.500000,4.596300,0.500000,5.000000,0.951493,,,,,,,,,,0.980362,1.264397,0.500000,,0.500000,5.000000,,0.500000,2.683667,,
L3,,0.500000,1.495086,0.500000,0.621224,,,,2.290258,1.747539,2.021800,0.500000,,,,,,,,,,,,0.500000,5.000000,0.500000,0.995681,,5.000000,5.000000,2.028804,0.500000,0.500000,
L4,4.099782,,,1.727303,0.803509,5.000000,5.000000,2.474830,0.500000,,0.500000,,0.500000,,,,,,,,,,,0.500000,0.500000,,,,0.508294,0.500000,,1.134107,5.000000,0.532161
L5,,,,1.433177,4.115076,,,2.827279,1.249149,2.871333,0.500000,0.500000,3.284516,0.500000,,,,,,,,,,0.500000,0.500000,2.819394,3.381045,1.700582,0.500000,,0.500000,0.500000,0.928570,0.500000
Mi1,,2.970831,1.510149,0.500000,0.500000,,,5.000000,0.500000,5.000000,0.500000,0.500000,5.000000,0.500000,0.500000,0.500000,0.500000,5.000000,0.500000,,,,,0.500000,0.500000,1.514541,0.500000,0.730236,0.500000,,0.500000,0.500000,5.000000,5.000000
Mi4,,,,,0.500000,5.000000,,2.278125,0.500000,0.500000,1.954906,1.026417,,0.837860,,1.007482,0.500000,5.000000,0.961562,,,,,3.715885,0.648520,0.500000,,3.883977,0.500000,5.000000,0.906672,0.989509,0.500000,0.500000
Mi9,,,,,,5.000000,1.257206,,1.566425,1.586247,,,5.000000,0.500739,0.500000,1.561798,5.000000,0.500000,2.891161,,,,,0.500000,5.000000,3.158997,1.494521,0.500000,1.850767,0.500000,0.500000,,2.311266,5.000000
T1,0.957350,0.996583,1.102891,,0.500000,0.500000,,0.500000,,,1.871448,,,,,,,,,,,,,1.240258,1.099278,3.615783,,,1.042195,,,,,
T2,,,,,,,,3.123205,5.000000,,0.500000,,4.711744,1.001819,0.500000,,,,,,,,,5.000000,0.500000,,0.500000,0.500000,0.500000,,,,,2.673624
T2a,,,,,,,,,0.596346,,,,1.538817,5.000000,1.943600,,,,,,,,,0.500000,,1.716484,1.007133,4.708618,0.500000,,0.500000,,,5.000000
T3,,,,,,,,,,,,,0.500000,0.989272,1.043739,,,,1.047700,,,,,0.500000,,,0.729504,5.000000,,,,3.632024,,0.500000
T4a,,,,,,,,,,,2.055652,,,,,0.500000,1.041491,1.009333,1.033556,1.007102,,,,,,,,,,,,0.500000,,
T4b,,,,,,,,,5.000000,4.882501,4.915676,,,,,0.953817,5.000000,,0.978195,,0.881328,,,,,,,,,,,,,
T4c,,,,,,,,,,,5.000000,,0.991946,,,,,3.945184,,,,1.018219,0.955179,,,,,,,,,,,
T4d,,,,,,,,,0.500000,,,,,,,,,0.965643,0.500000,,,,0.989585,,,,,,,,,,,
T5a,,,,,,,,,,,,,5.000000,,,0.951402,,,,5.000000,1.008462,,,,4.820923,,,,,,,,,
T5b,,,,,,,,,,,,,0.500000,,,,0.500000,,,1.008643,0.500000,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.511983,,,,,0.519933,,,0.980020,0.940130,1.016595,,,,,,,,,,,
T5d,,,,,,,,,,,,,5.000000,,,,,0.500000,1.017859,,,,5.000000,,,,,,,,,,,
Tm1,,,,,0.831652,,,2.925529,0.500000,0.500000,0.500000,0.500000,2.074802,5.000000,5.000000,,,1.027601,,5.000000,0.500000,0.500000,5.000000,0.500000,0.500000,0.719725,3.530891,0.500000,0.500000,5.000000,0.638796,0.500000,,1.098545
