idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,1.024113,22.991627,10000.000000,-0.485149,1.000000
1,R7,1.000000,5.000000,1.006768,15.727903,10000.000000,1.278902,1.000000
2,R8,1.000000,5.000000,0.954149,46.497253,10000.000000,-0.183195,1.000000
3,L1,1.000000,4.787006,3.324930,20.263796,227.631882,5.343778,4.984586
4,L2,1.000000,4.684085,3.323836,10.000000,228.295380,3.506077,2.606148
5,L3,1.000000,5.000000,5.000000,23.277863,10000.000000,5.142399,1.000000
6,L4,1.000000,3.809685,4.567588,14.431140,162.081314,-3.144619,4.710722
7,L5,1.000000,2.159640,1.632357,10.000000,192.959702,-1.490347,1.887487
8,Mi1,1.000000,4.126964,2.595623,22.166231,9996.265625,4.779608,1.000000
9,Mi4,1.000000,5.000000,3.049396,10.000000,10000.000000,1.671567,1.000000
10,Mi9,1.000000,4.615524,3.207356,35.653252,10000.000000,-1.922054,1.000000
11,T1,1.000000,0.500000,0.983642,58.554005,9992.048828,-3.758504,1.000000
12,T2,1.000000,5.000000,0.986363,100.000000,9999.956055,-0.912160,1.000000
13,T2a,1.000000,5.000000,0.985685,10.000000,10000.000000,-2.121970,1.000000
14,T3,1.000000,5.000000,1.009534,93.060051,9924.748047,-7.309278,1.000000
15,T4a,1.000000,0.500000,0.966457,51.535164,9992.510742,-1.066916,1.000000
16,T4b,1.000000,5.000000,1.041533,10.000000,9951.254883,9.202493,1.000000
17,T4c,1.000000,5.000000,1.020335,12.120691,9995.898438,-1.981068,1.000000
18,T4d,1.000000,0.500000,0.989901,48.802197,9996.223633,-0.234079,1.000000
19,T5a,1.000000,5.000000,1.010344,88.944572,10000.000000,20.000000,1.000000
20,T5b,1.000000,0.500000,1.011860,48.631138,10000.000000,-2.683635,1.000000
21,T5c,1.000000,0.503560,0.976649,50.299309,10000.000000,-3.291834,1.000000
22,T5d,1.000000,5.000000,0.962353,91.164581,9998.774414,20.000000,1.000000
23,Tm1,1.000000,2.665237,4.491440,23.131546,10000.000000,15.123707,1.000000
24,Tm2,1.000000,4.411991,4.731252,10.000000,9961.139648,9.086428,1.000000
25,Tm20,1.000000,5.000000,1.017262,64.002159,10000.000000,10.331532,1.000000
26,Tm21,1.000000,3.613063,0.965182,44.117355,10000.000000,2.275963,1.000000
27,Tm3,1.000000,3.053383,5.000000,10.000000,10000.000000,1.682395,1.000000
28,Tm4,1.000000,5.000000,5.000000,10.000000,10000.000000,-3.179934,1.000000
29,Tm9,1.000000,0.980135,5.000000,39.203728,9964.471680,7.802448,1.000000
30,C2,1.000000,1.485891,1.001272,48.331360,9993.353516,-1.781209,1.000000
31,C3,1.000000,0.500000,1.040874,48.673763,9990.395508,-1.247566,1.000000
32,Lawf1,1.000000,4.358628,0.965074,10.000000,9961.413086,4.628348,1.000000
33,Lawf2,1.000000,5.000000,1.003491,72.802345,10000.000000,-0.056543,1.000000
