idx,ctype,inp_gain,out_gain,out_scale,Ih_gmax,Ih_midv,Ih_slope,tau_midv
0,C2,1.183911,0.100000,0.978545,50.577424,-46.616342,-0.200000,-51.542457
1,C3,0.283546,1.238257,1.029976,53.191179,-46.616342,-0.200000,-51.542457
2,L1,1.523631,0.100000,0.912126,51.919608,-46.616342,-0.200000,-51.542457
3,L2,0.100000,0.100000,1.060052,48.571618,-46.616342,-0.200000,-51.542457
4,L3,0.672625,0.100000,1.049382,49.358248,-46.616342,-0.200000,-51.542457
5,L4,1.238805,0.100000,0.985728,48.126322,-46.616342,-0.200000,-51.542457
6,L5,0.283546,1.238257,1.073691,53.191179,-46.616342,-0.200000,-51.542457
7,Mi1,0.232323,0.100000,1.064616,50.880396,-46.616342,-0.200000,-51.542457
8,Mi4,0.232323,0.100000,0.924790,50.880396,-46.616342,-0.200000,-51.542457
9,Mi9,1.262194,0.106066,1.084379,47.299155,-46.616342,-0.200000,-51.542457
10,R1-6,1.297055,0.100000,1.034979,47.532077,-46.616342,-0.200000,-51.542457
11,R7,0.100000,0.100000,1.006151,46.009515,-46.616342,-0.200000,-51.542457
12,R8,0.100000,0.100000,0.995432,48.060510,-46.616342,-0.200000,-51.542457
13,T1,0.100000,1.558776,0.976251,52.282243,-46.616342,-0.200000,-51.542457
14,T2,1.373189,0.100000,1.088905,45.165494,-46.616342,-0.200000,-51.542457
15,T2a,0.100000,0.100000,0.922147,48.544382,-46.616342,-0.200000,-51.542457
16,T3,0.100000,0.100000,1.054660,48.544382,-46.616342,-0.200000,-51.542457
17,T4a,0.100000,1.477783,0.100000,49.232428,-46.616342,-0.200000,-51.542457
18,T4b,0.100000,0.100000,0.100000,53.891373,-46.616342,-0.200000,-51.542457
19,T4c,1.300190,0.100000,0.100000,47.975213,-46.616342,-0.200000,-51.542457
20,T4d,1.250361,0.100013,0.100000,0.723989,-46.616342,-0.200000,-51.542457
21,T5a,0.100000,0.100000,0.100000,46.009515,-46.616342,-0.200000,-51.542457
22,T5b,1.545829,0.100000,0.100000,48.495300,-46.616342,-0.200000,-51.542457
23,T5c,1.297055,0.100000,0.100000,47.532077,-46.616342,-0.200000,-51.542457
24,T5d,0.100000,0.100000,0.100000,46.009515,-46.616342,-0.200000,-51.542457
25,Tm1,0.100000,0.100000,1.001239,52.226777,-46.616342,-0.200000,-51.542457
26,Tm2,1.523631,0.100000,1.082515,51.919608,-46.616342,-0.200000,-51.542457
27,Tm20,1.373189,0.100000,1.068472,45.165494,-46.616342,-0.200000,-51.542457
28,Tm21,1.224859,0.100000,0.903043,0.650433,-46.616342,-0.200000,-51.542457
29,Tm3,1.043005,0.100000,0.969980,51.381596,-46.616342,-0.200000,-51.542457
30,Tm4,1.373189,0.100000,1.008330,45.165494,-46.616342,-0.200000,-51.542457
31,Tm9,0.672625,0.100000,0.900985,49.358248,-46.616342,-0.200000,-51.542457
