idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,1.021658,0.000000,2.622580,2.359197,-44.543006,-50.000000,10.000000,261.112100,0.000000,-23.780097,-23.750427,-19.744986,4.005441
1,R7,0.965619,0.000000,2.622580,5.681714,-41.792176,-50.000000,10.000000,261.112100,0.000000,-25.566401,-25.554538,-21.945334,3.609204
2,R8,0.983917,0.000000,2.622580,3.436059,-50.000000,-50.000000,10.000000,261.112100,0.000000,-33.883964,-33.861089,-29.920421,3.940668
3,L1,3.489088,0.000000,2.622580,1.025388,-5.743907,-50.000000,10.000000,261.112100,0.891351,-15.732622,-15.886204,-28.121848,-12.235644
4,L2,2.462087,0.000000,2.622580,2.462303,-3.874496,-50.000000,10.000000,261.112100,0.811717,-17.126245,-17.314698,-26.978133,-9.663435
5,L3,0.782196,0.000000,2.622580,0.493952,-14.511739,-50.000000,10.000000,261.112100,0.000000,-2.875268,-2.733020,0.808779,3.541800
6,L4,0.542445,0.000000,2.622580,4.484136,-48.552189,-50.000000,10.000000,261.112100,0.827087,-47.090014,-47.129491,-49.598603,-2.469112
7,L5,1.445934,0.000000,2.622580,1.725534,-44.592960,-50.000000,10.000000,261.112100,0.993460,-44.680023,-44.664862,-40.327140,4.337722
8,Mi1,0.654958,0.000000,2.622580,3.371384,-34.173580,-50.000000,10.000000,261.112100,0.000000,-40.960606,-40.890890,-38.598725,2.292165
9,Tm3,0.529888,0.000000,2.622580,2.570102,-39.211880,-50.000000,10.000000,261.112100,0.000000,-40.012419,-39.920653,-32.809553,7.111100
10,Mi4,1.171109,0.000000,2.622580,1.174944,-39.008101,-50.000000,10.000000,261.112100,0.000000,-16.514555,-16.325309,-15.365943,0.959366
11,Mi9,0.831038,0.000000,2.622580,4.652859,-36.470032,-50.000000,10.000000,261.112100,0.000000,-32.471003,-32.483213,-33.303138,-0.819925
12,T4a,0.979202,0.000000,2.622580,4.357161,-48.563093,-50.000000,10.000000,261.112100,0.000000,-45.151141,-44.994947,-39.785942,5.209005
13,T4b,1.018310,0.000000,2.622580,4.858862,-44.490199,-50.000000,10.000000,261.112100,0.000000,-39.462234,-38.658541,-28.472408,10.186133
14,T4c,0.976269,0.000000,2.622580,3.514953,-43.746287,-50.000000,10.000000,261.112100,0.000000,-37.216477,-36.981895,-31.088045,5.893849
15,T4d,1.026755,0.000000,2.622580,9.229827,-50.000000,-50.000000,10.000000,261.112100,0.000000,-33.583939,-33.123060,-23.526227,9.596833
16,Tm1,1.390462,0.000000,2.622580,1.355337,-44.653849,-50.000000,10.000000,261.112100,0.000000,-25.168240,-25.492105,-31.763267,-6.271162
17,Tm2,1.081438,0.000000,2.622580,2.923095,-33.448594,-50.000000,10.000000,261.112100,0.000000,-24.124262,-24.377462,-29.139708,-4.762246
18,Tm4,0.733778,0.000000,2.622580,1.930699,-47.929039,-50.000000,10.000000,261.112100,0.000000,-27.282749,-27.614060,-33.775020,-6.160960
19,Tm9,0.268411,0.000000,2.622580,4.879408,-30.906380,-50.000000,10.000000,261.112100,0.000000,-34.351522,-34.394202,-34.918933,-0.524731
20,T5a,0.969661,0.000000,2.622580,3.519008,-37.988985,-50.000000,10.000000,261.112100,0.000000,-28.481344,-28.871713,-33.227815,-4.356102
21,T5b,1.003181,0.000000,2.622580,8.272262,-39.893990,-50.000000,10.000000,261.112100,0.000000,-4.275224,-4.732672,-10.826621,-6.093949
22,T5c,1.015198,0.000000,2.622580,6.487544,-37.025503,-50.000000,10.000000,261.112100,0.000000,15.311863,14.978324,10.855598,-4.122726
23,T5d,1.046237,0.000000,2.622580,9.280829,-37.089435,-50.000000,10.000000,261.112100,0.000000,12.412719,11.652641,2.569460,-9.083181
24,T1,0.953924,0.000000,2.622580,2.744874,-38.493550,-50.000000,10.000000,261.112100,0.000000,-50.464769,-49.793110,-47.791255,2.001856
25,T2,0.976584,0.000000,2.622580,3.078895,-44.242292,-50.000000,10.000000,261.112100,0.000000,-19.794331,-20.265848,-29.633065,-9.367218
26,T2a,1.005034,0.000000,2.622580,10.000000,-46.840977,-50.000000,10.000000,261.112100,0.000000,-29.195118,-29.664578,-33.145981,-3.481403
27,T3,0.960095,0.000000,2.622580,1.995428,-40.049404,-50.000000,10.000000,261.112100,0.000000,-12.996369,-13.699054,-19.811733,-6.112680
28,C2,1.001864,0.000000,2.622580,3.714861,-33.768012,-50.000000,10.000000,261.112100,0.000000,-37.472619,-37.446316,-35.622083,1.824233
29,C3,1.049980,0.000000,2.622580,1.831152,-37.632899,-50.000000,10.000000,261.112100,0.000000,-42.684561,-42.630738,-39.978894,2.651844
30,Lawf1,1.023662,0.000000,2.622580,4.952893,-50.000000,-50.000000,10.000000,261.112100,0.000000,-8.575169,-8.297284,-1.161751,7.135533
31,Lawf2,0.991003,0.000000,2.622580,5.141134,-39.537041,-50.000000,10.000000,261.112100,0.000000,-35.482452,-35.492021,-36.445399,-0.953377
32,Dm3v,1.024299,0.000000,2.622580,5.130454,-50.000000,-50.000000,10.000000,261.112100,0.000000,-7.525947,-8.312918,-17.055372,-8.742454
33,Lai,1.014125,0.000000,2.622580,4.836436,-30.324680,-50.000000,10.000000,261.112100,0.000000,-34.735681,-34.877677,-36.553374,-1.675696
34,Mi10,0.976674,0.000000,2.622580,6.685108,-40.346084,-50.000000,10.000000,261.112100,0.000000,-50.354078,-50.270192,-49.411918,0.858273
35,Mi13,0.950126,0.000000,2.622580,2.035976,-42.247203,-50.000000,10.000000,261.112100,0.000000,-38.696743,-38.836836,-39.803777,-0.966941
36,Mi14,0.965473,0.000000,2.622580,6.926619,-50.000000,-50.000000,10.000000,261.112100,0.000000,-37.321691,-37.429537,-37.414404,0.015133
37,Mi15,0.959862,0.000000,2.622580,4.628879,-40.298812,-50.000000,10.000000,261.112100,0.000000,-60.622769,-60.680051,-60.698690,-0.018639
38,Mi2,0.965151,0.000000,2.622580,6.150349,-40.818510,-50.000000,10.000000,261.112100,0.000000,-30.912687,-30.868171,-29.032745,1.835427
39,Tm16,1.030514,0.000000,2.622580,10.000000,-31.578420,-50.000000,10.000000,261.112100,0.000000,-47.192418,-47.356310,-49.566014,-2.209704
