cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre,v_onset,v_sti_end,delta_v
0,R1-6,0.991968,20.346640,0.993760,0.955768,0.485518,-50.000000,9.933990,191.429428,203.453201,0.006332,20.260593,20.346640,22.147991,1.801352
1,R7,1.038816,17.422874,0.993760,0.982503,-0.401779,-50.000000,9.602603,200.369659,192.733582,0.030382,17.354313,17.422874,19.157679,1.734804
2,R8,1.001252,19.332310,0.993760,0.951864,0.490891,-50.000000,9.401229,209.936218,196.794647,0.033331,19.252335,19.332310,21.030249,1.697939
3,L1,1.031129,-6.321112,0.993760,1.049548,-0.108591,-50.000000,10.483988,199.950317,193.608017,0.474416,-6.238943,-6.321112,-6.627766,-0.306654
4,L2,0.996813,-10.479488,0.993760,0.981662,-0.235217,-50.000000,10.892941,201.206879,206.640930,0.484774,-10.378213,-10.479488,-10.827948,-0.348459
5,L3,1.016047,-7.920680,0.993760,1.041524,-0.183476,-50.000000,9.548726,195.914261,193.039841,-0.019905,-7.841960,-7.920680,-8.129827,-0.209147
6,L4,1.033005,0.022894,0.993760,0.957368,-0.224439,-50.000000,9.941518,209.581360,193.198151,0.455819,0.026353,0.022894,0.015789,-0.007106
7,L5,0.950678,-0.744740,0.993760,1.038883,0.325845,-50.000000,9.122966,195.767334,205.389969,0.518113,-0.747455,-0.744740,-0.731389,0.013350
8,Mi1,1.030948,-3.432785,0.993760,1.024062,0.266789,-50.000000,10.784019,198.219894,209.758606,0.023470,-3.443080,-3.432785,-3.405736,0.027049
9,Tm3,0.996580,1.967251,0.993760,1.049187,0.010171,-50.000000,9.918258,194.036224,193.004349,0.028836,1.937382,1.967251,2.005907,0.038656
10,Mi4,1.011285,2.121230,0.993760,1.003887,0.411227,-50.000000,9.066149,208.434341,207.251587,-0.013101,2.126519,2.121230,2.084482,-0.036747
11,Mi9,0.959036,2.924894,0.993760,0.983241,0.173907,-50.000000,9.772660,199.903198,209.272095,-0.035162,2.943100,2.924894,2.894447,-0.030447
12,T4a,0.961655,2.978371,0.993760,1.005034,0.323302,-50.000000,9.207913,203.309158,190.669434,-0.003823,2.968991,2.978371,2.983119,0.004748
13,T4b,1.012906,1.937886,0.993760,1.015280,-0.008974,-50.000000,9.198809,194.308472,197.184448,-0.005434,1.931214,1.937886,1.941887,0.004001
14,T4c,1.030012,2.796158,0.993760,1.025217,0.409659,-50.000000,10.468697,206.629166,192.615295,0.039160,2.787831,2.796158,2.800857,0.004699
15,T4d,1.019233,2.135910,0.993760,1.049965,0.122599,-50.000000,10.818636,190.275940,203.977463,0.018304,2.128908,2.135910,2.139973,0.004063
