,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,8.391145,,,7.866054,7.063333,12.948898,9.747792,,,,,2.037788,,,,,,,,,,,,,,,,,,,0.483471,3.164956
R7,,,0.103508,13.638023,,13.791700,,,0.100000,0.100000,14.127927,,,,,,,,,,,,,,,15.542456,,,,,,0.100000
R8,,0.100000,0.733197,9.323484,0.100000,14.346542,,0.100000,0.100000,0.100000,14.486398,2.720943,,,,,,,,,,,,,,15.594916,1.008848,,,,0.404117,0.306045
L1,0.100000,0.100000,0.100000,1.875557,0.806323,0.100000,0.100000,3.080344,1.914468,7.659271,,2.776364,0.436706,0.425085,,,,,,,,,,0.100000,0.100000,,,10.263796,,,0.683372,3.758326
L2,2.201359,,0.100000,0.100000,2.247144,2.082345,7.950068,0.100000,2.618175,0.100000,0.659282,0.374798,3.242986,0.966753,,,,,,,,,,1.666334,0.789869,0.509118,,0.100000,6.064066,,0.980112,7.993978
L3,,1.049230,1.018726,0.974764,0.965454,,,,0.100000,0.965905,0.100000,1.023758,,,,,,,,,,,,1.021030,0.972723,0.935906,0.998118,,1.003016,2.336665,1.035964,1.143800
L4,4.806968,,,0.100000,0.100000,2.795754,7.272350,0.100000,4.973731,,0.100000,,7.371981,,,,,,,,,,,4.364439,1.117938,,,,2.693621,0.100000,,7.898729
L5,,,,1.355067,4.932540,,,1.752738,3.359219,5.012847,0.100000,2.440768,0.949533,0.311914,,,,,,,,,,0.100000,0.100000,0.249261,0.658041,0.201088,0.100000,,0.100000,5.304368
Mi1,,0.232882,0.538481,2.334962,6.039906,,,0.100000,0.102658,5.889870,0.100000,3.253419,0.545528,0.667762,0.126551,0.100000,0.100000,0.273033,0.342728,,,,,0.100000,5.083508,1.299796,0.100000,0.478396,2.313522,,0.100000,2.978571
Mi4,,,,,0.100000,2.433653,,0.100000,0.316130,2.424459,2.151683,1.024074,,0.874540,,1.085345,0.100000,0.100000,0.993914,,,,,0.624560,0.246806,1.658751,,6.755041,0.188110,3.505801,1.019613,0.603543
Mi9,,,,,,1.646725,0.159025,,0.100000,0.100000,,,2.302584,4.252835,0.100000,4.419882,2.485902,1.597298,3.466150,,,,,1.240402,8.423783,5.268276,0.100000,0.100000,4.237009,0.100000,0.963672,
T1,2.172304,1.263960,1.384319,,0.778026,1.339506,,0.100000,,,0.100000,,,,,,,,,,,,,2.258936,0.741020,0.100000,,,3.609078,,,
T2,,,,,,,,0.503177,0.912893,,0.183341,,0.963770,1.045659,2.657191,,,,,,,,,4.553067,0.170215,,1.365853,0.462796,0.348756,,,
T2a,,,,,,,,,0.287525,,,,1.337929,11.457303,1.226519,,,,,,,,,9.545147,,8.814902,0.979169,0.100000,0.100000,,0.331684,
T3,,,,,,,,,,,,,0.648152,0.992420,1.017413,,,,1.015887,,,,,6.844408,,,0.100000,0.822004,,,,2.450950
T4a,,,,,,,,,,,5.341458,,,,,5.510693,0.992970,1.008313,0.964266,1.045830,,,,,,,,,,,,1.322723
T4b,,,,,,,,,0.100000,0.250152,4.303590,,,,,0.100000,6.068873,,0.998488,,0.255935,,,,,,,,,,,
T4c,,,,,,,,,,,2.857915,,1.023583,,,,,1.981998,,,,0.985427,0.957028,,,,,,,,,
