idx,ctype,in_gain,out_gain,v_th,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,1.000000,1.000000,-50.212805,0.985609,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
1,C3,1.000000,1.000000,-54.294593,0.950691,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
2,L1,1.000000,1.000000,-51.196617,6.761245,54.379082,44.393582,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
3,L2,1.000000,1.000000,-52.761359,6.946829,57.566882,43.588323,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
4,L3,1.000000,1.000000,-60.267643,1.235710,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
5,L4,1.000000,1.000000,-52.131346,21.037971,47.225689,43.035559,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
6,L5,1.000000,1.000000,-56.629983,15.252157,59.922438,37.533328,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
7,Mi1,1.000000,1.000000,-51.815203,2.193535,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
8,Mi4,1.000000,1.000000,-50.254282,4.196634,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
9,Mi9,1.000000,1.000000,-53.365669,2.950085,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
10,R1-6,1.000000,1.000000,-52.011549,0.592055,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
11,R7,1.000000,1.000000,-54.088377,0.644415,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
12,R8,1.000000,1.000000,-41.617969,0.637850,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
13,T1,1.000000,1.000000,-59.106815,1.029016,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
14,T2,1.000000,1.000000,-50.163907,1.003627,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
15,T2a,1.000000,1.000000,-49.792559,1.014849,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
16,T3,1.000000,1.000000,-49.593697,1.044838,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
17,T4a,1.000000,1.000000,-41.933128,3.760304,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
18,T4b,1.000000,1.000000,-49.509665,3.226148,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
19,T4c,1.000000,1.000000,-37.429883,3.980960,0.000000,0.000000,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039,-40.229492,-0.200000,-44.272525,-49.614103,-0.207773,-43.477039
