idx,ctype,in_gain,out_gain,out_scale,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,C2,0.484550,0.535934,0.958049,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
1,C3,1.589149,1.445933,1.094564,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
2,L1,0.100000,0.699381,0.996556,54.038166,52.026044,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
3,L2,0.100000,1.023318,1.091934,48.787858,47.005787,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
4,L3,1.082122,0.124395,1.056781,0.179259,0.577890,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
5,L4,3.302952,0.921772,0.956217,55.026156,50.495665,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
6,L5,0.647987,0.100000,0.992012,50.302724,51.765582,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
7,Mi1,0.100000,0.100000,0.962238,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
8,Mi4,0.317070,0.396880,1.080165,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
9,Mi9,2.330616,2.351279,1.085071,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
10,R1-6,0.100012,1.060682,0.920863,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
11,R7,1.855352,1.178155,1.056669,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
12,R8,0.100000,0.768389,0.985591,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
13,T1,0.480279,0.177538,1.093601,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
14,T2,0.100000,0.100000,0.913420,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
15,T2a,0.471539,0.433568,1.065357,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
16,T3,0.836288,0.727515,0.920166,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
17,T4a,2.849338,0.750608,1.073926,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
18,T4b,2.976073,0.767782,0.960148,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
19,T4c,1.019783,0.100000,0.934472,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
20,T4d,0.638058,0.100000,1.048737,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
21,T5a,0.557149,0.100000,0.981352,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
22,T5b,1.983001,1.113308,1.070321,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
23,T5c,0.620292,1.049642,1.056798,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
24,T5d,0.100000,1.081379,1.074718,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
25,Tm1,1.370529,0.138858,0.976780,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
26,Tm2,1.398361,0.118827,1.006667,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
27,Tm20,1.396178,1.166476,0.906342,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
28,Tm21,0.100000,0.100000,0.980706,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
29,Tm3,0.100000,0.100000,0.900572,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
30,Tm4,0.743536,0.100000,0.932958,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
31,Tm9,0.408400,0.100000,0.971375,0.000000,0.000000,-50.595803,-0.400000,-48.074486,-47.866672,-0.200000,-47.796485
