,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,0.500000,,,3.894804,0.500000,5.000000,1.000001,,,,,5.000000,,,,,,,,,,,,,,,,,,,1.016134,0.500000,,
R7,,,0.500000,0.500000,,5.000000,,,1.021417,0.500000,1.559857,,,,,,,,,,,,,,,0.984388,,,,,,1.013252,1.190379,
R8,,0.500000,5.000000,5.000000,0.955289,5.000000,,0.961478,1.813917,0.500000,1.215069,0.500000,,,,,,,,,,,,,,1.039271,1.048396,,,,1.032596,0.953822,1.870769,1.043779
L1,0.500000,0.500000,5.000000,0.974466,1.034895,5.000000,0.966604,0.957439,1.027578,5.000000,,0.995418,0.987435,1.031196,,,,,,,,,,0.995907,1.045218,,,0.500000,,,1.025729,0.500000,,0.954048
L2,1.593731,,1.013438,1.040316,1.003620,0.500000,1.036618,1.002995,0.974516,0.983731,1.032755,0.500000,1.018148,1.011792,,,,,,,,,,0.500000,0.500000,0.966255,,1.039623,0.981015,,0.964491,1.007903,,
L3,,0.994537,1.043312,0.971369,1.018528,,,,0.988503,0.974960,0.974761,0.683867,,,,,,,,,,,,0.950001,1.016419,1.048308,1.042371,,1.040942,0.967838,0.994729,0.953364,0.985638,
L4,0.961543,,,1.007856,1.009931,0.964700,0.982887,1.015110,0.984890,,1.049201,,0.966919,,,,,,,,,,,0.961180,0.954755,,,,0.974462,1.046613,,1.006256,0.959326,0.975088
L5,,,,1.032410,1.089523,,,0.970789,0.962076,1.036270,0.990131,0.824013,0.984807,0.973661,,,,,,,,,,1.047856,0.960936,1.004620,1.014601,0.951665,1.006773,,0.969976,0.522916,0.995535,0.983994
Mi1,,1.001246,1.013840,0.995173,0.950317,,,1.027933,1.018749,1.012676,1.047524,1.033943,1.047185,0.962464,1.008829,0.974781,1.049258,0.956510,1.027839,,,,,0.973860,1.010415,1.039883,0.955860,0.972932,0.979691,,1.033155,0.547932,0.952216,0.957672
Mi4,,,,,0.953209,2.024612,,1.034995,1.031594,1.053369,2.514791,0.500000,,2.043822,,1.057853,1.257497,0.987572,1.022859,,,,,5.000000,5.000000,1.217122,,3.016643,1.043678,1.873043,1.017444,0.961295,1.810761,1.862551
Mi9,,,,,,0.500000,0.989624,,1.040968,0.500000,,,0.951317,0.984758,0.999377,1.049907,1.003739,0.977960,1.032131,,,,,0.500000,0.501551,0.966557,0.989369,1.002508,0.961327,1.040232,1.024419,,2.071663,1.030349
T1,2.855404,3.815200,1.543775,,0.500000,5.000000,,1.596287,,,1.050856,,,,,,,,,,,,,0.500000,4.689286,0.873194,,,2.829448,,,,,
T2,,,,,,,,0.997874,1.002049,,0.978807,,0.907855,0.996668,0.953321,,,,,,,,,0.936472,0.973546,,0.987124,0.991619,0.973991,,,,,1.288857
T2a,,,,,,,,,1.032669,,,,1.025298,0.969906,1.020780,,,,,,,,,0.712027,,0.974597,0.965152,1.005145,1.007431,,1.024658,,,0.568578
T3,,,,,,,,,,,,,0.500000,1.015406,1.005957,,,,1.019354,,,,,0.951811,,,1.019619,1.957797,,,,3.572909,,5.000000
T4a,,,,,,,,,,,0.543558,,,,,1.018645,0.968178,0.952051,1.048474,0.986308,,,,,,,,,,,,1.030810,,
T4b,,,,,,,,,0.992063,2.563196,1.049906,,,,,1.014890,0.957369,,0.970039,,1.030109,,,,,,,,,,,,,
T4c,,,,,,,,,,,1.059119,,1.025704,,,,,0.975169,,,,1.044406,0.960838,,,,,,,,,,,
T4d,,,,,,,,,1.016246,,,,,,,,,1.038643,1.020791,,,,0.979691,,,,,,,,,,,
