,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.804444,,,1.167334,1.152422,1.212319,,,,,,1.165642,,,,,,,,,,,,,,,,,,,,
R7,,,1.159365,,,1.185844,,,,,1.154864,,,,,,,,,,,,,,,,,,,,,
R8,,0.799972,,1.218623,,1.204723,,,0.835021,0.840976,1.222783,1.218405,,,,,,,,,,,,,,1.234462,,,,,,1.038367
L1,,,,,0.833693,,,1.240050,1.166908,1.218105,,,1.001370,,,,,,,,,,,,,,,1.226554,,,1.122557,1.020175
L2,0.786816,,,1.199024,,1.208624,1.146638,0.788548,0.831882,0.796628,,1.169639,,,,,,,,,,,,1.212593,1.156524,1.219697,,,1.219686,,,0.984322
L3,,,1.044209,,,,,,1.039551,1.006962,0.955389,0.987436,,,,,,,,,,,,,,0.986498,,,,1.034093,,1.014913
L4,1.023948,,,1.000076,1.026960,0.978883,0.997674,,,,0.978883,,1.001440,,,,,,,,,,,,0.961206,,,,0.991217,0.956621,,
L5,,,,1.086104,1.026002,,,0.953463,0.912011,0.893540,1.077904,,0.977175,,,,,,,,,,,,0.979414,0.957301,0.985372,0.920517,,,0.986608,1.045005
Mi1,,,,0.997426,,,,0.963398,0.984462,0.958461,1.011923,,0.994573,1.009485,0.988694,0.974323,0.982407,1.028625,0.966319,,,,,,,0.969981,1.031913,0.975111,0.966810,,1.001354,0.986882
Mi4,,,,,,0.784686,,,,,0.858715,,,,,1.116802,1.049271,1.001691,1.022529,,,,,0.851973,0.904399,0.886772,,1.127712,,0.831218,,
Mi9,,,,,,,,,,1.036188,,,,,0.988348,0.967397,0.975851,0.989432,0.952790,,,,,1.008073,0.993559,1.021147,0.987184,0.994230,1.000056,,1.033889,
T1,,1.025864,1.116190,,1.176849,0.783138,,0.817076,,,1.230541,,,,,,,,,,,,,1.168614,1.107638,1.077113,,,1.161585,,,
T2,,,,,,,,,0.869292,,,,1.060708,,,,,,,,,,,,,,1.039971,,,,,
T2a,,,,,,,,,1.000233,,,,,1.038508,,,,,,,,,,,,1.010048,,,,,,
T3,,,,,,,,,,,,,1.035842,,,,,,,,,,,,,,0.965671,1.008057,,,,
T4a,,,,,,,,,,,1.157535,,,,,0.952310,,1.021158,,,,,,,,,,,,,,1.011039
T4b,,,,,,,,,,,1.006960,,,,,,1.047744,,,,1.038408,,,,,,,,,,,
T4c,,,,,,,,,,,1.045471,,,,,,,1.037242,,,,,,,,,,,,,,
T4d,,,,,,,,,,,,,,,,,,,1.008268,,,,,,,,,,,,,
T5a,,,,,,,,,,,,,,,,,,,,0.957136,,,,,,,,,,,,
T5b,,,,,,,,,,,,,1.042327,,,,0.962927,,,,1.016287,,,,,,,,,,,
T5c,,,,,,,,,,,,,,,,,,,,,,1.035418,,,,,,,,,,
T5d,,,,,,,,,,,,,,,,,,,,,,,1.016588,,,,,,,,,
Tm1,,,,,1.171482,,,0.782160,,0.817463,1.198955,0.868778,,0.977738,0.951984,,,,,1.030627,1.000028,1.027208,0.954593,,1.222448,1.036259,0.974965,,1.226337,1.197421,,0.983292
Tm2,,,,,1.227263,,,0.801113,,0.789151,1.190849,,1.136093,0.959902,1.047867,,,,,1.021533,1.032356,0.998969,1.019925,1.210564,,,0.960684,,1.219091,,,1.048450
Tm20,,,,,,,,,,,1.223032,,,,,,,,,,,,,,,0.894642,,,,1.231119,,0.965808
Tm21,,,,,,,,,,,,,0.974644,,,,,,,,,,,0.957276,,,1.041782,,,,,
Tm3,,,,1.124209,,,,,0.929134,,,,0.996933,1.032791,0.974328,0.957217,0.977385,1.028539,1.036288,,,,,,,,,0.935201,,,,
Tm4,,,,,1.159812,,,,,0.875525,,,,0.990434,1.008261,,,,,0.996811,0.970463,0.963772,0.954809,1.173152,,,0.986070,,1.111901,,1.164932,0.971526
Tm9,,,,,,,,,,,1.040139,,,,,,,,,1.044025,0.965857,0.983609,0.982142,,,1.031121,,,,,,
C2,,,,0.791500,0.802299,0.821554,0.800167,1.156237,1.143901,1.183522,,1.170797,0.989677,,,,,,,,,,,0.793475,,,,,,0.864823,,
C3,,,,1.014799,1.046532,0.965151,,0.983516,,,0.959931,0.954041,0.957121,,,0.997815,1.017767,1.024907,1.048698,,,,,1.003172,,1.042735,0.955455,,0.974163,0.969906,,
