,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,1.000000,,,,,,1.000000
C3,1.000000,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
L1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,1.000000,1.000000,,,1.000000,,
L2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,,,,,,,,,,1.000000,1.000000,1.000000,,1.000000,1.000000,
L3,1.000000,1.000000,1.000000,1.000000,,,,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,,,,,,,,,,,,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000
L4,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,,,,1.000000,,,,,,,,,,,1.000000,1.000000,,,,1.000000,1.000000
L5,1.000000,1.000000,1.000000,1.000000,,,1.000000,1.000000,1.000000,1.000000,,,,1.000000,1.000000,1.000000,,,,,,,,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,
Mi1,1.000000,1.000000,1.000000,1.000000,,,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,
Mi4,1.000000,1.000000,,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,,,,1.000000,,1.000000,,1.000000,1.000000,1.000000,1.000000,,,,,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000
Mi9,1.000000,,,,1.000000,1.000000,,1.000000,1.000000,,,,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
