,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,5.000000,,,5.000000,5.000000,5.000000,5.000000,,,,,5.000000,,,,,,,,,,,,,,,,,,,0.500000,0.500000
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.506469
R8,,0.500000,0.500000,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,5.000000,0.500000,,,,,,,,,,,,,,5.000000,0.998755,,,,0.500000,5.000000
L1,0.500000,5.000000,0.500000,0.500000,1.159108,0.500000,0.500000,5.000000,1.416334,0.835585,,5.000000,0.500000,2.691797,,,,,,,,,,0.500000,0.500000,,,5.000000,,,4.167713,2.651375
L2,0.500000,,0.500000,2.564316,0.500000,5.000000,5.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.992377,,,,,,,,,,0.896032,1.478537,3.065524,,0.500000,5.000000,,0.500000,0.500000
L3,,0.500000,0.500000,4.316562,3.555521,,,,0.500000,1.376295,0.695123,0.500000,,,,,,,,,,,,0.500000,5.000000,5.000000,1.018511,,5.000000,5.000000,0.500000,5.000000
L4,1.350215,,,0.500000,0.500000,4.704238,2.992462,5.000000,0.500000,,0.500000,,0.500000,,,,,,,,,,,0.500000,1.592996,,,,5.000000,5.000000,,0.500000
L5,,,,0.500000,1.603351,,,4.108350,5.000000,3.721225,0.500000,4.393550,5.000000,0.500000,,,,,,,,,,0.500000,2.008266,0.500000,0.500000,5.000000,0.500000,,0.500000,0.500000
Mi1,,5.000000,5.000000,0.500000,1.999371,,,5.000000,0.500000,5.000000,0.500000,5.000000,5.000000,0.500000,0.500972,0.500000,0.638202,5.000000,0.514262,,,,,0.500000,0.500000,0.767336,4.490294,5.000000,4.695709,,1.997151,0.500000
Mi4,,,,,2.404329,5.000000,,5.000000,0.500000,4.185326,1.936481,4.520031,,1.055898,,5.000000,0.500000,0.500000,1.033587,,,,,5.000000,0.500000,5.000000,,0.500000,5.000000,5.000000,1.029953,0.500000
Mi9,,,,,,0.500000,0.500000,,0.500000,5.000000,,,2.670827,0.938758,0.592317,4.400999,5.000000,1.960996,1.028382,,,,,0.500000,5.000000,5.000000,0.500000,5.000000,3.314715,0.500000,0.989880,
T1,0.500000,4.738122,0.500000,,0.500000,5.000000,,0.500000,,,2.027536,,,,,,,,,,,,,4.385424,0.500000,5.000000,,,5.000000,,,
T2,,,,,,,,5.000000,5.000000,,5.000000,,3.271989,1.021398,0.981923,,,,,,,,,0.500000,5.000000,,0.500000,0.500000,0.500000,,,
T2a,,,,,,,,,0.500000,,,,0.500000,0.500000,0.500000,,,,,,,,,0.500000,,0.500000,1.039361,5.000000,0.500000,,0.897907,
T3,,,,,,,,,,,,,1.276831,1.005152,1.037774,,,,1.010083,,,,,1.040946,,,1.013941,0.500000,,,,1.031097
T4a,,,,,,,,,,,0.500000,,,,,0.500000,1.047085,1.006196,0.970802,0.953637,,,,,,,,,,,,4.647832
