,C2,C3,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,R1-6,R7,R8,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9
C2,0.000000,2.802619,4.404689,0.000000,0.000000,14.005725,0.000000,2.156889,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,9.793900,0.500556,,,,,,,,,0.000000,,,,,,0.000000
C3,3.298532,,0.000000,0.000000,0.441219,0.000000,4.192657,0.593808,1.989565,0.000000,2.703216,,,0.000000,0.719252,8.333995,11.002616,1.314157,1.084273,1.507809,2.163022,,,,,2.123858,1.931075,0.000000,2.089200,11.201661,3.947077,0.000000
L1,1.107149,0.000000,0.000000,2.394540,1.533094,0.000000,2.438317,2.034117,0.000000,,11.096626,6.717343,2.148855,12.020353,12.443363,0.000000,,,,,,,,,,0.239698,0.177873,,,3.171257,,
L2,6.949104,0.267785,0.000000,1.551962,1.788903,23.311795,0.000000,0.000000,0.301175,1.812868,1.090424,,0.000000,3.448064,0.000000,1.041650,,,,,,,,,,0.382481,1.252090,6.022678,,0.167865,2.862245,
L3,0.000000,1.226755,0.000000,0.000000,,,,1.631747,0.583896,0.242555,,0.000000,0.166661,6.985273,,,,,,,,,,,,0.000000,0.000000,0.000000,1.042452,,5.191053,1.170404
L4,,5.211359,0.000000,0.000000,3.585160,0.879555,0.000000,0.000000,,0.329676,1.138137,,,,0.000000,,,,,,,,,,,7.611468,0.000000,,,,3.391607,0.475178
L5,0.130284,1.023436,0.755341,8.723448,,,4.898262,3.185342,2.498918,0.000000,,,,0.002994,1.185779,6.700352,,,,,,,,,,0.040846,0.129616,6.599150,5.872417,0.782715,0.000000,
Mi1,1.114606,0.279157,3.869552,3.794108,,,6.157323,1.780497,2.082523,0.028869,,3.928794,8.003947,0.000000,1.812558,1.137065,2.349203,0.126255,0.234474,6.658626,6.910209,,,,,0.000000,2.116005,5.447995,3.039567,2.536279,0.000000,
Mi4,0.000000,0.000000,,0.000000,0.000000,,0.000000,0.922110,11.332405,0.000000,,,,11.383074,,31.160782,,11.103889,9.497509,0.100000,0.100000,,,,,2.654493,0.000000,0.000000,,5.097985,20.707249,1.222408
Mi9,0.000000,,,,0.477627,16.795162,,0.000000,1.958448,,,,,,0.000000,0.000000,0.254164,0.749121,0.515791,0.100000,0.100000,,,,,0.906057,1.788891,10.609904,0.426484,0.000000,1.314782,0.000000
R1-6,0.000000,0.193779,2.942059,2.016310,0.104185,9.248195,,,,,0.162426,,,0.266365,,,,,,,,,,,,,,,,,,
R7,,0.000000,31.741475,,0.308987,,,0.000000,0.000000,0.284438,,,0.174850,,,,,,,,,,,,,,,1.279936,,,,
R8,0.000000,0.000000,18.528000,0.000000,0.338056,,0.000000,0.000000,0.000000,0.216241,,0.073539,12.042247,0.000000,,,,,,,,,,,,,,2.488021,0.761535,,,
T1,,,,0.000000,1.409159,,0.000000,,,0.731575,1.527806,0.000000,0.992314,,,,,,,,,,,,,0.299412,0.000000,0.000000,,,0.000000,
T2,,,,,,,0.000000,0.359774,,11.652008,,,,,2.315532,1.032177,3.699856,,,,,,,,,0.777825,1.010733,,3.004025,0.000000,0.000000,
T2a,0.000000,,,,,,,0.879415,,,,,,,2.580922,0.000000,0.000000,,,,,,,,,0.000000,,1.338805,1.035386,0.968148,1.761825,
T3,,6.370583,,,,,,,,,,,,,1.996421,0.967172,0.989474,,,,10.705240,,,,,0.000000,,,3.070370,0.000000,,
T4a,,1.767553,,,,,,,,0.364693,,,,,,,,1.098779,3.360988,3.161433,9.089889,0.752869,,,,,,,,,,
T4b,,,,,,,,0.000000,3.432469,0.515568,,,,,,,,6.317579,1.481963,,3.372859,,0.000000,,,,,,,,,
T4c,,,,,,,,,,0.411222,,,,,0.995924,,,,,2.357470,,,,2.561289,0.000000,,,,,,,
T4d,,,,,,,,1.318305,,,,,,,,,,,,3.342072,0.709940,,,,0.000000,,,,,,,
T5a,,,,,,,,,,,,,,,3.066819,,,1.163883,,,,0.101916,0.000000,,,,1.816715,,,,,
T5b,,,,,,,,,,,,,,,1.265657,,,,0.000000,,,0.000000,0.400444,,,,,,,,,
T5c,,,,,,,,,,,,,,,3.468755,,,,,0.000000,,,2.606088,0.511618,0.000000,,,,,,,
T5d,,,,,,,,,,,,,,,3.711097,,,,,1.679768,0.220959,,,,0.785139,,,,,,,
Tm1,0.000000,4.423856,,0.000000,,,1.365888,1.702949,0.000000,0.985318,,,,4.118540,0.000000,0.000000,0.347531,,,0.000000,,1.510916,1.191483,1.170740,1.055593,1.628428,0.666735,0.000000,1.354662,0.000000,0.562062,7.129090
Tm2,,0.000000,7.555927,0.000000,,,2.098391,14.670177,3.655560,0.082424,,,,5.502497,1.371456,0.000000,0.388694,0.131497,,0.000000,,1.126491,1.064010,0.960577,1.081930,0.000000,,,1.880530,0.000000,0.523395,1.002463
Tm20,,0.281408,,,,,,,0.778961,0.550651,,,,6.886063,1.434873,0.000000,,,,,,,,,,0.022546,2.717167,2.184818,0.965267,,,1.540021
Tm21,,,,,,,,1.034264,,,,,,,3.131280,1.014730,,,,,,,,,,2.448573,,,2.297401,,,
Tm3,0.000000,5.768252,0.000000,0.000000,,,,1.039357,0.000000,0.224507,,,,,2.117543,1.028500,3.307242,0.221289,0.193625,0.193835,0.226296,,0.000000,,1.264516,,,,,4.348070,2.946616,
