,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.561264,,,1.457921,1.521584,1.524225,,,,,,1.151726,,,,,,,,,,,,,,,,,,,,
R7,,,1.276316,,,1.519240,,,,,1.503607,,,,,,,,,,,,,,,,,,,,,
R8,,0.483852,,1.507497,,1.475540,,,0.557746,0.650007,1.386709,1.118328,,,,,,,,,,,,,,1.070409,,,,,,0.984195
L1,,,,,0.505194,,,1.509269,1.420836,1.481362,,,0.956608,,,,,,,,,,,,,,,1.471435,,,0.980614,1.016382
L2,0.932290,,,1.494374,,1.473750,1.433390,0.556554,0.541397,0.520563,,0.817619,,,,,,,,,,,,1.452352,1.462778,0.986132,,,1.404104,,,0.977584
L3,,,1.416394,,,,,,0.511215,1.392330,1.493841,0.920655,,,,,,,,,,,,,,0.981076,,,,1.488314,,1.011027
L4,1.031160,,,1.413110,1.460472,1.460115,1.466368,,,,1.423086,,1.321630,,,,,,,,,,,,1.492457,,,,1.413005,1.399361,,
L5,,,,1.248150,1.317380,,,0.739019,0.660778,0.722175,1.185288,,0.978892,,,,,,,,,,,,1.272639,0.997433,1.007811,0.727997,,,0.983091,0.963758
Mi1,,,,1.243408,,,,0.809578,0.829290,0.751145,1.208009,,1.149102,1.010715,1.035936,0.950086,0.992639,0.749637,0.971966,,,,,,,1.016315,0.953546,0.768845,1.160844,,0.958907,0.973930
Mi4,,,,,,0.659252,,,,,0.726504,,,,,0.955409,0.962349,0.960452,0.987066,,,,,0.740044,0.871926,1.021115,,1.314630,,0.729991,,
Mi9,,,,,,,,,,1.443011,,,,,1.002961,1.023067,1.012117,1.326289,0.984613,,,,,0.605256,0.500225,1.007410,1.122432,1.455916,0.601650,,1.035309,
T1,,0.977290,0.991107,,0.808508,1.131217,,1.118637,,,0.928300,,,,,,,,,,,,,0.959963,1.041649,0.974176,,,0.992419,,,
T2,,,,,,,,,0.989297,,,,1.149618,,,,,,,,,,,,,,0.917699,,,,,
T2a,,,,,,,,,0.729919,,,,,0.977756,,,,,,,,,,,,0.957733,,,,,,
T3,,,,,,,,,,,,,0.977801,,,,,,,,,,,,,,0.980367,0.732936,,,,
T4a,,,,,,,,,,,1.046627,,,,,1.042407,,1.025507,,,,,,,,,,,,,,1.049846
T4b,,,,,,,,,,,1.034466,,,,,,0.952738,,,,0.992588,,,,,,,,,,,
T4c,,,,,,,,,,,1.458676,,,,,,,0.592016,,,,,,,,,,,,,,
T4d,,,,,,,,,,,,,,,,,,,1.007765,,,,,,,,,,,,,
T5a,,,,,,,,,,,,,,,,,,,,1.046772,,,,,,,,,,,,
T5b,,,,,,,,,,,,,0.954530,,,,1.034287,,,,0.967430,,,,,,,,,,,
T5c,,,,,,,,,,,,,,,,,,,,,,1.047932,,,,,,,,,,
T5d,,,,,,,,,,,,,,,,,,,,,,,1.008503,,,,,,,,,
Tm1,,,,,1.017664,,,0.982876,,1.025272,1.026842,1.033025,,0.966558,1.011792,,,,,0.967408,1.024903,0.966007,1.026762,,0.973337,1.035393,0.958901,,0.971005,0.950145,,1.046293
Tm2,,,,,1.448505,,,0.544376,,0.512421,1.499437,,1.339369,0.968581,1.044090,,,,,0.990160,1.015822,1.008309,0.961113,1.463619,,,0.820089,,1.445597,,,0.977156
Tm20,,,,,,,,,,,0.979147,,,,,,,,,,,,,,,0.954536,,,,0.908840,,1.035031
Tm21,,,,,,,,,,,,,1.212105,,,,,,,,,,,1.401798,,,1.001783,,,,,
Tm3,,,,1.439367,,,,,0.547843,,,,1.315058,1.109755,1.186045,0.958568,0.952273,0.655705,1.015298,,,,,,,,,0.582481,,,,
Tm4,,,,,1.243939,,,,,0.679674,,,,1.136513,1.224544,,,,,1.039214,0.963936,1.030651,1.041448,1.281686,,,0.979614,,1.323617,,0.983712,1.038497
Tm9,,,,,,,,,,,1.043426,,,,,,,,,0.972220,0.982416,1.021490,0.959786,,,1.006590,,,,,,
C2,,,,0.994575,1.019211,0.950559,1.036842,0.960142,0.986502,1.008918,,1.026679,0.984861,,,,,,,,,,,0.999591,,,,,,0.967174,,
C3,,,,0.985805,1.027306,1.043404,,0.971674,,,0.952984,1.034497,0.973949,,,1.043027,0.988816,1.018576,0.980634,,,,,0.994397,,1.021272,0.994848,,1.029570,1.041183,,
