,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,0.885819,0.880837,0.729642,0.100000,,,,,0.466789,,,,,,,,,,,,,,,,,,,1.046874,0.395248,,
R7,,,0.100000,10.000000,,10.000000,,,0.100000,0.100000,10.000000,,,,,,,,,,,,,,,0.957245,,,,,,0.454334,0.955205,
R8,,9.106146,0.100000,10.000000,0.386098,2.465300,,0.100000,0.100000,0.100000,9.737753,0.100000,,,,,,,,,,,,,,0.809752,0.961049,,,,0.959331,0.436729,1.034524,0.976848
L1,0.100000,0.100000,0.697423,0.100000,0.100000,1.096743,0.100000,10.000000,1.376514,0.100000,,2.151296,0.969416,10.000000,,,,,,,,,,0.100000,0.892281,,,0.771166,,,0.414301,0.978808,,1.035140
L2,10.000000,,0.100000,8.586691,2.189149,0.100000,5.414640,0.100000,0.100000,0.100000,0.100000,0.100000,1.045652,1.047857,,,,,,,,,,0.712165,0.440814,0.531795,,0.100000,2.702598,,1.458263,0.956634,,
L3,,10.000000,0.100000,0.100000,10.000000,,,,0.100000,2.476122,2.953084,0.100000,,,,,,,,,,,,0.100000,10.000000,0.509394,1.029370,,10.000000,5.163710,1.029200,0.358815,1.026842,
L4,9.084744,,,3.986111,5.882207,0.100000,0.100000,10.000000,0.100000,,0.100000,,1.001960,,,,,,,,,,,0.100000,4.083444,,,,0.100000,3.655642,,1.015816,1.029563,0.978071
L5,,,,0.232082,10.000000,,,10.000000,0.100000,0.100000,5.079847,2.315986,1.125385,4.296679,,,,,,,,,,0.100000,2.829777,1.052496,0.540334,0.426287,0.100000,,0.365743,0.794315,0.980813,0.961683
Mi1,,10.000000,10.000000,0.534638,0.100000,,,0.100000,1.972921,10.000000,0.100000,1.023235,1.031811,1.572286,0.248686,1.301332,0.598680,0.473952,0.602173,,,,,0.100000,0.100000,1.045763,0.407860,0.166693,0.100000,,0.380418,1.047985,0.963188,0.527245
Mi4,,,,,0.100000,0.100000,,10.000000,0.100000,10.000000,1.914138,0.962871,,1.038659,,0.100000,0.100000,1.220747,1.047016,,,,,2.747761,0.797173,1.029277,,1.232384,10.000000,2.568362,1.036696,1.026276,0.960646,0.955292
Mi9,,,,,,0.100000,0.100000,,0.100000,5.434821,,,0.975093,10.000000,10.000000,1.883572,1.270110,1.990864,0.970123,,,,,4.510898,0.100000,1.029211,0.995490,1.178147,5.465847,7.709875,0.951968,,0.370031,0.958431
T1,1.031270,0.955743,0.916443,,0.100000,0.100000,,0.100000,,,1.644647,,,,,,,,,,,,,2.669684,2.787660,0.987075,,,2.826824,,,,,
T2,,,,,,,,1.001172,0.974882,,1.039958,,0.966625,1.045635,1.011957,,,,,,,,,1.022085,1.042135,,0.968180,1.015297,1.043773,,,,,1.044206
T2a,,,,,,,,,10.000000,,,,0.996365,10.000000,10.000000,,,,,,,,,0.100000,,0.997834,1.046819,0.100000,10.000000,,0.955085,,,1.009664
T3,,,,,,,,,,,,,0.966332,0.957089,1.017513,,,,1.017345,,,,,0.100000,,,1.014541,2.026672,,,,1.010443,,1.047128
T4a,,,,,,,,,,,6.136339,,,,,8.800724,0.973349,1.027789,0.954033,0.983834,,,,,,,,,,,,1.022308,,
T4b,,,,,,,,,9.656633,1.915047,10.000000,,,,,0.100000,3.995952,,0.963544,,1.033167,,,,,,,,,,,,,
T4c,,,,,,,,,,,10.000000,,1.044738,,,,,3.186305,,,,0.995304,0.984124,,,,,,,,,,,
T4d,,,,,,,,,0.932016,,,,,,,,,0.969713,1.037350,,,,1.004578,,,,,,,,,,,
