idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,10.000000,-0.283662,0.968263,-0.412143,10.000000,500.711219,0.000000,1.000000
1,R7,1.000000,10.000000,0.000022,0.981933,0.460265,10.000000,200.841319,0.000000,1.000000
2,R8,1.000000,9.514528,-0.000084,0.953650,-0.404584,100.000000,1100.000000,0.000000,0.993474
3,L1,1.000000,10.000000,18.122045,1.846389,0.405691,10.000000,1100.000000,0.000000,0.750977
4,L2,1.000000,10.000000,20.000000,2.117528,0.634491,10.000000,1100.000000,0.000000,0.952746
5,L3,1.000000,10.000000,3.200703,0.824329,-1.460752,100.000000,1100.000000,0.000000,1.000000
6,L4,1.000000,4.805190,5.048494,0.857722,0.345819,10.000000,1010.850934,0.000000,0.479981
7,L5,1.000000,2.032195,20.000000,1.109169,-0.131446,12.578772,146.765406,0.000000,0.102484
8,Mi1,1.000000,3.954938,-3.143141,2.083854,-0.340596,13.964663,1100.000000,0.000000,0.979798
9,Mi4,1.000000,7.256453,-2.228710,1.363185,1.508631,10.000000,1100.000000,0.000000,0.925246
10,Mi9,1.000000,10.000000,3.369461,1.777809,-0.564022,25.956939,1100.000000,0.000000,1.000000
11,T1,1.000000,0.100000,-0.826513,0.950393,-0.039444,50.785009,1008.701817,0.000000,0.010000
12,T2,1.000000,1.001756,-0.545354,0.974155,-0.040411,49.958478,997.247714,0.000000,0.080637
13,T2a,1.000000,10.000000,0.494272,0.950412,-0.177472,10.000000,177.381897,0.000000,1.000000
14,T3,1.000000,9.275094,3.892919,1.001930,-0.451334,100.000000,1100.000000,0.000000,0.853023
15,T4a,1.000000,8.458290,0.583066,0.977267,-0.447509,10.000000,229.829505,0.000000,0.986085
16,T4b,1.000000,10.000000,0.282578,1.009331,0.233163,10.000000,291.857576,0.000000,1.000000
17,T4c,1.000000,10.000000,0.335215,1.042226,0.098106,10.000000,343.316119,0.000000,1.000000
18,T4d,1.000000,0.888292,-0.822127,0.988651,-0.151834,50.721234,1003.047873,0.000000,0.010000
19,T5a,1.000000,10.000000,6.682453,1.010935,-0.101574,10.000000,745.248206,0.000000,1.000000
20,T5b,1.000000,0.100000,0.029781,1.007302,-0.329967,51.794656,998.743530,0.000000,0.010000
21,T5c,1.000000,9.720068,14.668510,0.987741,0.297413,13.342575,375.311717,0.000000,0.783698
22,T5d,1.000000,6.914364,12.404492,1.021567,-0.368322,10.000000,1100.000000,0.000000,0.841648
23,Tm1,1.000000,2.508688,2.504759,1.421017,0.590593,20.455226,1100.000000,0.000000,1.000000
24,Tm2,1.000000,3.390410,2.087365,0.665548,0.183450,10.000000,112.034162,0.000000,0.983587
25,Tm20,1.000000,0.920447,-0.865825,0.994652,-0.377985,47.890232,993.225662,0.000000,0.010000
26,Tm21,1.000000,0.770459,-0.924106,1.016849,-0.121035,50.279464,992.361837,0.000000,0.010000
27,Tm3,1.000000,4.597155,0.450791,0.246241,-0.362058,10.000000,241.377287,0.000000,0.996026
28,Tm4,1.000000,7.781865,20.000000,0.864993,0.790055,10.000000,334.162160,0.000000,0.584025
29,Tm9,1.000000,0.100000,-4.923128,0.756136,0.425123,34.345965,1100.000000,0.000000,0.990283
30,C2,1.000000,0.440260,-0.818413,1.041125,-0.460045,49.962693,1005.329406,0.000000,0.010000
31,C3,1.000000,0.388039,-0.595366,0.964206,-0.486477,48.490647,1004.316708,0.000000,0.010000
32,Lawf1,1.000000,0.737381,-0.842855,1.030782,0.423729,48.816899,1009.637435,0.000000,0.010000
33,Lawf2,1.000000,0.831635,-0.837269,0.964028,0.113468,51.860612,1001.805370,0.000000,0.010000
