cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,v_th_ca,a_ca,tau_ca,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
0,R1-6,0.994679,19.647802,0.964360,1.035131,-0.306046,-50.000000,-50.000000,0.950647,347.578552,10.000000,202.507629,0.000000,19.584743,19.647802,21.828779,2.180977
1,R7,0.976160,18.710802,0.964360,0.965030,0.434013,-50.000000,-50.000000,1.030862,350.192810,10.000000,202.507629,0.000000,18.660147,18.710802,20.837627,2.126825
2,R8,0.974851,19.244522,0.964360,0.977731,-0.205936,-50.000000,-50.000000,1.034123,349.593231,10.000000,202.507629,0.000000,19.185038,19.244522,21.349470,2.104948
3,L1,1.004992,-11.641563,0.964360,1.040064,0.321006,-50.000000,-50.000000,0.974012,352.127563,10.000000,202.507629,0.047817,-11.534433,-11.641563,-12.165806,-0.524242
4,L2,0.950427,-19.688719,0.964360,0.987235,0.347591,-50.000000,-50.000000,1.013938,350.694336,10.000000,202.507629,0.011267,-19.545502,-19.688719,-20.295576,-0.606857
5,L3,0.975314,-8.817182,0.964360,0.951609,-0.205646,-50.000000,-50.000000,0.965970,351.145721,10.000000,202.507629,0.000000,-8.753502,-8.817182,-9.113190,-0.296008
6,L4,1.014481,-0.061800,0.964360,0.950287,-0.316426,-50.000000,-50.000000,1.010645,351.460632,10.000000,202.507629,0.043976,-0.053510,-0.061800,-0.079510,-0.017711
7,L5,0.979529,-2.542609,0.964360,1.006288,-0.432766,-50.000000,-50.000000,1.043857,348.828888,10.000000,202.507629,-0.029118,-2.545880,-2.542609,-2.516817,0.025792
8,Mi1,1.017734,-3.355128,0.964360,0.997250,0.044268,-50.000000,-50.000000,1.045353,349.532959,10.000000,202.507629,0.000000,-3.385869,-3.355128,-3.291057,0.064071
9,Tm3,0.987428,2.105493,0.964360,1.008260,0.112854,-50.000000,-50.000000,1.007332,347.571899,10.000000,202.507629,0.000000,2.066053,2.105493,2.183241,0.077748
10,Mi4,0.992498,1.668794,0.964360,0.999735,0.159264,-50.000000,-50.000000,1.022323,351.947113,10.000000,202.507629,0.000000,1.672809,1.668794,1.624609,-0.044185
11,Mi9,0.953724,2.100783,0.964360,1.024086,0.117690,-50.000000,-50.000000,0.976436,351.621460,10.000000,202.507629,0.000000,2.117715,2.100783,2.057428,-0.043356
12,T4a,1.044196,2.582087,0.964360,0.952681,0.315470,-50.000000,-50.000000,1.043329,348.786652,10.000000,202.507629,0.000000,2.573165,2.582087,2.593204,0.011118
13,T4b,0.983274,1.522643,0.964360,1.016704,-0.297817,-50.000000,-50.000000,1.027830,348.534058,10.000000,202.507629,0.000000,1.515288,1.522643,1.532305,0.009663
14,T4c,0.980503,2.170598,0.964360,0.963586,-0.080019,-50.000000,-50.000000,0.955798,348.852417,10.000000,202.507629,0.000000,2.161628,2.170598,2.181372,0.010774
15,T4d,0.979956,2.354613,0.964360,0.972826,0.330802,-50.000000,-50.000000,1.036626,352.376678,10.000000,202.507629,0.000000,2.346562,2.354613,2.364143,0.009529
16,Tm1,1.040866,2.925772,0.964360,0.966049,-0.392420,-50.000000,-50.000000,1.011956,352.472656,10.000000,202.507629,0.000000,3.017919,2.925772,2.740437,-0.185335
17,Tm2,1.031310,4.418541,0.964360,0.968269,-0.377162,-50.000000,-50.000000,1.002099,347.575653,10.000000,202.507629,0.000000,4.479252,4.418541,4.282790,-0.135751
18,Tm4,1.030193,2.470012,0.964360,1.040072,0.149268,-50.000000,-50.000000,1.014997,348.938690,10.000000,202.507629,0.000000,2.516840,2.470012,2.372674,-0.097338
19,Tm9,1.008397,0.493405,0.964360,0.971550,0.344259,-50.000000,-50.000000,0.999212,352.053009,10.000000,202.507629,0.000000,0.499748,0.493405,0.481374,-0.012031
20,T5a,0.999124,3.881572,0.964360,1.007678,-0.190316,-50.000000,-50.000000,0.975689,350.578644,10.000000,202.507629,0.000000,3.874480,3.881572,3.877254,-0.004318
21,T5b,1.022648,4.000525,0.964360,1.017884,0.408349,-50.000000,-50.000000,1.026459,349.355743,10.000000,202.507629,0.000000,3.993923,4.000525,3.997288,-0.003237
22,T5c,0.987247,4.530584,0.964360,1.020129,0.412622,-50.000000,-50.000000,0.982448,352.262115,10.000000,202.507629,0.000000,4.523038,4.530584,4.526779,-0.003805
23,T5d,1.042391,3.320948,0.964360,0.982177,-0.105255,-50.000000,-50.000000,1.048447,350.925903,10.000000,202.507629,0.000000,3.315620,3.320948,3.316487,-0.004461
24,T1,1.024822,-1.071233,0.964360,1.031820,0.205525,-50.000000,-50.000000,1.015969,348.034821,10.000000,202.507629,0.000000,-0.996852,-1.071233,-1.220368,-0.149135
25,T2,1.008357,6.560606,0.964360,0.970672,-0.386378,-50.000000,-50.000000,1.010960,350.774658,10.000000,202.507629,0.000000,6.539808,6.560606,6.569383,0.008777
26,T2a,1.013079,5.982660,0.964360,0.990470,0.126037,-50.000000,-50.000000,1.004770,351.709320,10.000000,202.507629,0.000000,5.972418,5.982660,5.980297,-0.002364
27,T3,1.042362,7.444423,0.964360,1.014763,-0.212164,-50.000000,-50.000000,0.963810,352.104980,10.000000,202.507629,0.000000,7.427414,7.444423,7.446592,0.002169
28,C2,0.960925,0.123481,0.964360,1.012113,-0.398344,-50.000000,-50.000000,1.000846,350.700684,10.000000,202.507629,0.000000,0.105038,0.123481,0.162625,0.039144
29,C3,0.983025,-0.811773,0.964360,0.979789,0.184795,-50.000000,-50.000000,1.035878,349.011810,10.000000,202.507629,0.000000,-0.839990,-0.811773,-0.743010,0.068763
30,Lawf1,1.022719,7.687849,0.964360,0.957530,0.037422,-50.000000,-50.000000,1.017277,352.020844,10.000000,202.507629,0.000000,7.670345,7.687849,7.697631,0.009782
31,Lawf2,1.010613,1.033134,0.964360,0.966563,-0.482529,-50.000000,-50.000000,0.980111,348.486877,10.000000,202.507629,0.000000,1.030876,1.033134,1.029730,-0.003404
32,Dm3v,0.960284,2.200641,0.964360,1.016167,-0.405344,-50.000000,-50.000000,0.973521,351.008392,10.000000,202.507629,0.000000,2.199462,2.200641,2.191433,-0.009208
33,Lai,1.012937,-20.597713,0.964360,1.046854,0.293152,-50.000000,-50.000000,1.038349,350.063385,10.000000,202.507629,0.000000,-20.420420,-20.597713,-21.482994,-0.885281
34,Mi10,1.028338,-1.789531,0.964360,1.031412,0.210263,-50.000000,-50.000000,0.969748,350.930481,10.000000,202.507629,0.000000,-1.783138,-1.789531,-1.791807,-0.002276
35,Mi13,1.039268,0.463445,0.964360,0.974593,0.261562,-50.000000,-50.000000,0.962116,349.290253,10.000000,202.507629,0.000000,0.465340,0.463445,0.460097,-0.003348
36,Mi14,1.025063,4.734414,0.964360,0.958338,-0.037638,-50.000000,-50.000000,1.030794,348.053650,10.000000,202.507629,0.000000,4.720075,4.734414,4.740202,0.005788
37,Mi15,0.994422,-1.595189,0.964360,1.041619,0.376888,-50.000000,-50.000000,1.036508,352.459351,10.000000,202.507629,0.000000,-1.583356,-1.595189,-1.641293,-0.046103
38,Mi2,0.995142,1.682695,0.964360,0.985043,-0.339404,-50.000000,-50.000000,1.046608,350.448883,10.000000,202.507629,0.000000,1.679583,1.682695,1.681498,-0.001197
39,Tm16,0.957381,-4.565938,0.964360,1.032882,0.135471,-50.000000,-50.000000,1.017860,347.766449,10.000000,202.507629,0.000000,-4.549771,-4.565938,-4.572357,-0.006419
40,Tm20,0.991056,0.732624,0.964360,0.987233,0.025579,-50.000000,-50.000000,0.961695,348.894714,10.000000,202.507629,0.000000,0.751559,0.732624,0.666517,-0.066106
41,Tm21,0.975116,3.175404,0.964360,0.979065,-0.421606,-50.000000,-50.000000,0.979178,350.362091,10.000000,202.507629,0.000000,3.170383,3.175404,3.170860,-0.004544
42,Tm27,0.988932,2.218326,0.964360,1.029586,0.329514,-50.000000,-50.000000,1.017834,347.841553,10.000000,202.507629,0.000000,2.211326,2.218326,2.226799,0.008473
43,Tm5a,0.989512,-1.358474,0.964360,0.963189,-0.042121,-50.000000,-50.000000,0.992319,351.476166,10.000000,202.507629,0.000000,-1.348870,-1.358474,-1.418357,-0.059883
44,Tm5b,1.031242,-2.069141,0.964360,0.973212,-0.375768,-50.000000,-50.000000,0.972527,347.848358,10.000000,202.507629,0.000000,-2.058843,-2.069141,-2.107826,-0.038685
45,Tm5c,1.041858,1.360168,0.964360,1.017061,0.234839,-50.000000,-50.000000,0.951404,350.623932,10.000000,202.507629,0.000000,1.367300,1.360168,1.310819,-0.049349
46,Tm5f,1.003039,1.832364,0.964360,1.002849,0.271584,-50.000000,-50.000000,0.984917,350.859558,10.000000,202.507629,0.000000,1.828578,1.832364,1.832503,0.000139
47,TmY10,1.001431,-0.614167,0.964360,1.038244,-0.284606,-50.000000,-50.000000,1.045658,348.219421,10.000000,202.507629,0.000000,-0.609663,-0.614167,-0.620705,-0.006538
48,TmY11,0.966534,-10.249740,0.964360,0.968827,0.164803,-50.000000,-50.000000,1.048064,347.908936,10.000000,202.507629,0.000000,-10.218186,-10.249740,-10.257791,-0.008051
49,TmY14,1.034191,10.916073,0.964360,0.982666,0.261992,-50.000000,-50.000000,0.983877,349.955658,10.000000,202.507629,0.000000,10.888568,10.916073,10.926415,0.010343
50,TmY15,0.952342,12.029497,0.964360,0.987169,0.284699,-50.000000,-50.000000,0.950312,350.705109,10.000000,202.507629,0.000000,11.995922,12.029497,12.044565,0.015068
51,TmY3,1.020882,6.396590,0.964360,1.006478,0.238724,-50.000000,-50.000000,1.014763,351.148376,10.000000,202.507629,0.000000,6.385570,6.396590,6.395963,-0.000627
52,TmY4,1.017742,1.172823,0.964360,0.989627,-0.335526,-50.000000,-50.000000,0.989496,347.777924,10.000000,202.507629,0.000000,1.172623,1.172823,1.167652,-0.005171
53,TmY5a,0.967198,5.832643,0.964360,0.953968,-0.128295,-50.000000,-50.000000,0.953741,347.542542,10.000000,202.507629,0.000000,5.812378,5.832643,5.843035,0.010392
54,TmY9q,0.966546,2.471138,0.964360,1.049410,-0.356784,-50.000000,-50.000000,1.022195,351.366211,10.000000,202.507629,0.000000,2.467150,2.471138,2.466697,-0.004441
55,TmY9q__perp,0.991717,2.644485,0.964360,1.006124,-0.245941,-50.000000,-50.000000,0.956341,352.425629,10.000000,202.507629,0.000000,2.640075,2.644485,2.640870,-0.003615
