,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,9.278893,,,7.387160,5.308988,11.787805,12.297832,,,,,2.753935,,,,,,,,,,,,,,,,,,,0.100000,0.197865
R7,,,4.622343,13.514829,,13.642808,,,0.100000,0.100000,12.884184,,,,,,,,,,,,,,,10.721949,,,,,,2.079431
R8,,0.100000,5.029742,10.577217,0.288888,12.985957,,0.100000,0.100000,0.100000,12.972974,3.109459,,,,,,,,,,,,,,10.653305,1.035450,,,,2.329587,2.270241
L1,0.100000,0.100000,0.100000,3.637239,0.236672,2.011690,0.100000,1.920701,3.608635,8.681499,,3.408925,1.633409,0.100000,,,,,,,,,,0.100000,1.479522,,,10.677742,,,3.173871,5.860538
L2,1.284227,,0.100000,0.100000,3.872271,0.205840,8.655466,0.100000,0.100000,0.373104,9.778933,0.100000,0.556666,1.003172,,,,,,,,,,3.542716,0.798858,4.286996,,0.100000,8.096522,,0.100000,0.127314
L3,,0.386195,1.282951,0.468457,0.100000,,,,1.119620,0.100000,4.752783,0.320705,,,,,,,,,,,,9.578305,4.670301,1.702321,0.968619,,0.100000,13.347080,0.100000,0.136070
L4,0.100000,,,5.718718,0.100000,0.101073,4.885256,2.669241,0.100000,,0.191706,,1.076689,,,,,,,,,,,4.441604,0.345023,,,,0.100000,5.455023,,0.105608
L5,,,,1.544055,6.656082,,,3.268801,0.759931,5.091248,0.100000,1.307054,0.100000,1.449790,,,,,,,,,,0.100000,0.584861,0.616311,2.714700,0.866187,0.100000,,0.100000,0.652667
Mi1,,0.644984,0.465686,2.495456,5.444893,,,0.100000,2.028118,5.106749,0.100000,0.107509,0.132038,0.100000,0.100000,6.960465,3.589257,8.315611,1.048734,,,,,4.408733,3.766902,0.239846,0.163271,0.100000,4.844078,,1.913179,2.434664
Mi4,,,,,0.100000,4.992254,,7.233971,5.707066,2.542874,0.688653,2.217315,,4.428592,,1.209095,0.771040,1.809725,0.100000,,,,,0.100000,0.100000,1.454701,,10.056785,6.201940,8.156049,0.100000,1.237936
Mi9,,,,,,0.100000,1.467421,,0.108322,0.100000,,,0.100000,0.412174,0.100000,1.659053,2.575225,1.750460,0.100000,,,,,4.477095,2.311986,6.081418,0.100000,0.100000,11.639543,0.110367,2.339155,
T1,1.027491,1.208665,0.100000,,0.123357,0.100000,,0.100000,,,0.465886,,,,,,,,,,,,,0.786170,0.531537,0.100000,,,1.767328,,,
T2,,,,,,,,0.100000,3.654107,,0.100000,,4.764919,0.970892,9.413292,,,,,,,,,0.100000,1.066254,,5.150660,0.714521,0.100000,,,
T2a,,,,,,,,,2.593079,,,,0.100000,0.248184,1.487727,,,,,,,,,0.446063,,2.980802,0.978672,4.302101,0.100000,,0.100000,
T3,,,,,,,,,,,,,2.093677,1.016864,0.975577,,,,0.963417,,,,,0.528223,,,4.554896,5.503527,,,,0.100000
T4a,,,,,,,,,,,6.064733,,,,,3.198972,1.021393,0.958087,0.996156,0.956533,,,,,,,,,,,,0.616575
T4b,,,,,,,,,0.100000,7.839925,4.594947,,,,,1.812030,1.503760,,1.014746,,0.440269,,,,,,,,,,,
T4c,,,,,,,,,,,7.827789,,0.987606,,,,,3.054283,,,,1.002390,1.031267,,,,,,,,,
T4d,,,,,,,,,3.408925,,,,,,,,,0.995248,2.084804,,,,1.028426,,,,,,,,,
T5a,,,,,,,,,,,,,1.982377,,,1.018387,,,,1.051588,0.955723,,,,1.303130,,,,,,,
T5b,,,,,,,,,,,,,3.103640,,,,0.100000,,,1.038399,0.475294,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.533551,,,,,0.239884,,,1.031623,0.227408,1.040127,,,,,,,,,
T5d,,,,,,,,,,,,,4.420036,,,,,0.100000,0.997420,,,,0.100000,,,,,,,,,
Tm1,,,,,0.100000,,,0.100000,2.360888,6.380530,0.982642,2.857092,0.330336,1.473970,0.100000,,,1.034792,,2.539090,0.396675,1.945683,1.831933,1.034475,0.100000,0.100000,0.100702,0.100000,4.923198,0.100000,0.997937,1.764537
Tm2,,,,0.100000,0.100000,,,5.501888,9.199697,1.641424,7.724192,0.100000,5.052680,0.105497,8.976398,1.033660,,0.100000,,0.931237,2.289948,0.470265,4.387614,0.100000,,,5.574392,0.100000,0.100000,7.925888,,0.217098
Tm20,,,,,,,,,,2.268966,0.100000,1.614354,8.943871,6.238099,,,,,,,,,,0.100000,0.100000,2.172199,1.023866,,,9.179627,,0.100000
Tm21,,,,,,,,,4.707593,,,,3.372315,0.987699,,,,,,,,,,8.050387,,,1.416402,,,,,
Tm3,,,,5.246108,2.837850,,,,0.100000,0.681416,0.100000,,0.344388,0.100000,0.100000,7.949317,8.997976,8.693721,0.878318,,0.981726,,0.998221,,,,,0.100000,0.662913,,0.100000,0.100000
Tm4,,,,,0.100000,,,,0.100000,3.530376,,0.984092,0.100000,1.992351,6.067312,,,,,1.315503,3.488450,0.100000,0.121564,0.100000,9.064569,,0.100000,0.757266,0.100000,,0.100000,0.592579
Tm9,,,,,,0.100000,,,,0.100000,0.100000,,2.629170,0.100000,,,,,,0.100000,2.436336,0.100000,4.244211,4.031478,0.300920,1.528484,0.965247,,0.100000,3.906512,,
C2,0.100000,1.588700,0.100000,3.346454,0.177509,3.080806,2.999564,2.844407,3.308718,0.100000,,0.100000,0.980629,1.517749,0.898392,,,,,,,,,0.100000,,,,,,2.931701,1.056095,2.809139
C3,0.100000,,,0.546206,0.323950,3.371260,0.100000,7.458253,9.369862,0.100000,4.465377,0.100000,4.342392,1.011890,0.100000,0.100000,0.100000,0.100000,1.013064,,,,,0.100000,0.100000,4.393616,1.556322,0.946377,0.100000,4.723220,0.100000,
