idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,9.220196,1.003602,41.250207,10000.000000,-0.468715,1.000000
1,R7,1.000000,13.769875,0.959122,33.820661,9999.984144,-0.507126,1.000000
2,R8,1.000000,9.821142,1.037865,41.299742,10000.000000,-0.329149,1.000000
3,L1,1.000000,4.426509,1.010129,32.995273,195.548413,4.431919,4.993082
4,L2,1.000000,2.196484,0.980739,39.723994,195.925572,4.026165,5.000000
5,L3,1.000000,11.494724,0.983370,40.677056,10000.000000,1.828741,1.000000
6,L4,1.000000,0.392462,0.965026,38.169235,188.920411,2.076572,5.000000
7,L5,1.000000,4.655953,1.023301,34.275844,188.652292,-0.045407,2.361781
8,Mi1,1.000000,2.313006,0.980272,41.516098,9999.207003,4.999938,1.000000
9,Mi4,1.000000,4.450968,0.982163,39.615861,10000.000000,1.033478,1.000000
10,Mi9,1.000000,4.562160,1.041575,32.135086,10000.000000,-1.089964,1.000000
11,T1,1.000000,0.100000,0.965284,50.317809,9999.694877,-1.522269,1.000000
12,T2,1.000000,3.647252,1.024925,53.174077,9999.191314,3.230155,1.000000
13,T2a,1.000000,2.569052,1.029368,48.259942,9998.698817,2.977284,1.000000
14,T3,1.000000,5.422650,0.997593,53.156332,9991.353626,7.892221,1.000000
15,T4a,1.000000,5.177440,0.969426,53.703207,9994.163435,1.983973,1.000000
16,T4b,1.000000,4.166900,1.010608,54.003376,9995.422172,1.507794,1.000000
17,T4c,1.000000,7.709790,1.016063,51.212864,9995.101033,1.276686,1.000000
18,T4d,1.000000,3.497387,0.956829,49.047882,9999.967393,3.637679,1.000000
19,T5a,1.000000,1.829558,0.958991,53.210658,10000.000000,-1.739792,1.000000
20,T5b,1.000000,2.962062,1.031842,51.701490,9999.790827,2.648046,1.000000
21,T5c,1.000000,0.328411,0.959954,46.807768,10000.000000,-0.074290,1.000000
22,T5d,1.000000,4.295856,0.976742,54.139502,10000.000000,3.345611,1.000000
23,Tm1,1.000000,1.042794,1.035021,39.841027,10000.000000,-2.707141,1.000000
24,Tm2,1.000000,6.311309,1.043266,41.720978,9992.655218,4.744187,1.000000
25,Tm20,1.000000,1.070478,0.967984,43.589067,10000.000000,1.103211,1.000000
26,Tm21,1.000000,4.909202,1.025443,59.083957,9999.988151,4.252311,1.000000
27,Tm3,1.000000,5.238429,1.026144,33.457075,10000.000000,6.787195,1.000000
28,Tm4,1.000000,4.278825,1.009240,34.555671,10000.000000,0.428880,1.000000
29,Tm9,1.000000,0.100000,1.023766,34.691748,9993.464743,0.972326,1.000000
30,C2,1.000000,1.988692,0.951411,53.744918,9998.197136,-1.112643,1.000000
31,C3,1.000000,5.540563,0.990450,47.090444,10000.000000,0.697397,1.000000
