,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.750335,,,1.324747,1.289191,1.251314,,,,,,1.001968,,,,,,,,,,,,,,,,,,,,
R7,,,1.239583,,,1.295133,,,,,1.341972,,,,,,,,,,,,,,,,,,,,,
R8,,0.710253,,1.338515,,1.253744,,,0.720727,0.741422,1.313943,0.967552,,,,,,,,,,,,,,1.049232,,,,,,0.978391
L1,,,,,0.672963,,,1.312003,1.321080,1.272782,,,1.024616,,,,,,,,,,,,,,,1.291106,,,1.267384,1.182934
L2,0.865111,,,1.326494,,1.300080,1.239352,0.752603,0.693196,0.709568,,0.989435,,,,,,,,,,,,1.280538,1.250179,1.020136,,,1.262612,,,0.804956
L3,,,0.985874,,,,,,0.966099,0.951262,0.987742,1.023147,,,,,,,,,,,,,,1.040693,,,,0.998496,,0.978125
L4,1.052314,,,1.312772,1.297545,1.298178,1.289899,,,,1.292999,,1.015246,,,,,,,,,,,,1.274316,,,,1.282604,1.309419,,
L5,,,,1.047969,0.971818,,,0.997214,0.956989,1.028092,1.017584,,0.999413,,,,,,,,,,,,0.970779,1.045358,1.030650,0.955708,,,1.030874,0.998883
Mi1,,,,1.291937,,,,0.773865,0.875750,0.735856,1.261848,,1.034141,1.050584,1.091501,0.725863,0.768104,0.810655,1.031142,,,,,,,0.968358,1.005509,0.685081,1.225705,,1.261219,1.168428
Mi4,,,,,,0.830545,,,,,0.784868,,,,,1.176594,1.185358,1.029156,1.010588,,,,,0.750777,0.873386,1.023475,,1.243341,,0.790286,,
Mi9,,,,,,,,,,1.122847,,,,,1.024349,1.173811,1.134823,1.119645,1.042021,,,,,0.816990,0.825846,0.958933,1.043030,1.174854,0.845897,,0.974473,
T1,,0.959527,0.984419,,1.043049,0.983595,,0.972664,,,1.009105,,,,,,,,,,,,,1.030269,1.045211,1.043574,,,0.968255,,,
T2,,,,,,,,,0.988973,,,,1.037491,,,,,,,,,,,,,,1.000717,,,,,
T2a,,,,,,,,,0.805542,,,,,1.005944,,,,,,,,,,,,0.973543,,,,,,
T3,,,,,,,,,,,,,1.029553,,,,,,,,,,,,,,1.016105,0.824024,,,,
T4a,,,,,,,,,,,1.224458,,,,,0.978700,,0.982017,,,,,,,,,,,,,,1.194803
T4b,,,,,,,,,,,1.297826,,,,,,0.800123,,,,1.021465,,,,,,,,,,,
T4c,,,,,,,,,,,1.258980,,,,,,,0.785992,,,,,,,,,,,,,,
T4d,,,,,,,,,,,,,,,,,,,0.956815,,,,,,,,,,,,,
T5a,,,,,,,,,,,,,,,,,,,,0.973539,,,,,,,,,,,,
T5b,,,,,,,,,,,,,1.035586,,,,0.960554,,,,1.033581,,,,,,,,,,,
T5c,,,,,,,,,,,,,,,,,,,,,,1.003761,,,,,,,,,,
T5d,,,,,,,,,,,,,,,,,,,,,,,0.968015,,,,,,,,,
Tm1,,,,,1.006647,,,0.996943,,1.000479,1.037434,0.970588,,0.958076,1.042037,,,,,0.998892,1.034053,0.971012,0.955222,,1.023058,1.012777,0.993904,,0.993694,0.967775,,1.010821
Tm2,,,,,0.988698,,,0.984268,,0.967703,0.990172,,1.010978,0.951129,1.046990,,,,,1.004150,1.038105,0.966779,1.042041,0.986558,,,0.978760,,0.974027,,,0.986253
Tm20,,,,,,,,,,,1.028415,,,,,,,,,,,,,,,1.010875,,,,0.960715,,1.048224
Tm21,,,,,,,,,,,,,1.019704,,,,,,,,,,,1.274262,,,0.991215,,,,,
Tm3,,,,1.148017,,,,,0.870433,,,,1.028611,0.985948,1.007742,0.868751,0.858465,0.853006,0.980184,,,,,,,,,0.799432,,,,
Tm4,,,,,1.063983,,,,,0.910406,,,,0.974668,0.978216,,,,,1.007963,1.033722,0.990385,0.967743,1.118175,,,1.049861,,1.118505,,0.986238,0.976507
Tm9,,,,,,,,,,,1.129733,,,,,,,,,1.039750,0.954964,0.979125,1.009296,,,0.959381,,,,,,
C2,,,,0.740578,0.811132,0.766634,0.777934,1.263492,1.207571,1.227282,,0.986009,0.994727,,,,,,,,,,,0.768209,,,,,,0.762240,,
C3,,,,0.759439,0.738210,1.245129,,0.829960,,,0.823584,1.034564,0.996899,,,0.971021,1.085041,1.108102,0.951169,,,,,0.809228,,1.000064,1.032305,,0.800650,0.758252,,
