idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,2.729213,0.963505,40.381089,10000.000000,-2.775979,1.000000
1,R7,1.000000,7.101163,0.976373,30.809433,10000.000000,-2.818692,1.000000
2,R8,1.000000,3.107135,1.030596,30.463568,9986.921882,-7.572618,1.000000
3,L1,1.000000,2.773560,0.951994,56.477120,216.064392,-2.201416,2.771315
4,L2,1.000000,0.100000,1.005503,50.918942,202.876712,-1.341876,0.100000
5,L3,1.000000,6.994545,0.673622,39.274028,9998.796587,4.602439,1.000000
6,L4,1.000000,2.302570,1.028865,52.669504,197.573650,-1.665705,0.271987
7,L5,1.000000,4.343884,1.002558,54.018354,207.404302,6.874280,1.759889
8,Mi1,1.000000,0.103136,1.006770,50.251243,9998.811823,0.754713,1.000000
9,Mi4,1.000000,1.563422,0.998874,47.162135,9986.042955,1.220043,1.000000
10,Mi9,1.000000,10.000000,0.979449,29.772422,9999.728593,6.537747,1.000000
11,T1,1.000000,4.976509,1.035886,20.152534,9979.784564,-15.180628,1.000000
12,T2,1.000000,9.658910,0.976547,47.080309,9990.589474,7.250498,1.000000
13,T2a,1.000000,0.725933,0.963151,46.254888,9996.419615,1.736770,1.000000
14,T3,1.000000,5.378589,1.044661,39.301836,9996.849520,1.698228,1.000000
15,T4a,1.000000,3.235910,1.031368,50.671575,9991.959369,3.108148,1.000000
16,T4b,1.000000,0.997740,0.981181,49.791057,9999.586292,-0.416247,1.000000
17,T4c,1.000000,0.605154,0.980491,19.729339,9992.594727,0.124416,1.000000
18,T4d,1.000000,1.067775,0.953211,51.243850,10000.000000,0.454499,1.000000
19,T5a,1.000000,9.870202,0.999831,17.961960,9987.264378,3.960887,1.000000
20,T5b,1.000000,10.000000,1.004214,43.858049,9989.913518,-4.883435,1.000000
21,T5c,1.000000,0.100000,1.000210,49.681706,9991.662728,-1.531071,1.000000
22,T5d,1.000000,0.479623,1.027704,50.576092,9999.999959,-0.881249,1.000000
23,Tm1,1.000000,6.702105,0.963076,20.492102,9989.489768,11.272836,1.000000
24,Tm2,1.000000,8.796484,1.036141,34.553032,9998.175598,4.880668,1.000000
25,Tm20,1.000000,10.000000,0.984399,48.122086,9988.260286,6.216135,1.000000
26,Tm21,1.000000,10.000000,0.985841,32.344534,9998.578463,-1.335832,1.000000
27,Tm3,1.000000,0.100000,0.977704,50.881780,9999.751959,-1.615631,1.000000
28,Tm4,1.000000,7.140063,0.998424,29.196232,9983.925168,3.821258,1.000000
29,Tm9,1.000000,8.796486,1.030973,39.408297,9998.796486,-1.917641,1.000000
30,C2,1.000000,6.225339,0.957387,50.161063,9997.018990,0.666507,1.000000
31,C3,1.000000,9.999987,0.951341,50.541296,9999.971864,8.070274,1.000000
32,Lawf1,1.000000,0.100000,0.999983,48.232444,9999.843279,-1.141370,1.000000
33,Lawf2,1.000000,7.849671,1.019719,40.383751,9990.608270,0.839212,1.000000
