cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp_rise,tau_hp_fall,a_h,v_pre,v_onset,v_sti_end,delta_v
0,R1-6,0.970637,-0.689337,0.010000,0.100000,-0.689337,-49.225361,10.000000,208.420654,200.900177,1.000000,-0.689337,-0.689337,9.189897,9.879234
1,R7,1.010165,-0.583777,0.010000,0.100000,-0.583783,-49.132198,10.000000,194.702362,189.871002,1.000000,-0.583783,-0.583777,8.819831,9.403608
2,R8,0.962644,-0.818226,0.010000,0.100000,-0.818225,-49.129475,10.000000,192.211273,193.398163,1.000000,-0.818225,-0.818226,8.494520,9.312746
3,L1,1.965078,-1.770090,0.010000,1.723987,-1.770090,-48.330627,10.000000,193.899475,208.091492,1.000000,-1.770090,-1.770090,-1.770170,-0.000079
4,L2,1.958564,-0.430894,0.010000,0.100000,-0.430894,-49.110767,10.000000,198.872513,197.082474,1.000000,-0.430894,-0.430894,-0.430983,-0.000089
5,L3,2.000000,-0.369355,0.010000,0.100000,-0.369355,-49.193897,10.000000,206.585724,197.048630,1.000000,-0.369355,-0.369355,-0.369398,-0.000043
6,L4,1.854593,-0.947654,0.010000,0.139047,-0.947654,-49.170837,10.000000,196.228043,190.266312,1.000000,-0.947654,-0.947654,-0.947654,-0.000000
7,L5,0.500000,-0.608668,0.010000,0.863059,-0.608668,-49.657436,12.304561,210.511261,208.143600,1.000000,-0.608668,-0.608668,-0.608667,0.000001
8,Mi1,2.000000,-0.019323,0.010000,1.130704,-0.019323,-49.717861,11.748793,194.187805,194.718124,1.000000,-0.019323,-0.019323,-0.019327,-0.000004
9,Tm3,1.224082,-0.567473,0.010000,0.426724,-0.567482,-49.295307,10.695316,207.153336,189.704559,0.999567,-0.567473,-0.567473,-0.567473,0.000000
10,Mi4,1.976497,-1.516723,0.010000,0.691873,-1.516723,-48.713707,10.000000,192.390732,194.353409,1.000000,-1.516723,-1.516723,-1.516730,-0.000007
11,Mi9,1.969201,-0.401139,0.010000,0.122491,-0.401137,-49.130638,11.558911,207.151627,197.175995,0.999866,-0.401139,-0.401139,-0.401141,-0.000002
