idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,2.133463,1.670964,-30.112767,1.027091,0.000000,23.938663,208.183534,-49.887233,0.000000,-29.892414,-29.892394
1,R7,2.133463,6.475534,-30.000000,1.048478,0.000000,25.796310,192.409178,-50.000000,0.000000,-30.670761,-30.670752
2,R8,2.133463,4.189740,-30.616117,1.019032,0.000000,19.381296,207.747541,-49.383883,0.000000,-29.338419,-29.338412
3,L1,2.133463,3.356074,-50.727101,1.128650,0.000000,22.588763,195.744891,-49.560858,0.600000,-49.458517,-49.428035
4,L2,2.133463,3.672675,-50.427424,1.176503,0.000000,26.241390,186.795889,-50.000000,0.600000,-50.966908,-50.946007
5,L3,2.133463,5.294185,-51.335088,2.490911,0.000000,21.687499,191.170661,-47.313187,0.000000,-46.849855,-46.851322
6,L4,2.133463,1.549317,-49.444152,0.503322,0.000000,14.383320,186.424181,-50.000000,1.000000,-50.000000,-49.999802
7,L5,2.133463,5.519645,-49.685294,0.369356,0.000000,19.238930,205.501936,-48.930351,1.000000,-48.930351,-48.874901
8,Mi1,2.133463,4.040885,-49.171979,1.040737,0.000000,40.621653,207.140255,-48.405693,0.000000,-49.406821,-49.294239
9,Tm3,2.133463,1.083909,-49.542680,0.494541,0.000000,15.935725,201.769936,-45.613264,0.000000,-44.797235,-44.674936
10,Mi4,2.133463,1.660353,-51.095797,1.650959,0.000000,27.257945,205.334386,-49.810285,0.000000,-54.831105,-54.767175
11,Mi9,2.133463,2.204097,-50.714418,0.889502,0.000000,25.187052,204.602433,-48.700332,0.000000,-41.075567,-41.069059
12,T4a,2.133463,2.362704,-51.015303,1.026570,0.000000,39.297826,193.080595,-48.877221,0.000000,-48.934907,-48.946157
13,T4b,2.133463,2.498932,-51.845708,1.026961,0.000000,24.786410,198.083603,-48.154292,0.000000,-48.124969,-48.150028
14,T4c,2.133463,0.163210,-49.800315,1.038793,0.000000,32.475600,202.562846,-49.987471,0.000000,-50.691765,-50.690827
15,T4d,2.133463,5.721915,-53.040828,0.998726,0.000000,20.337521,196.013056,-46.959172,0.000000,-45.272639,-45.306154
16,Tm1,2.133463,1.502896,-48.532905,1.353328,0.000000,55.040806,208.462447,-50.000000,0.000000,-53.057741,-53.037470
17,Tm2,2.133463,0.344339,-49.460527,0.546800,0.000000,52.923278,191.393860,-50.000000,0.000000,-51.041736,-51.040162
18,Tm4,2.133463,0.111623,-48.468353,0.606786,0.000000,43.590833,200.412114,-50.000000,0.000000,-52.250376,-52.233521
19,Tm9,2.133463,0.100000,-45.548805,0.528656,0.000000,21.099481,203.794711,-50.000000,0.000000,-43.075268,-43.074534
20,T5a,2.133463,0.152077,-49.443438,1.023249,0.000000,39.134070,195.804944,-50.000000,0.000000,-50.045514,-50.045310
21,T5b,2.133463,0.345202,-49.423286,0.997962,0.000000,40.625746,196.158985,-50.000000,0.000000,-50.059005,-50.058696
22,T5c,2.133463,0.390104,-49.397725,0.977522,0.000000,39.283210,196.254655,-50.000000,0.000000,-50.032715,-50.032540
23,T5d,2.133463,2.420191,-51.056970,1.013975,0.000000,44.728604,204.088371,-48.943030,0.000000,-49.084771,-49.083883
24,T1,2.133463,1.128510,-49.021747,0.984998,0.000000,35.165650,190.858108,-50.000000,0.000000,-50.304982,-50.301397
25,T2,2.133463,1.337935,-50.581255,1.023125,0.000000,37.582911,204.153716,-49.160567,0.000000,-48.656497,-48.646641
26,T2a,2.133463,2.099376,-49.836555,0.969931,0.000000,26.284570,205.133200,-50.000000,0.000000,-50.887576,-50.887070
27,T3,2.133463,4.292388,-48.613338,0.983199,0.000000,41.129922,199.398668,-50.000000,0.000000,-50.020977,-50.021032
28,C2,2.133463,0.100000,-49.426075,1.044705,0.000000,28.572284,203.185702,-50.000000,0.000000,-49.712400,-49.721724
29,C3,2.133463,2.388680,-51.530294,1.043912,0.000000,22.627448,205.419222,-48.393984,0.000000,-44.911122,-44.909441
30,Lawf1,2.133463,1.878655,-51.578356,0.961253,0.000000,17.770007,202.521877,-48.044116,0.000000,-46.288227,-46.264498
31,Lawf2,2.133463,1.093056,-49.930892,0.967916,0.000000,35.926006,197.366327,-49.850425,0.000000,-49.666929,-49.661575
32,Dm3v,2.133463,1.816521,-50.880338,1.037504,0.000000,23.731285,202.237793,-49.119662,0.000000,-48.805137,-48.803151
33,Lai,2.133463,2.558859,-49.706678,1.005692,0.000000,34.014123,192.230244,-50.000000,0.000000,-51.949958,-51.935056
34,Mi10,2.133463,4.356982,-52.547485,1.003971,0.000000,20.932251,205.739956,-47.331984,0.000000,-51.437854,-51.422845
35,Mi13,2.133463,1.337332,-50.863303,0.986121,0.000000,21.021472,207.213070,-49.136697,0.000000,-47.207026,-47.212247
36,Mi14,2.133463,1.322089,-50.649401,0.967791,0.000000,63.292260,193.284714,-49.179851,0.000000,-49.060735,-49.058911
37,Mi15,2.133463,0.100000,-48.198944,0.977686,0.000000,40.060079,191.327082,-50.000000,0.000000,-51.101233,-51.098914
38,Mi2,2.133463,1.584367,-50.921464,0.955640,0.000000,35.378671,197.389428,-49.078536,0.000000,-48.331103,-48.331779
39,Tm16,2.133463,0.415696,-49.393186,1.047762,0.000000,41.232332,190.651159,-50.000000,0.000000,-50.608926,-50.606433
40,Tm20,2.133463,1.772674,-48.965000,1.033301,0.000000,37.565016,204.882269,-50.000000,0.000000,-51.165278,-51.157742
41,Tm21,2.133463,0.891937,-49.853049,0.977590,0.000000,48.907178,200.029912,-49.996797,0.000000,-50.650645,-50.648973
42,Tm27,2.133463,3.047022,-49.086989,0.959268,0.000000,39.127180,209.348189,-50.000000,0.000000,-50.194120,-50.198753
43,Tm5a,2.133463,0.446492,-48.977146,1.032077,0.000000,40.495632,202.150422,-50.000000,0.000000,-49.987403,-49.987281
44,Tm5b,2.133463,1.857164,-51.448593,0.969047,0.000000,46.415123,194.757321,-48.551407,0.000000,-48.812227,-48.809514
45,Tm5c,2.133463,0.100000,-48.960410,1.040498,0.000000,39.051389,207.202831,-50.000000,0.000000,-50.039888,-50.040641
46,Tm5f,2.133463,0.997650,-49.812407,1.012778,0.000000,39.220892,209.285078,-50.000000,0.000000,-49.998024,-49.997937
47,TmY10,2.133463,0.884374,-49.590985,0.985192,0.000000,33.820562,205.043928,-50.000000,0.000000,-49.987474,-49.987338
48,TmY11,2.133463,0.985744,-50.398890,1.047851,0.000000,49.364260,208.890135,-49.387739,0.000000,-57.563613,-57.544631
49,TmY14,2.133463,0.100000,-49.020095,0.985835,0.000000,39.306011,195.376004,-50.000000,0.000000,-52.000522,-51.997891
50,TmY15,2.133463,2.870075,-52.469573,0.954125,0.000000,44.118910,201.072215,-47.528712,0.000000,-48.170324,-48.166853
51,TmY3,2.133463,0.118949,-48.599556,0.992128,0.000000,40.912101,203.532513,-50.000000,0.000000,-53.229938,-53.218060
52,TmY4,2.133463,3.489655,-49.348157,0.972980,0.000000,25.277157,200.921811,-50.000000,0.000000,-47.967411,-48.105655
53,TmY5a,2.133463,4.427395,-52.540327,1.012699,0.000000,57.311383,209.456570,-47.459673,0.000000,-45.187934,-45.154128
54,TmY9q,2.133463,1.601530,-50.338181,0.992151,0.000000,31.617819,208.517727,-49.661819,0.000000,-48.455269,-48.463750
55,TmY9q__perp,2.133463,0.770002,-49.432551,1.048576,0.000000,34.862895,190.450434,-50.000000,0.000000,-49.959548,-49.957538
