idx,cell,in_gain,out_gain,v_th,gt_scale,gt_bias,Ih_gmax,Ih_gmax_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off,Ih_midv,Ih_slope,tau_midv,Ih_midv_off,Ih_slope_off,tau_midv_off
0,R1-6,1.000000,1.717071,-50.000000,0.977544,0.141228,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
1,R7,1.000000,1.702132,-50.000000,0.982438,0.162866,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
2,R8,1.000000,0.315882,-50.000000,1.043037,-0.016305,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
3,L1,1.000000,10.000000,-50.000000,0.122373,0.157632,51.919655,44.808942,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
4,L2,1.000000,1.169686,-50.000000,0.100000,0.229764,53.881616,45.458739,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
5,L3,1.000000,0.100000,-50.000000,4.764512,-8.309821,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
6,L4,1.000000,1.907574,-50.000000,0.100000,-0.632172,47.754961,48.700515,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
7,L5,1.000000,0.256592,-50.000000,1.993336,-1.267373,45.754704,49.721699,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
8,Mi1,1.000000,0.194440,-50.000000,2.229263,-1.452301,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
9,Mi4,1.000000,1.428301,-50.000000,2.314514,1.259651,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
10,Mi9,1.000000,2.207047,-50.000000,1.861915,-0.471161,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
11,T1,1.000000,0.244049,-50.000000,0.995356,-0.491061,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
12,T2,1.000000,0.404249,-50.000000,1.044534,-0.139427,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
13,T2a,1.000000,0.331799,-50.000000,0.970108,0.220523,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
14,T3,1.000000,0.266181,-50.000000,1.044254,-0.167873,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
15,T4a,1.000000,0.292606,-50.000000,0.976812,0.089508,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
16,T4b,1.000000,0.388185,-50.000000,0.985394,0.094183,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
17,T4c,1.000000,0.401219,-50.000000,1.021403,0.263275,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
18,T4d,1.000000,0.367669,-50.000000,1.045793,0.047241,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
19,T5a,1.000000,1.026638,-50.000000,0.967487,0.051400,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
20,T5b,1.000000,0.784390,-50.000000,0.998993,0.072849,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
21,T5c,1.000000,0.354386,-50.000000,0.965772,0.255038,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
22,T5d,1.000000,1.262391,-50.000000,0.972347,-0.037194,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
23,Tm1,1.000000,0.100000,-50.000000,1.430012,3.182307,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
24,Tm2,1.000000,1.140835,-50.000000,2.588584,0.319563,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
25,Tm20,1.000000,0.212335,-50.000000,1.037073,-0.266136,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
26,Tm21,1.000000,0.425237,-50.000000,1.040415,0.445780,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
27,Tm3,1.000000,0.278026,-50.000000,0.709166,-8.625912,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
28,Tm4,1.000000,0.139741,-50.000000,0.687037,4.045598,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
29,Tm9,1.000000,0.100000,-50.000000,1.844950,1.138989,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
30,C2,1.000000,1.355183,-50.000000,0.992510,-0.415432,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
31,C3,1.000000,1.715724,-50.000000,0.992342,0.271873,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
32,Lawf1,1.000000,0.313825,-50.000000,0.990139,-0.300120,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
33,Lawf2,1.000000,0.100121,-50.000000,0.979245,0.476269,0.000000,0.000000,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697,-49.256441,-0.200000,-50.731642,-50.944823,-0.200000,-64.658697
