,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,1.165708,,,0.290869,0.358486,1.788680,0.100000,,,,,1.740849,,,,,,,,,,,,,,,,,,,0.886827,0.100000,,
R7,,,1.656937,2.446311,,1.846274,,,0.100000,0.100000,0.100000,,,,,,,,,,,,,,,1.812876,,,,,,0.158650,1.048331,
R8,,0.125864,1.379002,7.574627,0.100000,1.819737,,0.100000,0.236941,0.100000,0.296346,1.681971,,,,,,,,,,,,,,1.709257,1.563070,,,,0.513015,0.832010,1.654702,0.298816
L1,10.000000,10.000000,3.599048,6.099867,2.158659,0.100000,2.786257,10.000000,0.411003,0.100000,,0.965411,9.958250,10.000000,,,,,,,,,,0.100000,0.448571,,,9.938966,,,0.410750,2.720459,,1.556578
L2,0.100000,,0.191358,6.691389,10.000000,6.194632,5.409786,0.100000,0.100000,0.100000,0.100000,0.100000,0.289175,0.954909,,,,,,,,,,1.265440,0.100000,0.100000,,0.100000,3.119632,,0.624031,2.541199,,
L3,,1.845297,1.646771,0.100000,3.171264,,,,0.293778,1.770956,0.107955,0.368675,,,,,,,,,,,,1.999669,0.911313,0.134396,1.009218,,0.269445,0.100000,1.847133,1.978758,0.107793,
L4,7.821177,,,0.100000,3.002672,0.639389,0.766718,1.618092,0.690513,,1.488682,,0.937119,,,,,,,,,,,1.491829,0.100000,,,,0.100000,0.385107,,1.181371,2.385017,0.100000
L5,,,,0.100000,7.450306,,,1.120212,0.649477,0.713755,1.133998,0.493291,0.771019,0.100000,,,,,,,,,,1.324361,1.684919,1.859296,1.448650,0.705493,1.157829,,0.781012,0.564471,0.363487,1.295589
Mi1,,0.436535,1.652110,1.512167,1.430687,,,1.651399,0.457676,1.645745,0.249219,1.776636,0.314233,0.304771,0.247797,0.259538,0.320422,0.368184,0.378384,,,,,0.342232,1.286221,0.300951,1.522165,0.241322,1.579922,,1.476944,1.810067,0.404989,1.621335
Mi4,,,,,2.161787,1.689837,,1.188880,1.372402,0.369349,1.454304,1.621424,,0.997719,,1.774295,1.531827,1.266168,0.361479,,,,,2.124234,1.644452,1.659725,,2.101830,0.100000,0.807122,1.640036,1.608586,0.731213,2.618181
Mi9,,,,,,0.100000,0.100000,,1.662733,0.313037,,,1.567596,1.805956,1.559316,0.682862,1.667633,1.623465,1.666401,,,,,1.335818,3.501190,1.602683,1.479971,1.733884,0.146286,1.608907,1.870898,,1.710276,0.455097
T1,6.293489,0.736630,1.449641,,0.100000,0.910497,,0.446289,,,0.100000,,,,,,,,,,,,,0.100000,0.225286,0.268300,,,0.305805,,,,,
