cell_idx,cell,a_gt,bias_gt,a_in,a_out,e_leak,v_th,tau_lp,tau_hp,a_h,v_pre,v_onset,v_spot_end,delta_v
42,Tm27,0.961831,1.743625,0.979791,0.990117,-0.275820,-50.000000,10.419319,205.554153,0.000000,1.736040,1.743625,1.753217,0.009592
43,Tm5a,1.017565,-1.719358,0.979791,0.950092,-0.439665,-50.000000,10.123524,192.421417,0.000000,-1.709878,-1.719358,-1.782456,-0.063097
44,Tm5b,1.019180,-2.109571,0.979791,0.986373,-0.308165,-50.000000,10.893266,191.573654,0.000000,-2.099044,-2.109571,-2.155440,-0.045869
45,Tm5c,1.016165,0.950178,0.979791,1.000371,-0.461085,-50.000000,10.121794,198.971024,0.000000,0.957560,0.950178,0.894171,-0.056007
46,Tm5f,0.976154,1.427194,0.979791,0.986929,-0.197369,-50.000000,9.224945,207.366638,0.000000,1.423100,1.427194,1.426848,-0.000345
47,TmY10,1.029283,0.151959,0.979791,0.994565,0.462005,-50.000000,10.687521,199.215073,0.000000,0.156478,0.151959,0.144499,-0.007459
48,TmY11,0.966569,-9.927913,0.979791,1.047352,-0.020413,-50.000000,9.004132,200.116074,0.000000,-9.895940,-9.927913,-9.932424,-0.004511
49,TmY14,1.001212,10.317026,0.979791,1.043068,-0.257262,-50.000000,9.001023,197.791336,0.000000,10.288120,10.317026,10.324924,0.007898
50,TmY15,0.972789,11.710036,0.979791,0.997181,-0.031591,-50.000000,9.577307,209.967453,0.000000,11.674730,11.710036,11.725121,0.015084
51,TmY3,0.995579,6.528419,0.979791,0.959822,0.118835,-50.000000,10.252419,202.689178,0.000000,6.517716,6.528419,6.525464,-0.002955
52,TmY4,0.957946,1.177465,0.979791,1.007273,-0.408654,-50.000000,10.451588,199.793396,0.000000,1.177412,1.177465,1.171323,-0.006142
53,TmY5a,1.021024,6.207438,0.979791,1.049801,0.279494,-50.000000,9.954801,190.531860,0.000000,6.186617,6.207438,6.218163,0.010724
54,TmY9q,1.033598,3.019358,0.979791,1.000550,0.014281,-50.000000,10.069998,208.062332,0.000000,3.015533,3.019358,3.013374,-0.005984
55,TmY9q__perp,0.999239,2.993397,0.979791,0.969561,-0.203065,-50.000000,10.081465,197.578186,0.000000,2.989058,2.993397,2.987815,-0.005582
