idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,2.167825,1.012736,32.180335,10000.000000,-18.270020,1.000000
1,R7,1.000000,5.000000,0.986952,16.877362,10000.000000,-10.311530,1.000000
2,R8,1.000000,4.613600,1.049922,10.000000,10000.000000,-18.739262,1.000000
3,L1,1.000000,4.494603,1.584255,10.000000,205.588628,5.713521,1.208387
4,L2,1.000000,0.869776,0.717865,22.394636,206.038113,-0.119585,1.003581
5,L3,1.000000,4.991505,3.931647,27.132033,10000.000000,8.608107,1.000000
6,L4,1.000000,2.351920,4.803517,57.551235,237.510478,4.537013,4.220378
7,L5,1.000000,2.753161,1.019317,12.613500,204.103698,-0.150982,3.436464
8,Mi1,1.000000,3.181538,2.332775,24.519234,9994.432875,6.215645,1.000000
9,Mi4,1.000000,5.000000,1.161520,10.000000,10000.000000,-14.364425,1.000000
10,Mi9,1.000000,5.000000,2.799971,48.646168,10000.000000,0.658799,1.000000
11,T1,1.000000,1.087432,0.995498,52.050890,9996.495141,8.357199,1.000000
12,T2,1.000000,1.500893,0.985438,52.008661,9999.915564,2.825476,1.000000
13,T2a,1.000000,5.000000,1.011143,47.225855,10000.000000,15.788459,1.000000
14,T3,1.000000,0.500000,1.023461,53.645912,9994.831295,-3.472782,1.000000
15,T4a,1.000000,5.000000,1.003898,10.000000,9988.334093,1.849785,1.000000
16,T4b,1.000000,5.000000,1.015964,11.623369,9978.181977,4.262395,1.000000
17,T4c,1.000000,5.000000,0.993614,10.000000,9996.986627,-5.113881,1.000000
18,T4d,1.000000,5.000000,0.998450,56.361705,9999.539726,1.359120,1.000000
19,T5a,1.000000,4.292831,1.033766,80.305819,9999.326396,19.247201,1.000000
20,T5b,1.000000,1.611019,0.953517,44.645742,9999.794782,1.635032,1.000000
21,T5c,1.000000,2.268517,0.995265,43.711093,9996.955034,17.859184,1.000000
22,T5d,1.000000,5.000000,1.039191,70.641778,9997.526287,20.000000,1.000000
23,Tm1,1.000000,2.571337,2.070746,10.428963,10000.000000,6.299090,1.000000
24,Tm2,1.000000,5.000000,2.380785,38.274232,10000.000000,7.978985,1.000000
25,Tm20,1.000000,5.000000,1.030718,51.218859,10000.000000,1.726007,1.000000
26,Tm21,1.000000,5.000000,0.954618,32.245021,10000.000000,13.690840,1.000000
27,Tm3,1.000000,5.000000,4.424532,10.000000,10000.000000,7.157883,1.000000
28,Tm4,1.000000,5.000000,3.517671,10.000000,9965.351835,11.334218,1.000000
29,Tm9,1.000000,4.002096,5.000000,41.042560,9954.111407,20.000000,1.000000
30,C2,1.000000,5.000000,1.047660,10.000000,9999.998878,-2.757602,1.000000
31,C3,1.000000,4.685198,0.953193,10.000000,9968.505325,9.469486,1.000000
32,Lawf1,1.000000,5.000000,1.005938,10.000000,10000.000000,5.699545,1.000000
33,Lawf2,1.000000,0.500000,0.952193,50.654300,9997.829966,-1.555947,1.000000
