,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,5.000000,,,1.678213,2.443134,0.514230,0.580485,,,,,1.728545,,,,,,,,,,,,,,,,,,,4.654493,0.627521,,
R7,,,5.000000,5.000000,,1.396917,,,0.500000,0.500000,3.733906,,,,,,,,,,,,,,,5.000000,,,,,,0.500000,4.464104,
R8,,1.576795,5.000000,5.000000,0.500000,1.302700,,0.500000,0.500000,0.500000,3.478298,0.731170,,,,,,,,,,,,,,5.000000,0.937034,,,,1.634141,0.500000,0.500000,1.042532
L1,0.500000,0.500000,5.000000,0.500000,4.846306,4.106800,0.500000,1.659449,1.074381,4.475214,,5.000000,5.000000,3.821187,,,,,,,,,,0.500000,0.500000,,,2.448474,,,2.748092,5.000000,,0.985369
L2,5.000000,,0.500000,0.500000,0.500000,0.500000,3.874750,1.706228,1.230241,5.000000,0.500000,0.500000,5.000000,1.007002,,,,,,,,,,1.041263,1.155018,0.500000,,0.500000,3.696046,,0.506326,5.000000,,
L3,,0.500000,4.151365,5.000000,0.500000,,,,0.500000,0.500000,0.954921,0.500000,,,,,,,,,,,,0.500000,0.500000,0.500000,1.027457,,5.000000,5.000000,0.500000,3.076415,0.500000,
L4,0.500000,,,3.438084,0.500000,0.500000,1.843733,3.494133,0.581160,,5.000000,,0.500000,,,,,,,,,,,0.500000,1.264504,,,,0.500000,0.500000,,0.500000,0.686147,1.040971
L5,,,,2.070547,0.500000,,,1.949623,1.947384,5.000000,0.500000,5.000000,0.500000,2.909042,,,,,,,,,,0.500000,0.500000,5.000000,5.000000,2.678982,0.500000,,3.184946,0.500000,5.000000,1.004946
Mi1,,5.000000,0.500000,3.774228,5.000000,,,1.811058,0.500000,5.000000,0.500000,4.546320,3.142980,3.376970,0.500000,0.500000,0.500000,5.000000,0.500000,,,,,0.500000,5.000000,5.000000,5.000000,0.500000,0.500000,,1.697900,0.500000,5.000000,0.500000
Mi4,,,,,0.500000,1.044721,,5.000000,0.500000,5.000000,3.990343,5.000000,,0.970516,,3.931912,0.500000,5.000000,0.999465,,,,,5.000000,5.000000,2.461724,,3.604743,0.958649,2.368734,0.904667,1.033555,0.500000,1.045911
Mi9,,,,,,5.000000,0.500000,,0.500000,5.000000,,,5.000000,2.232338,0.988244,3.997514,5.000000,0.500000,5.000000,,,,,0.500000,2.470375,5.000000,1.996487,0.500000,4.710749,0.500000,0.500000,,4.725095,0.978437
T1,5.000000,5.000000,0.500000,,0.500000,0.500000,,0.500000,,,0.500000,,,,,,,,,,,,,5.000000,0.500000,5.000000,,,5.000000,,,,,
T2,,,,,,,,3.966058,1.405616,,0.500000,,0.867027,0.999699,0.500000,,,,,,,,,0.751828,5.000000,,3.984887,1.298266,0.500000,,,,,0.500000
T2a,,,,,,,,,0.500000,,,,0.559798,0.500000,1.043036,,,,,,,,,0.500000,,0.500000,0.966770,0.500000,5.000000,,5.000000,,,1.036039
T3,,,,,,,,,,,,,1.007826,0.975728,0.967262,,,,1.032332,,,,,1.005376,,,0.954515,0.500000,,,,0.998838,,1.037997
T4a,,,,,,,,,,,4.854311,,,,,5.000000,1.030543,0.992214,0.977193,0.998272,,,,,,,,,,,,4.988926,,
T4b,,,,,,,,,0.500000,0.958726,5.000000,,,,,0.500000,0.500000,,1.022386,,5.000000,,,,,,,,,,,,,
T4c,,,,,,,,,,,5.000000,,0.987346,,,,,5.000000,,,,0.997068,0.965908,,,,,,,,,,,
T4d,,,,,,,,,5.000000,,,,,,,,,0.995472,5.000000,,,,0.956029,,,,,,,,,,,
T5a,,,,,,,,,,,,,5.000000,,,0.500000,,,,5.000000,1.041969,,,,0.500000,,,,,,,,,
T5b,,,,,,,,,,,,,0.516390,,,,5.000000,,,1.004671,5.000000,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,5.000000,,,,,0.500000,,,0.990506,5.000000,1.001491,,,,,,,,,,,
T5d,,,,,,,,,,,,,5.000000,,,,,0.676427,1.033353,,,,5.000000,,,,,,,,,,,
Tm1,,,,,0.500000,,,0.500000,0.500000,0.500000,3.629306,5.000000,0.660669,5.000000,0.500000,,,1.024249,,4.796299,5.000000,3.921534,5.000000,0.500000,5.000000,0.500000,3.349888,0.500000,0.500000,4.697843,4.998273,5.000000,,0.500000
Tm2,,,,1.707679,0.500000,,,5.000000,0.500000,5.000000,0.500000,0.500000,0.500000,5.000000,0.500000,0.994299,,1.817676,,4.618396,0.787509,3.625808,5.000000,0.500000,,,4.887306,0.500000,0.500000,0.500000,,0.500000,0.500000,1.034055
Tm20,,,,,,,,,,5.000000,5.000000,0.500000,5.000000,5.000000,,,,,,,,,,5.000000,5.000000,0.500000,1.013232,,,5.000000,,0.500000,,
Tm21,,,,,,,,,5.000000,,,,3.626260,0.954242,,,,,,,,,,0.500000,,,0.530652,,,,,,,
Tm3,,,,0.500000,0.500000,,,,0.500000,5.000000,0.501556,,1.078748,0.500000,0.500000,5.000000,4.872833,2.082658,0.500000,,1.048815,,0.998660,,,,,5.000000,0.500000,,0.949732,5.000000,5.000000,0.500000
Tm4,,,,,5.000000,,,,0.500000,5.000000,,0.500000,0.500000,0.500000,0.500000,,,,,0.500000,5.000000,0.500000,5.000000,5.000000,5.000000,,0.500000,0.500000,5.000000,,0.500000,0.500000,,0.500000
Tm9,,,,,,0.500000,,,,0.500000,0.500000,,0.500000,0.500000,,,,,,3.190682,0.957453,2.298043,5.000000,1.450399,5.000000,2.776382,1.017224,,0.500000,5.000000,,,,
C2,0.759079,0.958553,5.000000,5.000000,5.000000,0.500000,5.000000,0.837904,1.838704,0.500000,,5.000000,1.022214,0.988155,0.963472,,,,,,,,,3.552828,,,,,,0.500000,0.825031,5.000000,,
C3,5.000000,,,0.500000,1.519139,0.500000,2.941944,0.500000,2.925473,0.500000,2.993956,3.783447,5.000000,0.501742,0.965869,0.500000,0.500000,5.000000,1.026470,,,,,4.996586,5.000000,0.500000,0.500000,4.968638,5.000000,3.021946,1.035166,,,
Lawf1,5.000000,,,0.500000,0.500000,5.000000,,5.000000,,,0.500000,1.064707,,,,,,,,,,,,,,,,2.560246,,,,,0.500000,
Lawf2,0.963424,,,1.014648,1.010913,1.015766,,0.500000,,,,0.938635,,,,,,,,,,,,1.023009,1.014194,,,,,0.956188,0.999691,0.500000,0.500000,
